Time, X, Y, Z
0.006292343,-0.1707489,0.8745708,0.2076146
0.01057434,-0.1706733,0.8743906,0.2075448
0.02009392,-0.1704932,0.8738992,0.2074689
0.0287571,-0.1704565,0.8736354,0.2074162
0.0305748,-0.1704514,0.8735867,0.2074039
0.03857613,-0.170577,0.8733778,0.2072058
0.04974937,-0.1707414,0.8731582,0.2069185
0.05057335,-0.1707453,0.8731278,0.2068916
0.06084251,-0.1707701,0.8728327,0.2063764
0.07057381,-0.1708121,0.8726516,0.205861
0.07196999,-0.170825,0.872625,0.2058102
0.08304596,-0.1708431,0.8724062,0.2053001
0.09057426,-0.1707816,0.8722368,0.2048207
0.09408379,-0.1707171,0.8721639,0.2045359
0.1052666,-0.1708328,0.8720675,0.2037645
0.1105747,-0.1707877,0.8720782,0.2033372
0.1165886,-0.1707368,0.8720978,0.2027687
0.1276112,-0.1704417,0.8721097,0.2018706
0.1305733,-0.1702861,0.8721157,0.2016122
0.1385574,-0.1698064,0.8717401,0.2009736
0.1495476,-0.1694528,0.8715424,0.2008569
0.1505737,-0.1694292,0.8715349,0.2008584
0.1608887,-0.1691754,0.8714369,0.2007126
0.1705742,-0.1690853,0.8712234,0.2003584
0.171917,-0.1690769,0.8711917,0.2003122
0.1830254,-0.1688859,0.8710152,0.2000142
0.1905746,-0.1686489,0.8709229,0.1998153
0.1948814,-0.1684444,0.8708663,0.1996473
0.2050076,-0.1683445,0.8704646,0.199046
0.2105732,-0.168265,0.8701581,0.1984405
0.2164135,-0.1683293,0.8698932,0.1977397
0.2274647,-0.1683429,0.8693529,0.1961812
0.2305737,-0.1682873,0.8691578,0.195563
0.2387104,-0.1684026,0.8687214,0.193774
0.2495632,-0.1687009,0.8689677,0.1927054
0.2505741,-0.1687299,0.8689811,0.1925954
0.2606449,-0.1689369,0.8691075,0.1914884
0.2705746,-0.1690194,0.869181,0.190967
0.2717133,-0.1690206,0.8691834,0.1909376
0.2828808,-0.1689732,0.8691677,0.1906978
0.2905731,-0.1688483,0.8690443,0.1904827
0.2939644,-0.1687141,0.8689317,0.1903083
0.3052177,-0.1681353,0.8687193,0.1905924
0.3105736,-0.1680909,0.8688046,0.1908115
0.3162766,-0.1679762,0.8687913,0.1910003
0.3274612,-0.1676506,0.8687252,0.1911847
0.330574,-0.167516,0.8687076,0.1912193
0.3384171,-0.1669553,0.8687479,0.1916101
0.3494911,-0.1664483,0.8690683,0.1917899
0.3505745,-0.1663668,0.8690751,0.1917858
0.3607559,-0.165668,0.8692178,0.1918858
