Time, X, Y, Z
5.86676,-0.1325762,0.9246596,0.2016138
5.86676,0,0.9,0
7.826767,-0.1344343,0.9469414,0.2030521
7.826767,0,0.9,0
9.786758,-0.1448809,0.9305051,0.2153919
9.786758,0,0.9,0
11.64676,-0.17212,0.9320182,0.2348434
11.64676,0,0.9,0
13.44676,-0.1632908,0.9274122,0.2286156
13.44676,0,0.9,0
15.06676,-0.1655294,0.9312361,0.2340745
15.06676,0,0.9,0
16.60677,-0.1830965,0.9306388,0.2561871
16.60677,0,0.9,0
19.76677,-0.1574158,0.9406159,0.2304393
19.76677,0,0.9,0
21.28676,-0.171707,0.922556,0.2494183
21.28676,0,0.9,0
22.76677,-0.1638563,0.9246455,0.2267917
22.76677,0,0.9,0
24.14677,-0.1849469,0.9532852,0.2502474
24.14677,0,0.9,0
25.70677,-0.1836898,0.9333457,0.2535777
25.70677,0,0.9,0
27.20677,-0.1776948,0.9284845,0.2522751
27.20677,0,0.9,0
28.56676,-0.1479914,0.9356426,0.2132798
28.56676,0,0.9,0
30.00676,-0.1494332,0.9467787,0.2117095
30.00676,0,0.9,0
31.40675,-0.1563492,0.9355112,0.2271241
31.40675,0,0.9,0
43.48677,-0.1530718,0.9306521,0.1986902
43.48677,0,0.9,0
45.00676,-0.1253917,0.9279826,0.2044033
45.00676,0,0.9,0
46.64677,-0.1411688,0.9248793,0.1982061
46.64677,0,0.9,0
48.00676,-0.1505247,0.9140553,0.2192191
48.00676,0,0.9,0
49.42677,-0.1520883,0.9203752,0.2030053
49.42677,0,0.9,0
50.92677,-0.1502962,0.935475,0.2280925
50.92677,0,0.9,0
52.32677,-0.1415984,0.9367301,0.2019517
52.32677,0,0.9,0
53.70677,-0.1307177,0.949819,0.1910356
53.70677,0,0.9,0
55.26677,-0.1444921,0.9469667,0.1939095
55.26677,0,0.9,0
56.86674,-0.155822,0.9332703,0.2129804
56.86674,0,0.9,0
57.62675,-0.002862744,0.9037805,0.01105518
57.62675,0,0.9,0
59.30675,-0.1504797,0.9381055,0.2082101
59.30675,0,0.9,0
60.76677,-0.1398214,0.943364,0.19688
60.76677,0,0.9,0
62.22676,-0.1364536,0.9460094,0.2007305
62.22676,0,0.9,0
63.74675,-0.1481049,0.9334314,0.2095809
63.74675,0,0.9,0
65.24675,-0.1355827,0.9331262,0.1975557
65.24675,0,0.9,0
76.94676,-0.1587407,0.9309154,0.2034694
76.94676,0,0.9,0
79.52675,-0.1555595,0.9387475,0.2104887
79.52675,0,0.9,0
81.06676,-0.1388047,0.9380023,0.2116335
81.06676,0,0.9,0
82.70677,-0.1564208,0.9300829,0.2109535
82.70677,0,0.9,0
84.24675,-0.1727732,0.9338191,0.2313887
84.24675,0,0.9,0
85.68675,-0.1311224,0.9332992,0.1734638
85.68675,0,0.9,0
87.22676,-0.1731126,0.9250851,0.2271724
87.22676,0,0.9,0
88.66676,-0.1490877,0.931117,0.2193875
88.66676,0,0.9,0
90.12675,-0.1565739,0.9362164,0.2306178
90.12675,0,0.9,0
91.64674,-0.1567449,0.9336351,0.2395008
91.64674,0,0.9,0
93.06676,-0.1442953,0.9421558,0.2123844
93.06676,0,0.9,0
94.46675,-0.1377947,0.9299657,0.2249697
94.46675,0,0.9,0
95.96675,-0.1498939,0.9336543,0.2247413
95.96675,0,0.9,0
98.98677,-0.1809198,0.9295886,0.2410376
98.98677,0,0.9,0
100.4668,-0.152836,0.9312542,0.2318178
100.4668,0,0.9,0
111.7668,-0.1499976,0.923555,0.2040184
111.7668,0,0.9,0
113.1268,-0.1601192,0.9290243,0.2281374
113.1268,0,0.9,0
114.5267,-0.1872851,0.927919,0.2547023
114.5267,0,0.9,0
115.9468,-0.1617234,0.9262695,0.2336064
115.9468,0,0.9,0
117.3067,-0.1561345,0.929734,0.2248673
117.3067,0,0.9,0
118.6467,-0.1392186,0.9525402,0.1929902
118.6467,0,0.9,0
120.2268,-0.1430969,0.9471226,0.1876514
120.2268,0,0.9,0
121.8067,-0.1501764,0.9309378,0.1959165
121.8067,0,0.9,0
123.2068,-0.1589668,0.9380004,0.2032115
123.2068,0,0.9,0
124.8468,-0.1551913,0.9328404,0.2171625
124.8468,0,0.9,0
126.2068,-0.1504733,0.9382348,0.1918913
126.2068,0,0.9,0
