Time, X, Y, Z
11.81555,7.652633E-06,0.8960009,5.738415E-06
14.29555,-0.1303332,0.9512994,0.2072668
14.29555,0,0.9,0
5.100159,-0.1964988,0.9407292,0.2029951
11.98016,-0.1530737,0.9708019,0.2199461
11.98016,0,0.9,0
12.00016,3.840178E-05,0.8968971,0.0008110292
15.74016,-0.1879019,0.9422355,0.2292383
18.60016,-0.2103066,0.9411371,0.2385645
21.52016,-0.1742699,0.9414015,0.2419981
21.52016,0,0.9,0
23.86016,-0.1846212,0.9475327,0.2181272
23.86016,0,0.9,0
23.88016,-2.482684E-05,0.8959933,-2.384036E-05
26.36016,-0.1924539,0.9512633,0.1992178
26.36016,0,0.9,0
26.38016,-3.033027E-05,0.8959998,-2.771244E-05
28.68016,-0.2064301,0.9434795,0.2159574
28.68016,0,0.9,0
28.70016,-3.870825E-05,0.8959934,2.621966E-05
30.88016,-0.1861302,0.9409924,0.1977472
30.88016,0,0.9,0
30.90016,-2.559274E-07,0.8960033,-3.137908E-05
33.12016,-0.181086,0.9444931,0.2161103
33.12016,0,0.9,0
35.50016,-0.1933156,0.9389833,0.2182463
35.50016,0,0.9,0
37.74016,-0.1910713,0.9315403,0.2281491
37.74016,0,0.9,0
39.76016,-0.1806464,0.9325017,0.2122481
39.76016,0,0.9,0
41.92015,-0.1669303,0.93435,0.2155432
41.92015,0,0.9,0
44.20016,-0.1393392,0.9400646,0.2204989
44.20016,0,0.9,0
46.50016,-0.1275271,0.9447612,0.2335575
46.50016,0,0.9,0
48.66016,-0.1644476,0.9345457,0.2081992
48.66016,0,0.9,0
50.92015,-0.1538802,0.9469308,0.2280917
50.92015,0,0.9,0
66.04016,-0.05868764,0.9369411,0.09418022
68.46016,-0.1811462,0.9397169,0.2146292
68.46016,0,0.9,0
68.48016,-2.534079E-05,0.8959947,2.944438E-05
70.14015,-0.08231018,0.934638,0.1105769
72.74016,-0.1818636,0.9302034,0.2169813
72.74016,0,0.9,0
75.02016,-0.1838917,0.9275222,0.2137796
75.02016,0,0.9,0
76.94016,-0.1667542,0.9249725,0.2124889
76.94016,0,0.9,0
78.74016,-0.16508,0.9257529,0.2137531
78.74016,0,0.9,0
80.66016,-0.1528821,0.9273414,0.2106158
80.66016,0,0.9,0
82.46016,-0.1661958,0.9296399,0.2013551
82.46016,0,0.9,0
84.40016,-0.1856356,0.9331045,0.2122147
84.40016,0,0.9,0
86.30016,-0.1726127,0.9268799,0.1921706
86.30016,0,0.9,0
88.26015,-0.15207,0.9278072,0.2132574
88.26015,0,0.9,0
90.08015,-0.1624956,0.9309905,0.2009376
90.08015,0,0.9,0
92.00015,-0.1729422,0.9311466,0.1918833
92.00015,0,0.9,0
93.80016,-0.1584495,0.928915,0.1994485
93.80016,0,0.9,0
95.74016,-0.1565687,0.9245318,0.1949944
95.74016,0,0.9,0
97.66016,-0.1690867,0.9309134,0.1861721
97.66016,0,0.9,0
111.9402,-0.1745295,0.9299803,0.1970323
111.9402,0,0.9,0
114.1201,-0.1621634,0.9357383,0.2313346
114.1201,0,0.9,0
116.7402,-0.1302217,0.9383252,0.1880334
116.7402,0,0.9,0
119.9602,-0.1872079,0.9252024,0.2072216
119.9602,0,0.9,0
122.0002,-0.1809069,0.9297975,0.2167148
122.0002,0,0.9,0
123.9602,-0.1689483,0.9249322,0.216196
123.9602,0,0.9,0
123.9801,-0.00115527,0.89599,0.00164596
125.9602,-0.1602555,0.9241382,0.2040378
125.9602,0,0.9,0
125.9801,-0.000854858,0.895968,0.001276904
128.0202,-0.1546482,0.9400198,0.2123134
128.0202,0,0.9,0
128.0401,-6.018099E-05,0.8959833,0.0001836162
130.1201,-0.163705,0.9337199,0.2188395
130.1201,0,0.9,0
132.1402,-0.1842509,0.9414532,0.2208506
132.1402,0,0.9,0
132.1602,-9.034392E-06,0.8959954,5.154902E-05
134.1002,-0.153171,0.9511067,0.2248739
134.1002,0,0.9,0
134.1201,-2.163507E-05,0.8959936,7.447964E-05
136.1602,-0.1612339,0.9520033,0.237052
136.1602,0,0.9,0
136.1801,9.390729E-06,0.8960013,1.159841E-05
138.6201,-0.1113503,0.9481909,0.1967343
138.6201,0,0.9,0
141.6002,-0.1786813,0.9404726,0.2118858
141.6002,0,0.9,0
144.1002,-0.1467259,0.9410803,0.2089248
144.1002,0,0.9,0
156.6602,-0.1608463,0.9386249,0.1909927
156.6602,0,0.9,0
159.2202,-0.1549506,0.9429313,0.2089176
159.2202,0,0.9,0
161.1602,-0.171162,0.9481778,0.2226606
161.1602,0,0.9,0
163.1602,-0.1825941,0.9565504,0.2320801
163.1602,0,0.9,0
163.1801,-6.266674E-06,0.8959956,5.941518E-05
165.1801,-0.1839908,0.9464188,0.2331175
165.1801,0,0.9,0
165.2001,2.222897E-05,0.8960016,1.532716E-05
167.2402,-0.168789,0.9491976,0.2163169
167.2402,0,0.9,0
167.2601,9.286479E-06,0.896001,6.115659E-06
169.7202,-0.1549667,0.9449692,0.2128767
169.7202,0,0.9,0
172.1402,-0.1834523,0.9533484,0.2514897
174.3602,-0.2015953,0.9488921,0.2459168
174.3602,0,0.9,0
176.4202,-0.1495322,0.9484338,0.2411806
176.4202,0,0.9,0
176.4402,8.917594E-06,0.8960009,6.908957E-06
178.4402,-0.196841,0.9593393,0.2383933
178.4402,0,0.9,0
178.4601,1.38779E-05,0.896001,1.091271E-05
180.5401,-0.1810572,0.9571195,0.2453172
180.5401,0,0.9,0
