Time, X, Y, Z
5.179993,-0.15,0.86,0.2
5.179993,-0.15,0.86,0.2
6.639984,-0.15,0.86,0.2
6.639984,-0.15,0.86,0.2
8.159973,-0.15,0.86,0.2
8.159973,-0.15,0.86,0.2
9.5,-0.15,0.86,0.2
9.5,-0.15,0.86,0.2
10.85999,-0.15,0.86,0.2
10.85999,-0.15,0.86,0.2
12.19998,-0.15,0.86,0.2
12.19998,-0.15,0.86,0.2
13.5,-0.15,0.86,0.2
13.5,-0.15,0.86,0.2
14.85999,-0.15,0.86,0.2
14.85999,-0.15,0.86,0.2
16.12,-0.15,0.86,0.2
16.12,-0.15,0.86,0.2
17.44,-0.15,0.86,0.2
17.44,-0.15,0.86,0.2
18.73999,-0.15,0.86,0.2
18.73999,-0.15,0.86,0.2
20.06,-0.15,0.86,0.2
20.06,-0.15,0.86,0.2
20.12,-0.15,0.86,0.2
21.41998,-0.15,0.86,0.2
21.41998,-0.15,0.86,0.2
23.03998,-0.15,0.86,0.2
23.03998,-0.15,0.86,0.2
24.34,-0.15,0.86,0.2
24.34,-0.15,0.86,0.2
25.89999,-0.15,0.86,0.2
25.89999,-0.15,0.86,0.2
28.35999,-0.15,0.86,0.2
28.35999,-0.15,0.86,0.2
30.72,-0.15,0.86,0.2
30.72,-0.15,0.86,0.2
32,-0.15,0.86,0.2
32,-0.15,0.86,0.2
33.23999,-0.15,0.86,0.2
33.23999,-0.15,0.86,0.2
34.41998,-0.15,0.86,0.2
34.41998,-0.15,0.86,0.2
35.67999,-0.15,0.86,0.2
35.67999,-0.15,0.86,0.2
36.97998,-0.15,0.86,0.2
36.97998,-0.15,0.86,0.2
38.25998,-0.15,0.86,0.2
38.25998,-0.15,0.86,0.2
39.35999,-0.15,0.86,0.2
39.35999,-0.15,0.86,0.2
40.69998,-0.15,0.86,0.2
40.69998,-0.15,0.86,0.2
42.22,-0.15,0.86,0.2
42.22,-0.15,0.86,0.2
42.87997,-0.15,0.86,0.2
42.87997,-0.15,0.86,0.2
44.17999,-0.15,0.86,0.2
44.17999,-0.15,0.86,0.2
45.57999,-0.15,0.86,0.2
45.57999,-0.15,0.86,0.2
47,-0.15,0.86,0.2
47,-0.15,0.86,0.2
48.19998,-0.15,0.86,0.2
48.19998,-0.15,0.86,0.2
50.53998,-0.15,0.86,0.2
50.53998,-0.15,0.86,0.2
52,-0.15,0.86,0.2
52,-0.15,0.86,0.2
53.69998,-0.15,0.86,0.2
53.69998,-0.15,0.86,0.2
55.17999,-0.15,0.86,0.2
55.17999,-0.15,0.86,0.2
56.35999,-0.15,0.86,0.2
59.69998,-0.15,0.86,0.2
59.69998,-0.15,0.86,0.2
61.47998,-0.15,0.86,0.2
61.47998,-0.15,0.86,0.2
63.28,-0.15,0.86,0.2
63.28,-0.15,0.86,0.2
67.19998,-0.15,0.86,0.2
67.19998,-0.15,0.86,0.2
69.28,-0.15,0.86,0.2
69.28,-0.15,0.86,0.2
71.01999,-0.15,0.86,0.2
71.01999,-0.15,0.86,0.2
72.47998,-0.15,0.86,0.2
73.72,-0.15,0.86,0.2
73.72,-0.15,0.86,0.2
75.15997,-0.15,0.86,0.2
75.15997,-0.15,0.86,0.2
75.17999,-0.15,0.86,0.2
81.75998,-0.15,0.86,0.2
81.75998,-0.15,0.86,0.2
85.34,-0.15,0.86,0.2
85.34,-0.15,0.86,0.2
86.19998,-0.15,0.86,0.2
97.37997,-0.15,0.86,0.2
97.37997,-0.15,0.86,0.2
98.39999,-0.15,0.86,0.2
98.39999,-0.15,0.86,0.2
99.91998,-0.15,0.86,0.2
99.91998,-0.15,0.86,0.2
100.42,-0.15,0.86,0.2
101.3,-0.15,0.86,0.2
101.3,-0.15,0.86,0.2
103,-0.15,0.86,0.2
103,-0.15,0.86,0.2
105.6,-0.15,0.86,0.2
105.6,-0.15,0.86,0.2
106.98,-0.15,0.86,0.2
106.98,-0.15,0.86,0.2
108.22,-0.15,0.86,0.2
108.22,-0.15,0.86,0.2
110.32,-0.15,0.86,0.2
110.32,-0.15,0.86,0.2
111.4,-0.15,0.86,0.2
111.4,-0.15,0.86,0.2
112.48,-0.15,0.86,0.2
112.48,-0.15,0.86,0.2
