Time, X, Y, Z
4.037964,-0.15,0.86,0.2
4.037964,-0.15,0.86,0.2
6.197937,-0.15,0.86,0.2
6.197937,-0.15,0.86,0.2
9.197937,-0.15,0.86,0.2
9.197937,-0.15,0.86,0.2
11.11792,-0.15,0.86,0.2
11.11792,-0.15,0.86,0.2
12.95795,-0.15,0.86,0.2
12.95795,-0.15,0.86,0.2
14.83795,-0.15,0.86,0.2
14.83795,-0.15,0.86,0.2
16.83795,-0.15,0.86,0.2
16.83795,-0.15,0.86,0.2
18.61792,-0.15,0.86,0.2
18.61792,-0.15,0.86,0.2
20.41797,-0.15,0.86,0.2
20.41797,-0.15,0.86,0.2
22.37793,-0.15,0.86,0.2
22.37793,-0.15,0.86,0.2
24.11792,-0.15,0.86,0.2
24.11792,-0.15,0.86,0.2
26.07794,-0.15,0.86,0.2
26.07794,-0.15,0.86,0.2
27.85791,-0.15,0.86,0.2
27.85791,-0.15,0.86,0.2
29.59796,-0.15,0.86,0.2
29.59796,-0.15,0.86,0.2
32.27795,-0.15,0.86,0.2
32.27795,-0.15,0.86,0.2
34.33795,-0.15,0.86,0.2
34.33795,-0.15,0.86,0.2
47.59796,-0.15,0.86,0.2
47.59796,-0.15,0.86,0.2
49.29791,-0.15,0.86,0.2
49.29791,-0.15,0.86,0.2
51.03796,-0.15,0.86,0.2
51.03796,-0.15,0.86,0.2
52.85791,-0.15,0.86,0.2
52.85791,-0.15,0.86,0.2
54.51794,-0.15,0.86,0.2
54.51794,-0.15,0.86,0.2
56.23792,-0.15,0.86,0.2
56.23792,-0.15,0.86,0.2
57.99792,-0.15,0.86,0.2
57.99792,-0.15,0.86,0.2
59.85791,-0.15,0.86,0.2
59.85791,-0.15,0.86,0.2
61.53796,-0.15,0.86,0.2
61.53796,-0.15,0.86,0.2
63.25793,-0.15,0.86,0.2
63.25793,-0.15,0.86,0.2
65.25793,-0.15,0.86,0.2
65.25793,-0.15,0.86,0.2
68.23792,-0.15,0.86,0.2
68.23792,-0.15,0.86,0.2
69.95795,-0.15,0.86,0.2
69.95795,-0.15,0.86,0.2
71.67792,-0.15,0.86,0.2
71.67792,-0.15,0.86,0.2
73.33795,-0.15,0.86,0.2
73.33795,-0.15,0.86,0.2
85.41791,-0.15,0.86,0.2
85.41791,-0.15,0.86,0.2
87.01794,-0.15,0.86,0.2
87.01794,-0.15,0.86,0.2
88.71796,-0.15,0.86,0.2
88.71796,-0.15,0.86,0.2
90.31793,-0.15,0.86,0.2
90.31793,-0.15,0.86,0.2
91.85791,-0.15,0.86,0.2
91.85791,-0.15,0.86,0.2
93.47797,-0.15,0.86,0.2
93.47797,-0.15,0.86,0.2
95.17792,-0.15,0.86,0.2
95.17792,-0.15,0.86,0.2
96.69794,-0.15,0.86,0.2
96.69794,-0.15,0.86,0.2
98.37793,-0.15,0.86,0.2
98.37793,-0.15,0.86,0.2
99.93793,-0.15,0.86,0.2
99.93793,-0.15,0.86,0.2
101.6779,-0.15,0.86,0.2
101.6779,-0.15,0.86,0.2
103.2579,-0.15,0.86,0.2
103.2579,-0.15,0.86,0.2
104.8779,-0.15,0.86,0.2
104.8779,-0.15,0.86,0.2
106.5179,-0.15,0.86,0.2
106.5179,-0.15,0.86,0.2
108.2379,-0.15,0.86,0.2
108.2379,-0.15,0.86,0.2
120.3179,-0.15,0.86,0.2
120.3179,-0.15,0.86,0.2
121.778,-0.15,0.86,0.2
121.778,-0.15,0.86,0.2
123.3179,-0.15,0.86,0.2
123.3179,-0.15,0.86,0.2
124.8979,-0.15,0.86,0.2
124.8979,-0.15,0.86,0.2
126.5179,-0.15,0.86,0.2
126.5179,-0.15,0.86,0.2
128.0579,-0.15,0.86,0.2
128.0579,-0.15,0.86,0.2
129.7379,-0.15,0.86,0.2
129.7379,-0.15,0.86,0.2
132.5579,-0.15,0.86,0.2
132.5579,-0.15,0.86,0.2
134.2979,-0.15,0.86,0.2
134.2979,-0.15,0.86,0.2
135.8579,-0.15,0.86,0.2
135.8579,-0.15,0.86,0.2
137.478,-0.15,0.86,0.2
137.478,-0.15,0.86,0.2
