Time, X, Y, Z
3.600006,-0.2565552,0.9150409,0.2007893
3.600006,0,0.9,0
5.319992,-0.26249,0.9093282,0.1928802
5.319992,0,0.9,0
6.800003,-0.2657978,0.9187584,0.2078282
6.800003,0,0.9,0
8.419998,-0.282611,0.9128085,0.2151716
8.419998,0,0.9,0
10.42,-0.265554,0.9292409,0.2029312
10.42,0,0.9,0
13.2,-0.2713672,0.9159037,0.1999834
13.2,0,0.9,0
14.88,-0.2658992,0.9178984,0.1984188
14.88,0,0.9,0
16.56,-0.2830293,0.9157071,0.2100461
16.56,0,0.9,0
18.17999,-0.2763967,0.9142244,0.2029739
18.17999,0,0.9,0
20.31999,-0.271235,0.918126,0.1947605
20.31999,0,0.9,0
21.99998,-0.2610691,0.915279,0.1937891
21.99998,0,0.9,0
23.52,-0.2744993,0.9270446,0.2111807
23.52,0,0.9,0
25.14,-0.2730446,0.9147438,0.2228929
25.14,0,0.9,0
26.74001,-0.2713194,0.9206361,0.2165799
26.74001,0,0.9,0
28.34001,-0.2746098,0.9229307,0.2183249
28.34001,0,0.9,0
29.98,-0.271926,0.9263704,0.2017145
29.98,0,0.9,0
43.06001,-0.2677914,0.9155405,0.20467
43.06001,0,0.9,0
46.52,-0.2984496,0.9188712,0.2220532
46.52,0,0.9,0
48.3,-0.2816952,0.9265848,0.2181688
48.3,0,0.9,0
50.09999,-0.3246428,0.9193522,0.226689
50.09999,0,0.9,0
51.90001,-0.2750119,0.9291114,0.2165342
51.90001,0,0.9,0
53.8,-0.2515523,0.9309114,0.1926693
53.8,0,0.9,0
55.53999,-0.2845814,0.9301239,0.2113529
55.53999,0,0.9,0
57.25999,-0.2942687,0.9171555,0.221607
57.25999,0,0.9,0
59.03999,-0.2785379,0.9153307,0.2183573
59.03999,0,0.9,0
60.77998,-0.2682396,0.9221147,0.212581
60.77998,0,0.9,0
62.59999,-0.2658567,0.9269819,0.1964632
62.59999,0,0.9,0
64.40001,-0.2651146,0.9348854,0.2066218
64.40001,0,0.9,0
66.05998,-0.2774789,0.9340622,0.2054099
66.05998,0,0.9,0
67.93999,-0.2911487,0.9134354,0.2072115
67.93999,0,0.9,0
69.58,-0.2720756,0.9292055,0.2123223
69.58,0,0.9,0
81.81999,-0.2752076,0.9203792,0.2191397
81.81999,0,0.9,0
83.48,-0.2667345,0.9158149,0.2158991
83.48,0,0.9,0
85.03999,-0.2701218,0.9202801,0.2122781
85.03999,0,0.9,0
86.62001,-0.2718593,0.9193282,0.2084947
86.62001,0,0.9,0
88.24001,-0.264138,0.926172,0.2026353
88.24001,0,0.9,0
89.8,-0.2693635,0.9297617,0.1986154
89.8,0,0.9,0
91.49998,-0.2813821,0.9266545,0.2142818
91.49998,0,0.9,0
92.98,-0.2723245,0.9161048,0.2096952
92.98,0,0.9,0
94.59999,-0.2758431,0.9189668,0.2175605
94.59999,0,0.9,0
96.36,-0.2712825,0.9252498,0.213249
96.36,0,0.9,0
97.84001,-0.2644717,0.9302664,0.1980539
97.84001,0,0.9,0
99.42,-0.2740985,0.9280297,0.2113891
99.42,0,0.9,0
101.06,-0.2699373,0.9178603,0.2055682
101.06,0,0.9,0
102.7,-0.2927845,0.9155358,0.2274746
102.7,0,0.9,0
104.32,-0.276281,0.9109381,0.2100893
104.32,0,0.9,0
118.18,-0.2745765,0.9352472,0.2079454
118.18,0,0.9,0
119.7,-0.2661152,0.912152,0.2168931
119.7,0,0.9,0
121.32,-0.2660117,0.9267361,0.1971903
121.32,0,0.9,0
122.88,-0.2795236,0.9161251,0.2195815
122.88,0,0.9,0
124.38,-0.2874611,0.917406,0.2105824
124.38,0,0.9,0
125.98,-0.265828,0.9115216,0.2174103
125.98,0,0.9,0
127.58,-0.2880658,0.9048849,0.2030279
127.58,0,0.9,0
129.18,-0.2805133,0.9189748,0.2181114
129.18,0,0.9,0
130.62,-0.2654725,0.9240983,0.2021906
130.62,0,0.9,0
132.2,-0.2739942,0.9202713,0.2071613
132.2,0,0.9,0
133.8,-0.2518981,0.939099,0.1794311
133.8,0,0.9,0
