Time, X, Y, Z
3.600006,-0.25,0.86,0.2
3.600006,-0.25,0.86,0.2
5.319992,-0.25,0.86,0.2
5.319992,-0.25,0.86,0.2
6.800003,-0.25,0.86,0.2
6.800003,-0.25,0.86,0.2
8.419998,-0.25,0.86,0.2
8.419998,-0.25,0.86,0.2
10.42,-0.25,0.86,0.2
10.42,-0.25,0.86,0.2
13.2,-0.25,0.86,0.2
13.2,-0.25,0.86,0.2
14.88,-0.25,0.86,0.2
14.88,-0.25,0.86,0.2
16.56,-0.25,0.86,0.2
16.56,-0.25,0.86,0.2
18.17999,-0.25,0.86,0.2
18.17999,-0.25,0.86,0.2
20.31999,-0.25,0.86,0.2
20.31999,-0.25,0.86,0.2
21.99998,-0.25,0.86,0.2
21.99998,-0.25,0.86,0.2
23.52,-0.25,0.86,0.2
23.52,-0.25,0.86,0.2
25.14,-0.25,0.86,0.2
25.14,-0.25,0.86,0.2
26.74001,-0.25,0.86,0.2
26.74001,-0.25,0.86,0.2
28.34001,-0.25,0.86,0.2
28.34001,-0.25,0.86,0.2
29.98,-0.25,0.86,0.2
29.98,-0.25,0.86,0.2
43.06001,-0.25,0.86,0.2
43.06001,-0.25,0.86,0.2
46.52,-0.25,0.86,0.2
46.52,-0.25,0.86,0.2
48.3,-0.25,0.86,0.2
48.3,-0.25,0.86,0.2
50.09999,-0.25,0.86,0.2
50.09999,-0.25,0.86,0.2
51.90001,-0.25,0.86,0.2
51.90001,-0.25,0.86,0.2
53.8,-0.25,0.86,0.2
53.8,-0.25,0.86,0.2
55.53999,-0.25,0.86,0.2
55.53999,-0.25,0.86,0.2
57.25999,-0.25,0.86,0.2
57.25999,-0.25,0.86,0.2
59.03999,-0.25,0.86,0.2
59.03999,-0.25,0.86,0.2
60.77998,-0.25,0.86,0.2
60.77998,-0.25,0.86,0.2
62.59999,-0.25,0.86,0.2
62.59999,-0.25,0.86,0.2
64.40001,-0.25,0.86,0.2
64.40001,-0.25,0.86,0.2
66.05998,-0.25,0.86,0.2
66.05998,-0.25,0.86,0.2
67.93999,-0.25,0.86,0.2
67.93999,-0.25,0.86,0.2
69.58,-0.25,0.86,0.2
69.58,-0.25,0.86,0.2
81.81999,-0.25,0.86,0.2
81.81999,-0.25,0.86,0.2
83.48,-0.25,0.86,0.2
83.48,-0.25,0.86,0.2
85.03999,-0.25,0.86,0.2
85.03999,-0.25,0.86,0.2
86.62001,-0.25,0.86,0.2
86.62001,-0.25,0.86,0.2
88.24001,-0.25,0.86,0.2
88.24001,-0.25,0.86,0.2
89.8,-0.25,0.86,0.2
89.8,-0.25,0.86,0.2
91.49998,-0.25,0.86,0.2
91.49998,-0.25,0.86,0.2
92.98,-0.25,0.86,0.2
92.98,-0.25,0.86,0.2
94.59999,-0.25,0.86,0.2
94.59999,-0.25,0.86,0.2
96.36,-0.25,0.86,0.2
96.36,-0.25,0.86,0.2
97.84001,-0.25,0.86,0.2
97.84001,-0.25,0.86,0.2
99.42,-0.25,0.86,0.2
99.42,-0.25,0.86,0.2
101.06,-0.25,0.86,0.2
101.06,-0.25,0.86,0.2
102.7,-0.25,0.86,0.2
102.7,-0.25,0.86,0.2
104.32,-0.25,0.86,0.2
104.32,-0.25,0.86,0.2
118.18,-0.25,0.86,0.2
118.18,-0.25,0.86,0.2
119.7,-0.25,0.86,0.2
119.7,-0.25,0.86,0.2
121.32,-0.25,0.86,0.2
121.32,-0.25,0.86,0.2
122.88,-0.25,0.86,0.2
122.88,-0.25,0.86,0.2
124.38,-0.25,0.86,0.2
124.38,-0.25,0.86,0.2
125.98,-0.25,0.86,0.2
125.98,-0.25,0.86,0.2
127.58,-0.25,0.86,0.2
127.58,-0.25,0.86,0.2
129.18,-0.25,0.86,0.2
129.18,-0.25,0.86,0.2
130.62,-0.25,0.86,0.2
130.62,-0.25,0.86,0.2
132.2,-0.25,0.86,0.2
132.2,-0.25,0.86,0.2
133.8,-0.25,0.86,0.2
133.8,-0.25,0.86,0.2
