Time, X, Y, Z
5.86676,-0.15,0.86,0.2
5.86676,-0.15,0.86,0.2
7.826767,-0.15,0.86,0.2
7.826767,-0.15,0.86,0.2
9.786758,-0.15,0.86,0.2
9.786758,-0.15,0.86,0.2
11.64676,-0.15,0.86,0.2
11.64676,-0.15,0.86,0.2
13.44676,-0.15,0.86,0.2
13.44676,-0.15,0.86,0.2
15.06676,-0.15,0.86,0.2
15.06676,-0.15,0.86,0.2
16.60677,-0.15,0.86,0.2
16.60677,-0.15,0.86,0.2
19.76677,-0.15,0.86,0.2
19.76677,-0.15,0.86,0.2
21.28676,-0.15,0.86,0.2
21.28676,-0.15,0.86,0.2
22.76677,-0.15,0.86,0.2
22.76677,-0.15,0.86,0.2
24.14677,-0.15,0.86,0.2
24.14677,-0.15,0.86,0.2
25.70677,-0.15,0.86,0.2
25.70677,-0.15,0.86,0.2
27.20677,-0.15,0.86,0.2
27.20677,-0.15,0.86,0.2
28.56676,-0.15,0.86,0.2
28.56676,-0.15,0.86,0.2
30.00676,-0.15,0.86,0.2
30.00676,-0.15,0.86,0.2
31.40675,-0.15,0.86,0.2
31.40675,-0.15,0.86,0.2
43.48677,-0.15,0.86,0.2
43.48677,-0.15,0.86,0.2
45.00676,-0.15,0.86,0.2
45.00676,-0.15,0.86,0.2
46.64677,-0.15,0.86,0.2
46.64677,-0.15,0.86,0.2
48.00676,-0.15,0.86,0.2
48.00676,-0.15,0.86,0.2
49.42677,-0.15,0.86,0.2
49.42677,-0.15,0.86,0.2
50.92677,-0.15,0.86,0.2
50.92677,-0.15,0.86,0.2
52.32677,-0.15,0.86,0.2
52.32677,-0.15,0.86,0.2
53.70677,-0.15,0.86,0.2
53.70677,-0.15,0.86,0.2
55.26677,-0.15,0.86,0.2
55.26677,-0.15,0.86,0.2
56.86674,-0.15,0.86,0.2
56.86674,-0.15,0.86,0.2
57.62675,-0.15,0.86,0.2
57.62675,-0.15,0.86,0.2
59.30675,-0.15,0.86,0.2
59.30675,-0.15,0.86,0.2
60.76677,-0.15,0.86,0.2
60.76677,-0.15,0.86,0.2
62.22676,-0.15,0.86,0.2
62.22676,-0.15,0.86,0.2
63.74675,-0.15,0.86,0.2
63.74675,-0.15,0.86,0.2
65.24675,-0.15,0.86,0.2
65.24675,-0.15,0.86,0.2
76.94676,-0.15,0.86,0.2
76.94676,-0.15,0.86,0.2
79.52675,-0.15,0.86,0.2
79.52675,-0.15,0.86,0.2
81.06676,-0.15,0.86,0.2
81.06676,-0.15,0.86,0.2
82.70677,-0.15,0.86,0.2
82.70677,-0.15,0.86,0.2
84.24675,-0.15,0.86,0.2
84.24675,-0.15,0.86,0.2
85.68675,-0.15,0.86,0.2
85.68675,-0.15,0.86,0.2
87.22676,-0.15,0.86,0.2
87.22676,-0.15,0.86,0.2
88.66676,-0.15,0.86,0.2
88.66676,-0.15,0.86,0.2
90.12675,-0.15,0.86,0.2
90.12675,-0.15,0.86,0.2
91.64674,-0.15,0.86,0.2
91.64674,-0.15,0.86,0.2
93.06676,-0.15,0.86,0.2
93.06676,-0.15,0.86,0.2
94.46675,-0.15,0.86,0.2
94.46675,-0.15,0.86,0.2
95.96675,-0.15,0.86,0.2
95.96675,-0.15,0.86,0.2
98.98677,-0.15,0.86,0.2
98.98677,-0.15,0.86,0.2
100.4668,-0.15,0.86,0.2
100.4668,-0.15,0.86,0.2
111.7668,-0.15,0.86,0.2
111.7668,-0.15,0.86,0.2
113.1268,-0.15,0.86,0.2
113.1268,-0.15,0.86,0.2
114.5267,-0.15,0.86,0.2
114.5267,-0.15,0.86,0.2
115.9468,-0.15,0.86,0.2
115.9468,-0.15,0.86,0.2
117.3067,-0.15,0.86,0.2
117.3067,-0.15,0.86,0.2
118.6467,-0.15,0.86,0.2
118.6467,-0.15,0.86,0.2
120.2268,-0.15,0.86,0.2
120.2268,-0.15,0.86,0.2
121.8067,-0.15,0.86,0.2
121.8067,-0.15,0.86,0.2
123.2068,-0.15,0.86,0.2
123.2068,-0.15,0.86,0.2
124.8468,-0.15,0.86,0.2
124.8468,-0.15,0.86,0.2
126.2068,-0.15,0.86,0.2
126.2068,-0.15,0.86,0.2
