Time, X, Y, Z
0.0004663467,-0.1306317,0.8990891,0.1213389
0.005935669,-0.1305844,0.8991913,0.121328
0.01699734,-0.1305211,0.8993179,0.1212795
0.0204668,-0.1304834,0.8993604,0.1212632
0.02816296,-0.1303594,0.8994609,0.1212495
0.03941631,-0.1302081,0.8995931,0.1212682
0.04046631,-0.1301999,0.8996016,0.1212703
0.05050278,-0.1301275,0.899689,0.1212938
0.06046677,-0.1300783,0.8997458,0.1213547
0.06157875,-0.1300707,0.8997553,0.1213513
0.0724535,-0.1300055,0.8998131,0.1213247
0.08046627,-0.129967,0.899817,0.1213071
0.08363914,-0.1299562,0.8998107,0.1212875
0.09492016,-0.1299411,0.8997799,0.1212511
0.1004667,-0.1299094,0.8997902,0.1212777
0.1061068,-0.1298912,0.8998051,0.1212816
0.1169281,-0.1299209,0.8998422,0.1212195
0.1204662,-0.1299585,0.8998626,0.1211949
0.1280413,-0.1300243,0.8999202,0.1211363
0.1391306,-0.1300609,0.9000257,0.1210585
0.1404667,-0.1300634,0.900036,0.1210499
0.1503105,-0.1300678,0.9000822,0.1209876
0.1604671,-0.1300702,0.9000987,0.120965
0.161437,-0.1300791,0.9001111,0.1209598
0.1724415,-0.1301516,0.9002264,0.1209053
0.1804667,-0.1301393,0.9002641,0.120865
0.1835966,-0.1301082,0.9002863,0.1208278
0.1947336,-0.1299826,0.9003207,0.120754
0.2004671,-0.1298803,0.9003496,0.1208006
0.2058172,-0.1297971,0.9003775,0.1208196
0.2168856,-0.1297175,0.9003824,0.1207605
0.2204666,-0.129681,0.900341,0.1207228
0.2281075,-0.1295935,0.9002491,0.1206425
0.2389288,-0.1295203,0.9001769,0.1205921
0.2404671,-0.12951,0.9001724,0.1205923
0.2502975,-0.1294472,0.9001285,0.1205891
0.2604666,-0.1294758,0.900075,0.1206255
0.2614164,-0.1294746,0.9000754,0.1206303
0.2724514,-0.1294513,0.9000851,0.1206935
0.280467,-0.1294269,0.9001111,0.1207733
0.2836304,-0.1294434,0.9001378,0.1208229
0.2947121,-0.1294733,0.9001772,0.1209576
0.3004665,-0.1294369,0.9001565,0.1210098
0.3058596,-0.1294356,0.900181,0.121082
0.316967,-0.1295171,0.9003049,0.1212322
0.320467,-0.1295268,0.9003156,0.1212758
0.3280869,-0.1295604,0.9003124,0.1213746
0.3390045,-0.1296359,0.9002434,0.1214696
0.3404665,-0.1296477,0.900242,0.1214791
0.350215,-0.1297084,0.9002559,0.1215193
0.360467,-0.1297458,0.9003161,0.1215282
