Time, X, Y, Z
8.48,-0.1306807,0.931653,0.2208018
8.48,0,0.9,0
11.66,-0.1203562,0.9643203,0.2102377
11.66,0,0.9,0
11.68,0.0001077359,0.8972833,0.001166118
14.44,-0.1555606,0.9556711,0.2112785
14.44,0,0.9,0
17.16,-0.004656652,0.8981076,0.004152704
18.62,-0.1484421,0.925955,0.1936608
18.62,0,0.9,0
21.26,-0.1744426,0.9542502,0.2084233
21.26,0,0.9,0
21.28,3.141382E-05,0.8962277,0.0002156506
24.1,-0.1654934,0.9820255,0.1975288
24.1,0,0.9,0
24.12,0.0001491416,0.8978631,0.001686742
27.28,-0.1295512,0.9486555,0.1966921
27.28,0,0.9,0
27.3,0.0001452338,0.89629,4.000243E-05
32.12,-0.1655717,0.9537928,0.2139072
32.12,0,0.9,0
32.14,-2.440704E-05,0.8960018,-1.313061E-05
35.3,-0.1562433,0.9439793,0.2181692
35.3,0,0.9,0
38.04,-0.1809873,0.9600257,0.2044819
38.04,0,0.9,0
38.06,5.406229E-05,0.8973025,0.001262686
39.36,-0.02854974,0.8981965,0.02404587
45.02,-0.1466307,0.9333844,0.2167991
45.02,0,0.9,0
48.02,-0.1650184,0.9275488,0.2172349
48.02,0,0.9,0
51.26,-0.1889344,0.9343393,0.2069584
51.26,0,0.9,0
56.02,-0.155008,0.9572415,0.2061937
56.02,0,0.9,0
56.04,3.377453E-05,0.8963202,0.0002886117
61.9,-0.1630925,0.960834,0.1964927
61.9,0,0.9,0
61.92,0.0002683717,0.8975945,0.001487561
65.27365,-0.00133609,0.9080364,0.01414884
65.27365,0,0.9,0
68.96001,-0.1057818,0.9400076,0.2070907
68.96001,0,0.9,0
68.98,5.309787E-06,0.8960028,2.009233E-05
81.84,-0.004580292,0.8964286,0.004949613
81.84,0,0.9,0
84.42,-0.136372,0.9422014,0.1852219
84.42,0,0.9,0
87.08,-0.1536521,0.9470232,0.1883587
87.08,0,0.9,0
87.09999,0.0001319022,0.8963571,0.0003203717
89.67999,-0.1838663,0.9326258,0.1752114
92.09999,-0.2014318,0.9356403,0.2010545
92.09999,0,0.9,0
94.15999,-0.1903044,0.932092,0.1909552
94.15999,0,0.9,0
96.31999,-0.1916229,0.9400996,0.2039549
96.31999,0,0.9,0
98.56,-0.1689607,0.9461213,0.2230373
98.56,0,0.9,0
98.58,6.84716E-05,0.8966421,0.000598427
100.5,-0.1969962,0.9453788,0.1795448
100.5,0,0.9,0
101.84,-0.0499261,0.9045109,0.02418866
103.08,-0.01122044,0.8942442,0.006655603
103.08,0,0.9,0
103.12,1.907305E-06,0.8980767,0.004496159
103.22,-0.003532161,0.8986671,-0.0006326119
103.22,0,0.9,0
104.74,-0.133428,0.9263148,0.2158197
104.74,0,0.9,0
107.52,-0.1611037,0.9369872,0.2199124
107.52,0,0.9,0
107.54,1.472358E-06,0.8959991,2.449772E-05
109.94,0.001320333,0.8988461,0.006274676
113.64,-0.1870313,0.9850638,0.2765331
113.64,0,0.9,0
113.66,-0.001030643,0.8957695,0.002234878
116.6,-0.1317491,0.9490551,0.2362043
116.6,0,0.9,0
116.62,-3.652911E-06,0.8959991,1.622958E-05
119.26,-0.1519661,0.9564005,0.2233966
119.26,0,0.9,0
119.28,-3.064993E-06,0.8961657,-0.0001490205
120.8374,-0.1248301,0.9100119,0.2305609
120.8374,0,0.9,0
120.8374,-0.1334956,0.9251954,0.2149134
120.8374,0,0.9,0
134.5,-0.002119501,0.8973325,0.005524273
136.44,-0.1498613,0.9341768,0.2028919
136.44,0,0.9,0
139.16,-0.1251052,0.9124421,0.2098738
139.16,0,0.9,0
144.74,-0.1394473,0.9012467,0.2046437
144.74,0,0.9,0
147.9916,-0.1525785,0.9259548,0.1947011
147.9916,0,0.9,0
150.92,-0.1460716,0.9550972,0.1975214
150.92,0,0.9,0
152.74,-0.1281453,0.908954,0.1769843
152.74,0,0.9,0
154.522,-0.148433,0.8970978,0.1708139
154.522,0,0.9,0
156.88,-0.009615988,0.8983576,0.007503495
156.88,0,0.9,0
158.2,-0.1923755,0.9576763,0.1971645
158.22,-2.908921E-05,0.8960662,-5.190695E-05
160.28,-0.1746251,0.9267251,0.1768336
160.28,0,0.9,0
160.28,0.0001936827,0.8990936,-0.001139184
164.62,-0.1707311,0.9593993,0.1844454
164.62,0,0.9,0
164.64,9.502914E-05,0.8966705,-0.0006901662
166.38,-0.2023485,0.9359822,0.2163246
166.38,0,0.9,0
169.9815,-0.1677428,0.9203132,0.2123775
169.9815,0,0.9,0
172.58,0.01434676,0.8957788,-0.0004598573
172.58,0,0.9,0
173.32,0.0008985698,0.8994735,0.009762768
173.32,0,0.9,0
173.64,0.01461695,0.9514501,0.05070053
173.66,0.002267572,0.8998688,0.001396322
174.82,-0.004291931,0.9020758,0.01015491
174.82,0,0.9,0
174.88,-0.002465091,0.9052956,0.008658717
174.88,0,0.9,0
174.92,-0.002590383,0.9034663,0.005440942
174.92,0,0.9,0
175.04,-0.005004449,0.895745,0.006187594
175.04,0,0.9,0
177.3,-0.2142444,0.9490401,0.2290819
177.32,-8.941005E-07,0.8960004,7.449469E-07
179.98,-0.1870314,0.9572701,0.2074859
179.98,0,0.9,0
180,-3.848647E-06,0.8960003,-2.3698E-06
180.9,-0.003160122,0.8944659,0.02006309
180.9,0,0.9,0
180.94,-0.004227398,0.9039446,0.005062135
180.94,0,0.9,0
182.12,-0.1684714,0.9324107,0.1920363
182.12,0,0.9,0
183,-0.005397187,0.901212,0.007809497
183,0,0.9,0
184.08,-0.1639578,0.9381244,0.2231373
184.08,0,0.9,0
184.82,0.02226279,0.8926994,0.003093395
184.86,-4.765682E-05,0.900975,0.01182692
184.86,0,0.9,0
187.42,-0.1613606,0.975853,0.2901829
187.42,0.00192057,0.8980446,-7.444202E-05
190.26,-0.132636,0.9472739,0.2082963
190.26,0,0.9,0
197.02,-0.1891592,0.9338682,0.2175696
198.8,-0.1426294,0.9574416,0.2132555
198.8,0,0.9,0
198.82,0.0002211837,0.8962231,4.16882E-06
200.6,-0.1190537,0.9381673,0.2271189
200.6,0,0.9,0
202.38,-0.13149,0.9409478,0.2452404
202.38,0,0.9,0
205.36,-0.186467,0.928964,0.2298728
206.9,-0.1540688,0.948112,0.1793066
206.9,0,0.9,0
206.9,0.000977371,0.8979816,0.000946558
208,0.005462936,0.8995499,0.0003421879
208,0,0.9,0
210.3079,-0.1950757,0.9417147,0.2078128
210.3079,0,0.9,0
210.3079,-8.576261E-05,0.8984757,0.002852248
211.64,-0.004934907,0.8951572,0.005877632
211.74,-0.01248385,0.8949971,0.01047192
211.74,0,0.9,0
211.8,1.726886E-05,0.9089928,0.004708468
213.74,-0.158226,0.9376258,0.1950528
213.74,0,0.9,0
213.76,0.0008116991,0.8984767,-7.408767E-05
216.54,-0.1204252,0.9543982,0.2007395
216.54,0,0.9,0
216.56,0.001520951,0.8981519,0.0005628975
219.14,-0.1672095,0.958014,0.1817165
219.14,0,0.9,0
219.16,-6.649224E-06,0.8960001,-4.434788E-06
220.94,-0.1497561,0.9075479,0.1909675
220.94,0,0.9,0
222.891,-0.1794023,0.9192752,0.2104884
222.891,0,0.9,0
224.34,-0.001024004,0.9012155,0.007382584
225.48,-0.1965436,0.9453783,0.2197279
225.5,-0.0002339826,0.8973574,0.0006236025
227.18,-0.1535736,0.9057011,0.1813731
227.18,0,0.9,0
229.28,-0.1378101,0.9163225,0.1893682
229.28,0,0.9,0
230.2,-0.002178628,0.8967979,0.005960537
230.2,0,0.9,0
231.28,-0.1928385,0.9094725,0.2019151
231.28,0,0.9,0
