Time, X, Y, Z
8.48,-0.15,0.86,0.2
8.48,-0.15,0.86,0.2
11.66,-0.15,0.86,0.2
11.66,-0.15,0.86,0.2
14.44,-0.15,0.86,0.2
14.44,-0.15,0.86,0.2
18.62,-0.15,0.86,0.2
18.62,-0.15,0.86,0.2
21.26,-0.15,0.86,0.2
21.26,-0.15,0.86,0.2
24.1,-0.15,0.86,0.2
24.1,-0.15,0.86,0.2
27.28,-0.15,0.86,0.2
27.28,-0.15,0.86,0.2
32.12,-0.15,0.86,0.2
32.12,-0.15,0.86,0.2
35.3,-0.15,0.86,0.2
35.3,-0.15,0.86,0.2
38.04,-0.15,0.86,0.2
38.04,-0.15,0.86,0.2
45.02,-0.15,0.86,0.2
45.02,-0.15,0.86,0.2
48.02,-0.15,0.86,0.2
48.02,-0.15,0.86,0.2
51.26,-0.15,0.86,0.2
51.26,-0.15,0.86,0.2
56.02,-0.15,0.86,0.2
56.02,-0.15,0.86,0.2
61.9,-0.15,0.86,0.2
61.9,-0.15,0.86,0.2
65.27365,-0.15,0.86,0.2
68.96001,-0.15,0.86,0.2
68.96001,-0.15,0.86,0.2
81.84,-0.15,0.86,0.2
84.42,-0.15,0.86,0.2
84.42,-0.15,0.86,0.2
87.08,-0.15,0.86,0.2
87.08,-0.15,0.86,0.2
89.67999,-0.15,0.86,0.2
92.09999,-0.15,0.86,0.2
92.09999,-0.15,0.86,0.2
94.15999,-0.15,0.86,0.2
94.15999,-0.15,0.86,0.2
96.31999,-0.15,0.86,0.2
96.31999,-0.15,0.86,0.2
98.56,-0.15,0.86,0.2
98.56,-0.15,0.86,0.2
100.5,-0.15,0.86,0.2
100.5,-0.15,0.86,0.2
101.84,-0.15,0.86,0.2
103.08,-0.15,0.86,0.2
103.22,-0.15,0.86,0.2
104.74,-0.15,0.86,0.2
104.74,-0.15,0.86,0.2
107.52,-0.15,0.86,0.2
107.52,-0.15,0.86,0.2
113.64,-0.15,0.86,0.2
113.64,-0.15,0.86,0.2
116.6,-0.15,0.86,0.2
116.6,-0.15,0.86,0.2
119.26,-0.15,0.86,0.2
119.26,-0.15,0.86,0.2
120.8374,-0.15,0.86,0.2
120.8374,-0.15,0.86,0.2
120.8374,-0.15,0.86,0.2
120.8374,-0.15,0.86,0.2
134.5,-0.15,0.86,0.2
136.44,-0.15,0.86,0.2
136.44,-0.15,0.86,0.2
139.16,-0.15,0.86,0.2
139.16,-0.15,0.86,0.2
144.74,-0.15,0.86,0.2
144.74,-0.15,0.86,0.2
147.9916,-0.15,0.86,0.2
147.9916,-0.15,0.86,0.2
150.92,-0.15,0.86,0.2
150.92,-0.15,0.86,0.2
152.74,-0.15,0.86,0.2
152.74,-0.15,0.86,0.2
154.522,-0.15,0.86,0.2
154.522,-0.15,0.86,0.2
156.88,-0.15,0.86,0.2
158.2,-0.15,0.86,0.2
160.28,-0.15,0.86,0.2
160.28,-0.15,0.86,0.2
164.62,-0.15,0.86,0.2
164.62,-0.15,0.86,0.2
166.38,-0.15,0.86,0.2
166.38,-0.15,0.86,0.2
169.9815,-0.15,0.86,0.2
169.9815,-0.15,0.86,0.2
172.58,-0.15,0.86,0.2
173.32,-0.15,0.86,0.2
173.66,-0.15,0.86,0.2
174.82,-0.15,0.86,0.2
174.88,-0.15,0.86,0.2
174.92,-0.15,0.86,0.2
175.04,-0.15,0.86,0.2
177.3,-0.15,0.86,0.2
179.98,-0.15,0.86,0.2
179.98,-0.15,0.86,0.2
180.9,-0.15,0.86,0.2
180.94,-0.15,0.86,0.2
182.12,-0.15,0.86,0.2
182.12,-0.15,0.86,0.2
183,-0.15,0.86,0.2
184.08,-0.15,0.86,0.2
184.08,-0.15,0.86,0.2
184.86,-0.15,0.86,0.2
187.42,-0.15,0.86,0.2
190.26,-0.15,0.86,0.2
190.26,-0.15,0.86,0.2
197.02,-0.15,0.86,0.2
198.8,-0.15,0.86,0.2
198.8,-0.15,0.86,0.2
200.6,-0.15,0.86,0.2
200.6,-0.15,0.86,0.2
202.38,-0.15,0.86,0.2
202.38,-0.15,0.86,0.2
205.36,-0.15,0.86,0.2
206.9,-0.15,0.86,0.2
206.9,-0.15,0.86,0.2
208,-0.15,0.86,0.2
210.3079,-0.15,0.86,0.2
210.3079,-0.15,0.86,0.2
211.74,-0.15,0.86,0.2
213.74,-0.15,0.86,0.2
213.74,-0.15,0.86,0.2
216.54,-0.15,0.86,0.2
216.54,-0.15,0.86,0.2
219.14,-0.15,0.86,0.2
219.14,-0.15,0.86,0.2
220.94,-0.15,0.86,0.2
220.94,-0.15,0.86,0.2
222.891,-0.15,0.86,0.2
222.891,-0.15,0.86,0.2
225.48,-0.15,0.86,0.2
227.18,-0.15,0.86,0.2
227.18,-0.15,0.86,0.2
229.28,-0.15,0.86,0.2
229.28,-0.15,0.86,0.2
230.2,-0.15,0.86,0.2
231.28,-0.15,0.86,0.2
231.28,-0.15,0.86,0.2
