Time, X, Y, Z
0,-0.169177,0.8200852,0.1737222
0.002700806,-0.1691823,0.820136,0.1737315
0.01407242,-0.1693135,0.8201308,0.1738141
0.02000046,-0.1694376,0.820092,0.1738697
0.02492142,-0.1694276,0.8201339,0.1739097
0.03613281,-0.169284,0.8201327,0.1740214
0.04000092,-0.1692105,0.8201287,0.1740755
0.04704285,-0.1691381,0.8200749,0.1741734
0.05831146,-0.1690814,0.8200877,0.1742944
0.06000137,-0.1690273,0.8200784,0.1743362
0.06952667,-0.1689794,0.8200688,0.1745287
0.08000183,-0.1690225,0.8199769,0.1747446
0.08053589,-0.1690248,0.8199732,0.1747515
0.09679413,-0.1686969,0.8200557,0.1749343
0.1000023,-0.1686143,0.8200773,0.1749552
0.1025963,-0.1685224,0.8201013,0.1749787
0.1102028,-0.1688034,0.8199759,0.1750019
0.1200027,-0.1686038,0.8200535,0.174964
0.1216316,-0.1685618,0.8200493,0.1749527
0.132431,-0.1684942,0.8200253,0.1748894
0.1399994,-0.1685328,0.8200117,0.1748773
0.1435776,-0.1684177,0.8200701,0.1748152
0.1546631,-0.1682765,0.8201444,0.1747717
0.1599998,-0.1682372,0.8201867,0.1747693
0.1656952,-0.1681391,0.8202978,0.1747625
0.17696,-0.1679697,0.8205101,0.1746155
0.1800003,-0.167917,0.8205377,0.1745825
0.1880951,-0.1677566,0.8206683,0.1744278
0.1989937,-0.1677629,0.8208144,0.1742329
0.2000008,-0.167775,0.8208234,0.1742176
0.2102699,-0.1677988,0.8209802,0.1741791
0.2200012,-0.1677297,0.8211674,0.1740791
0.2213974,-0.1677168,0.8211936,0.1740669
0.2322617,-0.1682095,0.8212871,0.1740292
0.2400017,-0.1680492,0.821543,0.1739285
0.2435608,-0.1679735,0.8216643,0.1738647
0.2548943,-0.1681033,0.8217905,0.1737311
0.2600021,-0.1681702,0.8218404,0.173664
0.265831,-0.1680122,0.8219948,0.1735489
0.2768135,-0.1679235,0.822143,0.1734332
0.2800026,-0.1679067,0.8221844,0.1734163
0.2881126,-0.167818,0.8222116,0.1732577
0.2990265,-0.1677762,0.8222626,0.1731628
0.2999992,-0.1677701,0.822269,0.1731584
0.3100967,-0.1676535,0.822377,0.1730418
0.3199997,-0.1676859,0.8223395,0.172929
