Time, X, Y, Z
0.01043701,0.1749517,0.9088013,0.1507802
0.01794434,0.1753823,0.9088189,0.1514585
0.02185059,0.1757273,0.9088638,0.1518179
0.03277588,0.1765813,0.9089822,0.1523754
0.03796387,0.1770094,0.9090782,0.152618
0.04400635,0.1775704,0.9092602,0.1529754
0.05499268,0.1783196,0.9092337,0.1532976
0.05792236,0.1785464,0.9091725,0.153351
0.06610107,0.1792295,0.9088956,0.153499
0.07720947,0.1797858,0.9086537,0.1536326
0.07794189,0.1798485,0.9085587,0.1536224
0.08837891,0.1804198,0.90808,0.1537234
0.09796143,0.1809713,0.9076743,0.153859
0.0993042,0.181052,0.9076189,0.1538806
0.1104126,0.1815927,0.9071324,0.1540927
0.1179199,0.1818293,0.9070159,0.1541673
0.1216431,0.1819925,0.9069286,0.1542403
0.1329346,0.1824186,0.9066232,0.1545384
0.1379395,0.1825989,0.9064637,0.1545873
0.1436157,0.1828729,0.9061176,0.1545395
0.1547241,0.1833926,0.9054896,0.1542329
0.157959,0.1835622,0.9052836,0.1542096
0.1661377,0.1840398,0.904556,0.1540012
0.1772461,0.1846438,0.9037484,0.1537115
0.1779175,0.1847627,0.9038404,0.1536856
0.1882935,0.1853812,0.9031619,0.1532329
0.197937,0.1857949,0.9024683,0.1526847
0.199646,0.1858749,0.9023305,0.1525739
0.2103882,0.1863824,0.9018486,0.1520102
0.2179565,0.186377,0.9012431,0.1514801
0.2216797,0.1864109,0.9009067,0.1511886
0.2329102,0.1863275,0.900521,0.1505729
0.237915,0.1862187,0.9004281,0.1502522
0.2437744,0.1860285,0.9003119,0.1497886
0.2549438,0.1857673,0.9004283,0.1491011
0.2579346,0.1857444,0.9005817,0.1488894
0.2671509,0.185555,0.9009691,0.1483162
0.2769165,0.18531,0.9013257,0.1479047
0.2779541,0.1852702,0.9013671,0.1478552
0.288147,0.1848069,0.9017915,0.1473796
0.2979126,0.1845981,0.9020752,0.1469292
0.2994995,0.1845679,0.9021183,0.1468428
0.3102417,0.1840824,0.9022233,0.146417
0.3179321,0.183721,0.9023257,0.1460539
0.3215332,0.1835054,0.9023482,0.1458166
0.3329468,0.1829746,0.9024811,0.1453941
0.3379517,0.1827265,0.9025947,0.1452053
0.34375,0.1824123,0.9027957,0.1449371
0.3547363,0.1819963,0.9031521,0.1445338
0.3579102,0.1820449,0.9032118,0.1444511
0.3661499,0.181928,0.9033127,0.1441715
0.3770752,0.1815413,0.9035708,0.1436992
0.3779297,0.1815224,0.9035969,0.1436583
0.3883057,0.181436,0.903993,0.1432953
0.3979492,0.1811414,0.9041938,0.1430019
0.399353,0.1810903,0.9042175,0.1429575
0.4104614,0.1807918,0.9044225,0.1427026
0.4179688,0.1805701,0.9045882,0.1426021
0.4216919,0.1803851,0.9047605,0.1425207
0.432373,0.1801662,0.9050855,0.1424159
0.4379272,0.180086,0.9052668,0.1424094
0.4436646,0.1799657,0.9055177,0.1424707
0.4547119,0.1798068,0.9058815,0.1424487
0.4579468,0.1798123,0.905952,0.1424202
0.4659424,0.1796812,0.9062839,0.1424319
0.4769897,0.179724,0.906642,0.1423771
0.4779663,0.1797397,0.9066761,0.1423701
0.4882813,0.1796946,0.9070195,0.1422985
0.4979248,0.1796556,0.9072698,0.14226
0.4993286,0.1796518,0.9073116,0.1422564
0.510437,0.1796596,0.90759,0.1421971
0.5179443,0.1796852,0.9076891,0.1421782
0.5214233,0.1797246,0.9078133,0.1421858
0.5325317,0.1799061,0.9079484,0.1421482
0.5379639,0.1800542,0.9079508,0.1421431
0.5437622,0.1802871,0.9079761,0.142174
0.5547485,0.1806908,0.9080123,0.1421676
0.5579224,0.1808062,0.9079586,0.1421295
0.56604,0.1813381,0.9079979,0.1421658
0.5769043,0.1818075,0.9080119,0.1421071
0.5779419,0.1818432,0.9080101,0.1420963
0.5880737,0.1821941,0.9080489,0.1419844
0.5979614,0.1824417,0.9081042,0.1419452
0.5994263,0.1824827,0.9081152,0.1419386
0.6102295,0.1825667,0.9080585,0.1419224
0.6179199,0.1825755,0.9079551,0.1418428
0.6213379,0.1825518,0.9078856,0.1417782
0.6326294,0.1824728,0.9076967,0.1417136
0.6379395,0.1824825,0.9075924,0.1417005
0.6435547,0.1825376,0.9074298,0.1416433
0.6547241,0.1825903,0.9071468,0.1414851
0.657959,0.1828088,0.907043,0.1414484
0.6659546,0.1829529,0.9067914,0.1412826
0.6769409,0.183046,0.9064772,0.1410336
0.6779175,0.1830541,0.9064456,0.1410083
0.6879883,0.1832481,0.9060799,0.1407576
0.697937,0.1832714,0.9058498,0.1405884
0.6990967,0.1832713,0.9058194,0.1405654
0.7102051,0.1832309,0.9056017,0.1404155
0.7179565,0.1830635,0.9054278,0.1403174
0.7213745,0.1829454,0.9053307,0.1402621
0.7324829,0.1826573,0.9052145,0.1401777
0.737915,0.1825388,0.9051695,0.140192
0.7434082,0.1823903,0.9051517,0.1402241
0.7546387,0.1823625,0.9051662,0.1402844
0.7579346,0.1821543,0.9051537,0.1403353
0.7658081,0.181878,0.905266,0.1404458
0.7769775,0.1817292,0.9055046,0.1406012
0.7779541,0.1817202,0.9055292,0.1406166
0.7878418,0.1814971,0.9058031,0.1407141
0.7979126,0.1813337,0.9059521,0.1408358
0.7990723,0.1813135,0.9059699,0.1408517
0.8101807,0.1812706,0.9061416,0.1409701
0.8179321,0.1813252,0.9063185,0.1410788
0.8212891,0.1813871,0.9064253,0.1411315
0.8324585,0.1814877,0.9065921,0.1412024
0.8379517,0.1817088,0.9066373,0.1412292
0.8434448,0.1819886,0.9066788,0.1412341
0.8546753,0.1820283,0.9066967,0.1411694
0.8579102,0.1820693,0.9066462,0.1411495
0.8657837,0.1822993,0.9065912,0.1410901
0.87677,0.1823554,0.9064671,0.1410093
0.8779297,0.182356,0.9064523,0.1409979
0.8878174,0.1823439,0.9062421,0.1407949
0.8979492,0.1821857,0.906057,0.1406183
0.8991699,0.1821669,0.9060669,0.1405878
0.9101563,0.1820976,0.9059374,0.1403959
0.9179688,0.1820361,0.9058197,0.1402805
0.9212646,0.1819928,0.9057573,0.1402343
0.9328613,0.1821417,0.905613,0.1400985
0.9379272,0.1820908,0.9055821,0.14003
0.9434204,0.1820601,0.9055196,0.139937
0.9545288,0.182081,0.905507,0.1397302
