Time, X, Y, Z
2.722839,-0.15,0.86,0.2
2.722839,-0.15,0.86,0.2
6.442841,-0.15,0.86,0.2
6.442841,-0.15,0.86,0.2
8.882813,-0.15,0.86,0.2
8.882813,-0.15,0.86,0.2
11.52283,-0.15,0.86,0.2
11.52283,-0.15,0.86,0.2
13.70282,-0.15,0.86,0.2
13.70282,-0.15,0.86,0.2
16.82281,-0.15,0.86,0.2
16.82281,-0.15,0.86,0.2
19.04282,-0.15,0.86,0.2
19.04282,-0.15,0.86,0.2
22.76282,-0.15,0.86,0.2
25.88281,-0.15,0.86,0.2
25.88281,-0.15,0.86,0.2
28.30283,-0.15,0.86,0.2
28.30283,-0.15,0.86,0.2
30.34283,-0.15,0.86,0.2
30.34283,-0.15,0.86,0.2
38.36282,-0.15,0.86,0.2
38.36282,-0.15,0.86,0.2
41.06284,-0.15,0.86,0.2
41.06284,-0.15,0.86,0.2
42.92282,-0.15,0.86,0.2
49.16281,-0.15,0.86,0.2
49.16281,-0.15,0.86,0.2
52.26282,-0.15,0.86,0.2
52.26282,-0.15,0.86,0.2
55.18283,-0.15,0.86,0.2
55.18283,-0.15,0.86,0.2
73.40283,-0.15,0.86,0.2
73.40283,-0.15,0.86,0.2
86.44284,-0.15,0.86,0.2
86.44284,-0.15,0.86,0.2
88.66281,-0.15,0.86,0.2
88.66281,-0.15,0.86,0.2
91.02283,-0.15,0.86,0.2
91.02283,-0.15,0.86,0.2
93.18283,-0.15,0.86,0.2
93.18283,-0.15,0.86,0.2
95.42282,-0.15,0.86,0.2
95.42282,-0.15,0.86,0.2
97.54282,-0.15,0.86,0.2
97.54282,-0.15,0.86,0.2
99.88281,-0.15,0.86,0.2
99.88281,-0.15,0.86,0.2
101.8828,-0.15,0.86,0.2
101.8828,-0.15,0.86,0.2
108.6628,-0.15,0.86,0.2
108.6628,-0.15,0.86,0.2
112.1828,-0.15,0.86,0.2
112.1828,-0.15,0.86,0.2
115.1428,-0.15,0.86,0.2
115.1428,-0.15,0.86,0.2
125.8628,-0.15,0.86,0.2
125.8628,-0.15,0.86,0.2
130.1428,-0.15,0.86,0.2
130.1428,-0.15,0.86,0.2
132.4828,-0.15,0.86,0.2
132.4828,-0.15,0.86,0.2
145.4828,-0.15,0.86,0.2
145.4828,-0.15,0.86,0.2
159.9228,-0.15,0.86,0.2
159.9228,-0.15,0.86,0.2
161.6707,-0.15,0.86,0.2
170.4628,-0.15,0.86,0.2
170.4628,-0.15,0.86,0.2
172.7428,-0.15,0.86,0.2
172.7428,-0.15,0.86,0.2
175.2828,-0.15,0.86,0.2
175.2828,-0.15,0.86,0.2
184.0428,-0.15,0.86,0.2
184.0428,-0.15,0.86,0.2
186.4628,-0.15,0.86,0.2
186.4628,-0.15,0.86,0.2
189.8428,-0.15,0.86,0.2
192.9628,-0.15,0.86,0.2
194.5228,-0.15,0.86,0.2
197.5628,-0.15,0.86,0.2
197.5628,-0.15,0.86,0.2
200.1428,-0.15,0.86,0.2
200.1428,-0.15,0.86,0.2
202.6028,-0.15,0.86,0.2
202.6028,-0.15,0.86,0.2
205.1028,-0.15,0.86,0.2
205.1028,-0.15,0.86,0.2
207.4628,-0.15,0.86,0.2
207.4628,-0.15,0.86,0.2
209.8428,-0.15,0.86,0.2
209.8428,-0.15,0.86,0.2
213.0028,-0.15,0.86,0.2
213.0028,-0.15,0.86,0.2
215.1628,-0.15,0.86,0.2
215.1628,-0.15,0.86,0.2
218.0228,-0.15,0.86,0.2
218.0228,-0.15,0.86,0.2
230.5428,-0.15,0.86,0.2
230.5428,-0.15,0.86,0.2
232.8628,-0.15,0.86,0.2
232.8628,-0.15,0.86,0.2
234.9428,-0.15,0.86,0.2
234.9428,-0.15,0.86,0.2
237.2428,-0.15,0.86,0.2
237.2428,-0.15,0.86,0.2
239.5228,-0.15,0.86,0.2
239.5228,-0.15,0.86,0.2
241.8028,-0.15,0.86,0.2
241.8028,-0.15,0.86,0.2
244.4828,-0.15,0.86,0.2
244.4828,-0.15,0.86,0.2
246.7428,-0.15,0.86,0.2
246.7428,-0.15,0.86,0.2
249.1028,-0.15,0.86,0.2
249.1028,-0.15,0.86,0.2
251.3628,-0.15,0.86,0.2
251.3628,-0.15,0.86,0.2
253.5428,-0.15,0.86,0.2
253.5428,-0.15,0.86,0.2
