Time, X, Y, Z
0.002447128,-0.1327802,0.9298859,0.01303181
0.0134449,-0.1326273,0.9300388,0.01288553
0.01571465,-0.132567,0.9300893,0.012826
0.0245266,-0.1323375,0.9301944,0.01257175
0.03555298,-0.1321638,0.9301896,0.01235372
0.0357151,-0.1321639,0.9301974,0.01235276
0.04673767,-0.1320531,0.9304657,0.01222317
0.05571556,-0.131974,0.9303938,0.01207389
0.05784988,-0.1319514,0.9303769,0.01203166
0.06923676,-0.1319837,0.9304175,0.01191255
0.07571602,-0.1320657,0.9303762,0.01181015
0.08007813,-0.132139,0.9303351,0.0116854
0.09129143,-0.132338,0.9303821,0.01154652
0.09571457,-0.1324388,0.9303045,0.01150481
0.1023712,-0.1325733,0.9302272,0.01140088
0.1134052,-0.132838,0.9303812,0.0113024
0.115715,-0.1328779,0.9303678,0.01129243
0.1244125,-0.1330745,0.9302953,0.01125634
0.1354961,-0.1333179,0.9303325,0.01126681
0.1357155,-0.1333236,0.930334,0.01126768
0.1473541,-0.1335503,0.9306135,0.01158568
0.1557159,-0.1334227,0.9309257,0.0118593
0.1577644,-0.1333977,0.9309877,0.01192148
0.1688538,-0.1335306,0.9317852,0.01217811
0.1757145,-0.1336914,0.9327718,0.01225691
0.1799355,-0.1338102,0.9334944,0.01228051
0.1909828,-0.1342522,0.9350838,0.01246662
0.195715,-0.1343404,0.9358281,0.01245323
0.202076,-0.1344178,0.9369475,0.01235458
0.2131691,-0.1344827,0.93888,0.01155725
0.2157154,-0.1345209,0.9394147,0.01160835
0.2244987,-0.1346727,0.9415308,0.0119856
0.2354507,-0.1346139,0.9436746,0.01264709
0.2357159,-0.1346126,0.9437311,0.01266569
0.2470779,-0.1349705,0.9463657,0.01270264
0.2557144,-0.1353007,0.9484904,0.01178142
0.2577,-0.1353804,0.9489735,0.01160413
0.2688122,-0.1355844,0.9518793,0.009915531
0.2757149,-0.1350741,0.9542096,0.008914828
0.279932,-0.1346829,0.9559565,0.008204266
0.2910347,-0.1338028,0.9598746,0.007720202
0.2957153,-0.1332143,0.9618073,0.00749819
0.3021374,-0.1322053,0.9649442,0.007087201
0.3134995,-0.1308472,0.969012,0.005342513
0.3157158,-0.1307171,0.9699184,0.005061239
0.3247643,-0.1303142,0.9740441,0.003947765
0.3353577,-0.1284117,0.9784302,0.001890466
0.3357143,-0.1283442,0.9785903,0.001817554
0.3465271,-0.126237,0.9840289,-0.0003249347
0.3557148,-0.1245747,0.9875374,-0.002274007
0.3575916,-0.1242324,0.9882318,-0.002668694
0.3687668,-0.1217603,0.9920608,-0.005328014
0.3757153,-0.1201581,0.9945456,-0.007020772
0.3800087,-0.1189737,0.9963613,-0.008255079
0.3908939,-0.1169081,0.9992086,-0.01054965
0.3957157,-0.1160162,1.000594,-0.01172814
0.4022751,-0.1146167,1.002811,-0.01358476
0.4132633,-0.1134987,1.005168,-0.01655516
0.4157143,-0.1131906,1.005663,-0.01711425
0.4242535,-0.1119034,1.007344,-0.01871483
0.4354,-0.1103667,1.008751,-0.02025026
0.4357147,-0.1103199,1.008793,-0.02029712
0.4465084,-0.1083356,1.010267,-0.02215823
0.4557152,-0.106686,1.011371,-0.02340241
0.4576225,-0.1063413,1.011598,-0.02365562
0.4689598,-0.1049295,1.012718,-0.02492741
0.4757156,-0.1041174,1.01356,-0.02595911
0.4799538,-0.1035287,1.0142,-0.02680159
0.4908867,-0.1022375,1.015193,-0.02839596
0.4957142,-0.1016283,1.015454,-0.02891621
0.5021458,-0.1006954,1.015646,-0.02951644
0.5131836,-0.09963252,1.015528,-0.03001437
0.5157146,-0.09936604,1.015443,-0.03016908
0.5242596,-0.09835185,1.014818,-0.03098685
0.5355682,-0.09711972,1.014476,-0.03200345
0.5357151,-0.09710245,1.014471,-0.03201803
0.5465641,-0.09549901,1.013898,-0.03277161
0.5557156,-0.09447964,1.013511,-0.03295586
0.5578346,-0.09425656,1.013434,-0.03299632
0.5688591,-0.09293603,1.012926,-0.03339247
0.575716,-0.09207258,1.012423,-0.03360704
0.5800781,-0.0914121,1.01199,-0.03377145
0.5909634,-0.09056793,1.011122,-0.03372969
0.5957146,-0.09009378,1.010711,-0.03366435
0.6020584,-0.08935366,1.010167,-0.03349037
0.613308,-0.08797104,1.009296,-0.03325096
0.615715,-0.08764079,1.009068,-0.03319458
0.6242428,-0.08652827,1.007758,-0.03303312
0.6355591,-0.08533729,1.006676,-0.03259421
0.6357155,-0.08531961,1.00666,-0.03258698
0.6465664,-0.08422449,1.004864,-0.03201215
0.6557159,-0.08347897,1.003416,-0.03144296
