Time, X, Y, Z
5.820007,-0.2148453,0.88,0.2773193
7.980011,-0.2893046,0.88,0.1812395
10.28,-0.2879035,0.88,0.2371423
12.26001,-0.2605157,0.88,0.2755249
14.14001,-0.2116691,0.88,0.1930439
15.98001,-0.2327978,0.88,0.2359661
17.98001,-0.2921026,0.88,0.2599199
20,-0.2312524,0.88,0.273706
22.02002,-0.2971187,0.88,0.2753305
23.92001,-0.2535082,0.88,0.1868233
25.89999,-0.2426167,0.88,0.233497
28,-0.2752375,0.88,0.1827563
29.76001,-0.2080864,0.88,0.2134594
31.88,-0.2785544,0.88,0.2615344
33.89999,-0.2188528,0.88,0.2499318
35.78,-0.224012,0.88,0.1874292
37.70001,-0.2978953,0.88,0.2647591
39.52002,-0.2392672,0.88,0.2382167
42.48001,-0.2942849,0.88,0.2479042
44.52002,-0.2174708,0.88,0.240405
46.44,-0.2774638,0.88,0.2290311
49.34,-0.2755986,0.88,0.1809532
51.44,-0.2406051,0.88,0.240289
53.54001,-0.2206482,0.88,0.1816902
55.48001,-0.2375374,0.88,0.2724335
57.64001,-0.2998366,0.88,0.2751378
59.80002,-0.2087527,0.88,0.1860369
62.02002,-0.2822343,0.88,0.1923384
64.02002,-0.2703485,0.88,0.2471838
66.39999,-0.2057712,0.88,0.2076747
68.52002,-0.2651081,0.88,0.2059408
70.64001,-0.2196761,0.88,0.2421846
72.82001,-0.2713875,0.88,0.2147684
74.95999,-0.2126675,0.88,0.1913444
77.02002,-0.2950395,0.88,0.2730481
79.14001,-0.2375858,0.88,0.2270286
81.20001,-0.2093223,0.88,0.1872796
83.39999,-0.2637268,0.88,0.1957549
85.54001,-0.2379966,0.88,0.2611786
87.62,-0.2451903,0.88,0.1946907
89.66,-0.2587636,0.88,0.2430066
91.78,-0.2248614,0.88,0.2000423
94.02002,-0.2302181,0.88,0.2642563
96.02002,-0.2996559,0.88,0.1890283
98.10001,-0.2287019,0.88,0.2101429
100.02,-0.2981409,0.88,0.2123671
102.02,-0.2448778,0.88,0.1997811
103.98,-0.2849535,0.88,0.2551088
109.52,-0.2058501,0.88,0.2543429
111.64,-0.2014457,0.88,0.1862604
113.54,-0.2727927,0.88,0.2014693
115.64,-0.2880371,0.88,0.2541965
117.8,-0.2849042,0.88,0.1895303
119.78,-0.2111634,0.88,0.1828363
121.96,-0.2165889,0.88,0.247604
123.98,-0.2637923,0.88,0.276437
126.1,-0.2050698,0.88,0.1886655
127.98,-0.2962531,0.88,0.1911251
129.98,-0.2059317,0.88,0.2396171
