Time, X, Y, Z
0,-0.1162294,0.9284379,0.006184787
0.007644653,-0.1158689,0.928561,0.006563693
0.01860046,-0.1153764,0.9286137,0.006947994
0.02000427,-0.1153025,0.9286103,0.006995916
0.03016663,-0.1146197,0.9283449,0.007290125
0.04000092,-0.1142078,0.9279929,0.007398695
0.04076385,-0.1141923,0.9279749,0.007401466
0.05216217,-0.1140636,0.9276048,0.007448137
0.06000519,-0.1140039,0.9273751,0.007374957
0.06339264,-0.1139967,0.9272827,0.007298917
0.07439423,-0.1139953,0.9270501,0.007048458
0.08000183,-0.1139484,0.9269533,0.006876737
0.08547211,-0.1138802,0.9269012,0.006593674
0.09641266,-0.1141059,0.926833,0.006293088
0.1000061,-0.1142404,0.9267718,0.006237447
0.1074905,-0.1145815,0.9266096,0.006192237
0.1185684,-0.1151477,0.9266384,0.006072789
0.1200027,-0.1152304,0.9266562,0.006059468
0.1296539,-0.1158037,0.9267941,0.005913079
0.1399994,-0.1163403,0.9268267,0.005628586
0.140831,-0.1163829,0.9268327,0.0056054
0.1518784,-0.1168654,0.9268671,0.005382881
0.1600037,-0.1171219,0.9268232,0.005187213
0.1631927,-0.1172073,0.9267976,0.005091324
0.1740799,-0.117547,0.9267621,0.004940301
0.1800003,-0.1176615,0.9268382,0.004902124
0.185379,-0.1176891,0.9269237,0.004811794
0.1963196,-0.1175936,0.9270383,0.004589736
0.2000046,-0.1175299,0.9271082,0.004527614
0.2074127,-0.1174019,0.9271806,0.004406571
0.21875,-0.1172911,0.927322,0.004314318
0.2200012,-0.1172758,0.9273418,0.004306763
0.2299805,-0.1171487,0.9275201,0.004389837
0.2400055,-0.1170741,0.9276611,0.004636034
0.2408218,-0.1170693,0.9276686,0.004654065
0.2518616,-0.1168222,0.9276856,0.005021334
0.2600021,-0.1165341,0.9276373,0.005317688
0.2630386,-0.1163507,0.9276467,0.005395368
0.2739868,-0.1158777,0.9278366,0.005416319
0.2799988,-0.1156321,0.927944,0.005374342
0.2854385,-0.1153533,0.9279749,0.005221426
0.2964401,-0.1148642,0.9279711,0.004949629
0.3000031,-0.1146861,0.9279721,0.004890025
0.3074188,-0.1144599,0.9279196,0.004739344
0.318512,-0.114338,0.9279515,0.004626721
0.3199997,-0.1143439,0.9279699,0.004619583
0.3298111,-0.1144249,0.9280004,0.004673034
0.340004,-0.1143545,0.9279498,0.004754648
0.3409653,-0.114342,0.9279435,0.004759744
0.352005,-0.1142656,0.9277124,0.004729047
0.3600006,-0.1141875,0.9274005,0.00466229
0.3631821,-0.1141387,0.9272433,0.004585594
0.3741837,-0.1139402,0.9268156,0.004451022
0.3800049,-0.1137308,0.9266576,0.004399389
0.3853531,-0.113627,0.9264718,0.00452441
0.396347,-0.1134269,0.9264373,0.004904076
0.4000015,-0.113353,0.9265143,0.005088255
0.4076309,-0.113244,0.9266468,0.005524933
0.4185486,-0.1131077,0.926881,0.006058738
0.4200058,-0.1130783,0.9269283,0.006133914
0.4298248,-0.1127407,0.9271428,0.006471321
0.4400024,-0.1124701,0.9273426,0.006626472
0.4408798,-0.1124486,0.9273676,0.006643504
0.4518509,-0.1121373,0.9276764,0.006910041
0.4599991,-0.1120073,0.9279614,0.007053196
0.4630203,-0.1118795,0.9280406,0.007136434
0.4739609,-0.1115232,0.9282355,0.007390082
