Time, X, Y, Z
5.820007,-0.189153,0.9313855,0.2487691
7.980011,-0.290467,0.9180896,0.1762774
10.28,-0.2646782,0.9285105,0.223132
12.26001,-0.2451762,0.9346973,0.2498705
14.14001,-0.1928416,0.9527867,0.1960154
15.98001,-0.2418174,0.9362157,0.2274499
17.98001,-0.2652612,0.9332743,0.2328825
20,-0.2238279,0.9364178,0.2477285
22.02002,-0.3109683,0.9277683,0.2562104
23.92001,-0.2540376,0.9429285,0.1851477
25.89999,-0.2272228,0.9369748,0.2041032
28,-0.268104,0.9234798,0.1756477
29.76001,-0.2157258,0.9377992,0.2179157
31.88,-0.2652805,0.936632,0.2416906
33.89999,-0.2188499,0.9503844,0.2295412
35.78,-0.2384758,0.9253356,0.186476
37.70001,-0.2964329,0.9310952,0.2408023
39.52002,-0.2330357,0.9210642,0.2232554
42.48001,-0.3274016,0.9429111,0.2628069
44.52002,-0.2190359,0.9294184,0.2562796
46.44,-0.2455273,0.9262366,0.221048
49.34,-0.2569872,0.9269722,0.1730056
51.44,-0.2126998,0.9288549,0.2177113
53.54001,-0.199579,0.9441236,0.1986766
55.48001,-0.2350202,0.92314,0.2662962
57.64001,-0.3115074,0.9418097,0.2723098
59.80002,-0.1830981,0.9276804,0.1842139
62.02002,-0.2611085,0.9325631,0.177999
64.02002,-0.2885521,0.9395695,0.2531704
66.39999,-0.2150098,0.9335871,0.2132457
68.52002,-0.2780601,0.9379953,0.2026706
70.64001,-0.2257806,0.9382875,0.2449502
72.82001,-0.249211,0.9290161,0.2254405
74.95999,-0.2227225,0.9405355,0.2066395
77.02002,-0.3058372,0.933475,0.2640651
79.14001,-0.2572574,0.9388795,0.2423992
81.20001,-0.2123929,0.9317769,0.1947764
83.39999,-0.2371342,0.9369435,0.1825253
85.54001,-0.2396626,0.9330058,0.2555508
87.62,-0.2480388,0.9241204,0.1989989
89.66,-0.247331,0.9322363,0.2297493
91.78,-0.2234723,0.9281519,0.2065849
94.02002,-0.2388739,0.9274839,0.2671087
96.02002,-0.2882805,0.9402998,0.1720547
98.10001,-0.2419868,0.919719,0.2245734
100.02,-0.2703719,0.9449501,0.2017439
102.02,-0.268956,0.9312202,0.2053042
103.98,-0.216452,0.9405643,0.1822238
109.52,-0.2022391,0.9377297,0.2455904
111.64,-0.2067652,0.9407715,0.1876322
113.54,-0.2972212,0.9321918,0.193027
115.64,-0.2734897,0.9560626,0.2360646
117.8,-0.2953663,0.9348733,0.1863017
119.78,-0.2396345,0.9334726,0.2047062
121.96,-0.2113378,0.9278589,0.2397422
123.98,-0.2234328,0.9347691,0.2394784
126.1,-0.2065194,0.9366087,0.1918399
127.98,-0.312611,0.9266777,0.1847137
129.98,-0.2006438,0.934424,0.2380373
