Time, X, Y, Z
0,-0.05075403,0.9045806,0.07021426
0,-0.02117614,0.8902617,0.0249845
10.66476,-0.1099198,0.9338623,0.1373365
12.48476,-0.276751,0.8805169,0.2893292
14.20476,-0.2658572,0.9072621,0.1701538
15.84476,-0.2825936,0.9073985,0.2536087
17.70476,-0.2307426,0.9119807,0.2618032
18.98476,-0.1860654,0.909417,0.1524124
20.94476,-0.2440124,0.8926672,0.271841
22.82476,-0.2619738,0.9154383,0.1877847
23.98476,-0.2503851,0.9391114,0.2044545
26.08476,-0.2125767,0.8993925,0.1985775
27.94476,-0.2948228,0.8894261,0.2432418
29.58476,-0.2161235,0.9096828,0.2580454
31.48476,-0.2752036,0.8997687,0.2109447
33.18476,-0.2157658,0.8923035,0.2626393
36.20476,-0.2764182,0.9109112,0.2155155
57.88477,-0.238409,0.8896016,0.2688698
59.70476,-0.2185987,0.8760096,0.2816984
60.84476,-0.218217,0.9221877,0.1398637
62.72476,-0.29551,0.8990273,0.2383221
64.42476,-0.2656,0.903482,0.2012528
65.94476,-0.301838,0.9179334,0.219625
67.82475,-0.2172467,0.913608,0.2112134
69.36476,-0.2416832,0.9113083,0.2637988
70.74475,-0.1945986,0.919695,0.2299393
72.36476,-0.2795479,0.9086142,0.2093377
75.02477,-0.06968544,0.8910042,0.06059637
76.32475,-0.2755295,0.9152769,0.1906991
78.32475,-0.2292387,0.8700044,0.2738307
80.26476,-0.2474622,0.8581804,0.1975686
81.78476,-0.2568221,0.9002424,0.2678016
103.7248,-0.2774051,0.8826892,0.234345
105.4848,-0.299538,0.9023248,0.2481243
107.6048,-0.2816711,0.8872669,0.2165594
109.5448,-0.2613445,0.8886251,0.2781565
113.9248,-0.2964241,0.9037309,0.2709493
115.7848,-0.2465225,0.875065,0.2317494
117.6848,-0.2659961,0.8881024,0.2593635
118.9448,-0.2778647,0.9264773,0.1733689
120.6248,-0.2525277,0.9232146,0.1558759
122.6848,-0.2929121,0.8804097,0.2491625
124.4648,-0.2658792,0.881462,0.2008363
126.2448,-0.2832313,0.8910748,0.2582617
128.1448,-0.2228944,0.8929938,0.2404334
129.6648,-0.2195599,0.9096463,0.1912616
131.2248,-0.2188905,0.9204435,0.2339246
154.4648,-0.315789,0.890461,0.1671081
156.2648,-0.2999734,0.9048927,0.2447844
158.2648,-0.2218627,0.9070531,0.1919031
160.1448,-0.2118791,0.895767,0.2601816
162.0648,-0.2832425,0.8886678,0.2035577
164.2448,-0.2993879,0.8850877,0.2570111
166.0648,-0.2190926,0.895393,0.1659436
168.8248,-0.2498312,0.8665502,0.2620924
170.6848,-0.2405262,0.890811,0.1778589
172.2448,-0.2182386,0.9033434,0.2295592
173.9048,-0.3043825,0.9011135,0.2036654
175.7047,-0.2367458,0.886731,0.2416088
177.5048,-0.2408572,0.9002519,0.1919107
179.7648,-0.2685243,0.8997235,0.2426611
181.5648,-0.221191,0.8941309,0.2485503
