Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.15,0.86,0.2
10.66476,-0.15,0.86,0.2
12.48476,-0.2320315,0.86,0.2778344
14.20476,-0.2671854,0.86,0.1816662
15.84476,-0.2778199,0.86,0.2753031
17.70476,-0.2248534,0.86,0.2552484
18.98476,-0.2662423,0.86,0.2015153
20.94476,-0.2348144,0.86,0.2752401
22.82476,-0.2494548,0.86,0.1866835
23.98476,-0.2552205,0.86,0.2459746
26.08476,-0.2039847,0.86,0.2013908
27.94476,-0.2768967,0.86,0.2319162
29.58476,-0.2228177,0.86,0.2737276
31.48476,-0.283694,0.86,0.1962839
33.18476,-0.2023748,0.86,0.2666067
36.20476,-0.2748718,0.86,0.2189992
57.88477,-0.2589753,0.86,0.2689463
59.70476,-0.2004846,0.86,0.2469815
60.84476,-0.2409173,0.86,0.1952036
62.72476,-0.293052,0.86,0.2327658
64.42476,-0.2509383,0.86,0.1968673
65.94476,-0.2930558,0.86,0.219229
67.82475,-0.2106092,0.86,0.215023
69.36476,-0.2557133,0.86,0.2737623
70.74475,-0.2029461,0.86,0.2714497
72.36476,-0.2862544,0.86,0.2123924
75.02477,-0.216839,0.86,0.2391907
76.32475,-0.2553082,0.86,0.2106231
78.32475,-0.2334285,0.86,0.2743984
80.26476,-0.245735,0.86,0.2070057
81.78476,-0.2307198,0.86,0.2742848
103.7248,-0.2537277,0.86,0.2253087
105.4848,-0.2951798,0.86,0.2480695
107.6048,-0.2563819,0.86,0.2129212
109.5448,-0.2507419,0.86,0.2635392
113.9248,-0.2992058,0.86,0.2755013
115.7848,-0.247228,0.86,0.2178639
117.6848,-0.2337947,0.86,0.2646082
118.9448,-0.2948001,0.86,0.18013
120.6248,-0.2470535,0.86,0.1841905
122.6848,-0.2957796,0.86,0.2468527
124.4648,-0.2447587,0.86,0.1935046
126.2448,-0.2746602,0.86,0.2605199
128.1448,-0.2184483,0.86,0.2475707
129.6648,-0.2200756,0.86,0.1832169
131.2248,-0.2100208,0.86,0.2575636
154.4648,-0.2800801,0.86,0.181457
156.2648,-0.2952292,0.86,0.235624
158.2648,-0.229004,0.86,0.2187426
160.1448,-0.2054933,0.86,0.2666708
162.0648,-0.2771259,0.86,0.1989692
164.2448,-0.2893774,0.86,0.2550855
166.0648,-0.226119,0.86,0.1823699
168.8248,-0.2580722,0.86,0.2669901
170.6848,-0.2451579,0.86,0.1814774
172.2448,-0.206661,0.86,0.2152596
173.9048,-0.2977912,0.86,0.1914336
175.7047,-0.2102323,0.86,0.249473
177.5048,-0.2383453,0.86,0.1927283
179.7648,-0.2636242,0.86,0.2529768
181.5648,-0.2141011,0.86,0.2493841
