Time, X, Y, Z
0.004760742,-0.1061019,0.9458271,-0.05142573
0.005935669,-0.1061014,0.9458306,-0.05142179
0.02475739,-0.1072479,0.9469052,-0.05062312
0.02482605,-0.1072376,0.9468895,-0.05063203
0.03637695,-0.1075679,0.9477836,-0.05004619
0.04024506,-0.1076939,0.9481094,-0.04983304
0.04476166,-0.1078531,0.9485034,-0.04957595
0.05167389,-0.1086422,0.9494367,-0.04918286
0.0647583,-0.1101848,0.9509327,-0.04866898
0.06858826,-0.110697,0.9514521,-0.04846135
0.08184814,-0.1117059,0.9533017,-0.04789516
0.08476257,-0.1120955,0.9537202,-0.04768391
0.09157562,-0.1129869,0.9549116,-0.04730389
0.09723663,-0.1136114,0.9554796,-0.04701838
0.1039886,-0.1145503,0.9563485,-0.04663961
0.1047592,-0.1146613,0.9564402,-0.04653558
0.1209717,-0.1167493,0.9586483,-0.04503505
0.1247635,-0.1171289,0.9591217,-0.04474218
0.126442,-0.1172787,0.9593088,-0.04462612
0.1366272,-0.1179943,0.9605394,-0.04343829
0.1447601,-0.1187879,0.9617095,-0.04249114
0.1478195,-0.1193428,0.9624557,-0.04188964
0.1588364,-0.1204378,0.963892,-0.04085971
0.1647568,-0.1214548,0.9646738,-0.04027995
0.1776047,-0.1238021,0.967156,-0.0386883
0.184761,-0.1249487,0.9685788,-0.0375493
0.1904831,-0.1258402,0.9696895,-0.03665484
0.2028503,-0.127495,0.9722383,-0.0349711
0.2047577,-0.1278506,0.9727411,-0.03465658
0.2126541,-0.1297363,0.9754114,-0.03295906
0.2187576,-0.1304528,0.9764206,-0.03230102
0.224762,-0.1318335,0.9776137,-0.03081392
0.2325439,-0.1347606,0.9796356,-0.02830063
0.2447586,-0.1382553,0.9827179,-0.02558769
0.245369,-0.1384012,0.9828477,-0.02547802
0.2583313,-0.1421271,0.9866445,-0.02204126
0.2647629,-0.1437861,0.98844,-0.02071404
0.2690277,-0.145495,0.9902873,-0.01934192
0.2824783,-0.1491411,0.9935899,-0.01667517
0.2847595,-0.1497267,0.9943379,-0.01580475
0.2923355,-0.1528827,0.9975744,-0.01252937
0.2996368,-0.1545303,0.9983993,-0.01159321
0.3047562,-0.1563195,0.9998537,-0.01010634
0.3090897,-0.1590383,1.002454,-0.007565111
0.3224182,-0.1618259,1.006006,-0.004901111
0.3247604,-0.1624475,1.006881,-0.004279345
0.3325195,-0.164904,1.010984,-0.001732424
0.3380051,-0.1658914,1.012373,-0.0008992702
0.3447571,-0.1684531,1.013728,0.001002714
0.3520508,-0.1714087,1.016837,0.00485909
0.3647614,-0.1746268,1.020671,0.01012984
0.3654251,-0.1749659,1.021074,0.01070443
0.3791428,-0.1786343,1.023694,0.01463427
0.384758,-0.1803963,1.024992,0.01663926
0.3887177,-0.1823256,1.026446,0.01876216
0.3945923,-0.1834539,1.027299,0.02001205
0.4047623,-0.1867569,1.028865,0.02462661
0.4066696,-0.1884238,1.02962,0.02726842
0.4207382,-0.1916357,1.030727,0.03154571
0.4247589,-0.1928324,1.031044,0.03307508
0.4303131,-0.1948404,1.033201,0.03557205
0.4374847,-0.1952971,1.034006,0.03660101
0.4447632,-0.196793,1.034443,0.03929576
0.4521561,-0.1986271,1.03528,0.04244936
0.4637985,-0.2012132,1.035191,0.04663154
0.4647598,-0.2009831,1.035317,0.04700798
0.4673538,-0.2017898,1.035594,0.04931891
0.4783554,-0.2032859,1.035798,0.05295566
0.4847565,-0.2042044,1.035666,0.05549823
0.4964981,-0.2061623,1.035445,0.06040464
0.5047607,-0.2071271,1.035146,0.06352851
0.5090637,-0.2076185,1.034945,0.06537923
0.5218201,-0.2087824,1.034253,0.06905019
0.5247574,-0.2090862,1.033978,0.07001859
0.5317764,-0.209912,1.032994,0.07279952
0.5377502,-0.210196,1.03265,0.07381019
0.5447617,-0.2108286,1.031883,0.07622297
0.552124,-0.2117242,1.030682,0.07952106
0.5647583,-0.2128052,1.028918,0.08356979
0.5652771,-0.2127285,1.028613,0.08362268
0.5777893,-0.2133325,1.027097,0.0872429
0.5847626,-0.2137072,1.02603,0.08936898
0.5871811,-0.2138886,1.025415,0.09072503
0.5930023,-0.2140108,1.024942,0.09169367
0.6047592,-0.2139275,1.023478,0.09475252
