Time, X, Y, Z
24.7782,-0.1899081,0.9098719,0.2019408
24.7782,-0.2769734,0.8857527,0.2577946
24.7782,-0.230748,0.9031281,0.2046769
24.7782,-0.2988492,0.8842615,0.2202614
43.89996,-0.2198236,0.9266556,0.1682833
46.15997,-0.3070358,0.9039719,0.1892165
48.44,-0.3051852,0.8947592,0.2593399
50.38,-0.2436769,0.903558,0.2071659
52.58002,-0.2456433,0.9213693,0.2692748
54.14001,-0.225633,0.9144527,0.1435644
56.39996,-0.303129,0.9054997,0.1882921
58.39996,-0.2514476,0.8926582,0.269799
60.62,-0.3053368,0.8857421,0.1783907
63.35999,-0.2489662,0.8973095,0.1706537
65.29999,-0.2904943,0.8989995,0.2241898
67.14001,-0.2454908,0.8864854,0.2725329
69.17999,-0.268395,0.8973444,0.1911127
71.51996,-0.2130255,0.8993526,0.2440891
73.5,-0.2624849,0.8996571,0.2104129
75.39996,-0.2495912,0.9192443,0.206432
77.44,-0.2185408,0.9040338,0.2489275
79.65997,-0.2483339,0.9131299,0.2111661
81.59998,-0.2772788,0.9205942,0.2405541
84.38,-0.2467267,0.9359566,0.1752551
86.44,-0.2308244,0.8867772,0.2648868
88.29999,-0.30313,0.9003878,0.2425471
90.62,-0.3092165,0.8864006,0.2043618
92.94,-0.2504362,0.9039441,0.2318598
95.12,-0.2083545,0.8868515,0.197128
97.35999,-0.250129,0.892933,0.2375256
99.59998,-0.2510993,0.9022598,0.2128219
103.68,-0.2500502,0.8690346,0.28129
105.66,-0.2215163,0.8947511,0.1504894
108.52,-0.2544155,0.8936202,0.2634096
110.76,-0.2164392,0.8758369,0.1894406
112.88,-0.309044,0.9001018,0.1931117
115.82,-0.2104169,0.896298,0.1935933
117.82,-0.2945137,0.8950024,0.2692585
120.16,-0.2335825,0.8948668,0.1953912
122.12,-0.2771625,0.9003652,0.2438571
124.5,-0.226106,0.9192367,0.2019643
126.52,-0.2153301,0.9074384,0.2659195
128.5,-0.2891668,0.9118527,0.243818
130.62,-0.2531086,0.9001212,0.2656583
132.42,-0.2847322,0.9224094,0.1784934
136,-0.2702677,0.8806354,0.2371849
137.96,-0.2673848,0.8914957,0.1946025
139.84,-0.2071821,0.876395,0.213048
142.66,-0.2356054,0.8713532,0.2784957
144.62,-0.3055513,0.9004718,0.2165903
146.72,-0.3191134,0.9173536,0.2415269
149.08,-0.2442606,0.9010113,0.2146621
151.06,-0.2571789,0.8887561,0.2414807
153.68,-0.2114476,0.9163627,0.1552987
155.52,-0.2801762,0.8831482,0.2124369
157.44,-0.2060443,0.9015992,0.1913158
159.5,-0.2908973,0.9069269,0.2650966
161.86,-0.2255884,0.8978969,0.1989928
164.12,-0.2793462,0.8879805,0.2737373
167.06,-0.2994724,0.9028895,0.2077102
169.04,-0.2391215,0.8931016,0.217826
171.2,-0.2637997,0.9050145,0.2138728
173.36,-0.2056997,0.8994384,0.2254003
175.96,-0.2481476,0.8790616,0.2037832
