Time, X, Y, Z
24.7782,-0.2112568,0.86,0.2491998
24.7782,-0.260545,0.86,0.2682798
24.7782,-0.2217263,0.86,0.2124971
24.7782,-0.2912616,0.86,0.2109069
43.89996,-0.2319706,0.86,0.2260292
46.15997,-0.2894168,0.86,0.1884283
48.44,-0.2726833,0.86,0.2516504
50.38,-0.2401362,0.86,0.2071289
52.58002,-0.2364377,0.86,0.2762388
54.14001,-0.2479805,0.86,0.2094012
56.39996,-0.2980703,0.86,0.1831674
58.39996,-0.2163278,0.86,0.2691425
60.62,-0.2987384,0.86,0.1888008
63.35999,-0.232802,0.86,0.1873476
65.29999,-0.2742355,0.86,0.2237346
67.14001,-0.2247424,0.86,0.2687842
69.17999,-0.2634715,0.86,0.1922039
71.51996,-0.2000999,0.86,0.279879
73.5,-0.2617485,0.86,0.2121327
75.39996,-0.2119248,0.86,0.1994301
77.44,-0.2088796,0.86,0.2547237
79.65997,-0.2341359,0.86,0.1989831
81.59998,-0.2677335,0.86,0.2627988
84.38,-0.2963074,0.86,0.2143662
86.44,-0.223477,0.86,0.266202
88.29999,-0.2735944,0.86,0.2486196
90.62,-0.2551034,0.86,0.1921565
92.94,-0.2230075,0.86,0.2366869
95.12,-0.2035853,0.86,0.1834964
97.35999,-0.2617749,0.86,0.2488676
99.59998,-0.2337101,0.86,0.2070395
103.68,-0.2280475,0.86,0.2721489
105.66,-0.2430876,0.86,0.1858626
108.52,-0.2423277,0.86,0.2717981
110.76,-0.2176087,0.86,0.1920746
112.88,-0.2841625,0.86,0.1933604
115.82,-0.2252744,0.86,0.2095553
117.82,-0.2796782,0.86,0.2728415
120.16,-0.220519,0.86,0.187514
122.12,-0.2636333,0.86,0.2344227
124.5,-0.2205955,0.86,0.2013047
126.52,-0.2112566,0.86,0.2609874
128.5,-0.2897725,0.86,0.2430402
130.62,-0.2383287,0.86,0.2725501
132.42,-0.2859991,0.86,0.1956616
136,-0.2644926,0.86,0.2403959
137.96,-0.2710048,0.86,0.1895036
139.84,-0.2019568,0.86,0.2091145
142.66,-0.2408472,0.86,0.2532482
144.62,-0.2973896,0.86,0.2155243
146.72,-0.2920823,0.86,0.2748899
149.08,-0.2126417,0.86,0.2069959
151.06,-0.2413823,0.86,0.269317
153.68,-0.2200178,0.86,0.1908007
155.52,-0.2745189,0.86,0.2096644
157.44,-0.2012077,0.86,0.1966245
159.5,-0.2642622,0.86,0.2758024
161.86,-0.2214262,0.86,0.1979154
164.12,-0.2295431,0.86,0.2706994
167.06,-0.2785164,0.86,0.2075745
169.04,-0.2185446,0.86,0.2105516
171.2,-0.2575307,0.86,0.2371344
173.36,-0.2058323,0.86,0.2283327
175.96,-0.2638545,0.86,0.1966961
