Time, X, Y, Z
0,-0.1325943,0.9570633,-0.0445493
0.008178711,-0.1325577,0.9570203,-0.04435429
0.01934814,-0.1325578,0.9570533,-0.0442709
0.0199585,-0.1325567,0.9570572,-0.04426569
0.03051758,-0.1325208,0.957125,-0.04426308
0.03997803,-0.132546,0.9571573,-0.0440609
0.04168701,-0.1325502,0.9571638,-0.04402554
0.05303955,-0.1326765,0.9571629,-0.04385029
0.05999756,-0.132798,0.9571431,-0.04359853
0.0637207,-0.1328799,0.9571295,-0.04341304
0.07489014,-0.133016,0.9572273,-0.04308458
0.08001709,-0.133135,0.9572783,-0.04290436
0.08612061,-0.1332902,0.9573277,-0.04266781
0.09997559,-0.133409,0.9572563,-0.04261754
0.1033936,-0.1334377,0.9572513,-0.04258451
0.1079102,-0.1334686,0.9572416,-0.04255886
0.1194458,-0.133676,0.9572533,-0.04247767
0.1199951,-0.1336857,0.9572508,-0.04247762
0.1304932,-0.1338142,0.9571661,-0.04257932
0.1400146,-0.1339734,0.9570689,-0.04260695
0.1417236,-0.134007,0.9570495,-0.04261228
0.15271,-0.1342346,0.956992,-0.04252353
0.1599731,-0.1344319,0.9569287,-0.04236233
0.1638184,-0.1345566,0.9568838,-0.04226348
0.1746826,-0.1346859,0.9567897,-0.04218629
0.1799927,-0.134735,0.95674,-0.04222471
0.185791,-0.134801,0.9566823,-0.04227254
0.1969604,-0.1348427,0.9566005,-0.04213452
0.2000122,-0.1348468,0.9565681,-0.04212122
0.2081299,-0.1348424,0.9564779,-0.04213148
0.2193604,-0.1348592,0.9562953,-0.04221366
0.2199707,-0.1348648,0.9562864,-0.04221678
0.2305908,-0.1349935,0.9560602,-0.04222745
0.2399902,-0.1350104,0.9559671,-0.04227932
0.2415771,-0.1350197,0.9559549,-0.04229049
0.2596436,-0.1351441,0.9556952,-0.04246673
0.2600098,-0.1351468,0.9556814,-0.04245315
0.2636719,-0.1351607,0.9556072,-0.04249427
0.2748413,-0.1351565,0.9554719,-0.04263169
0.2799683,-0.1352223,0.9553872,-0.04272163
0.2858887,-0.1353034,0.9552806,-0.04288267
0.296814,-0.1354241,0.9552528,-0.04303357
0.2999878,-0.1354339,0.9552332,-0.04311356
0.3079834,-0.135326,0.9550682,-0.04339695
0.3191528,-0.1354043,0.9549035,-0.04355106
0.3200073,-0.1354137,0.9548835,-0.04356457
0.3302612,-0.1355262,0.9546086,-0.04371409
0.3399658,-0.1356392,0.9544913,-0.04368758
