Time, X, Y, Z
0,0.153181,0.9657286,0.03893749
0.008178711,0.1533547,0.9662803,0.03863043
0.01934814,0.1533918,0.966733,0.03803143
0.0199585,0.1533946,0.9667611,0.03799535
0.03051758,0.1534371,0.9670711,0.03758042
0.03997803,0.1534932,0.9672541,0.03730547
0.04168701,0.1535049,0.9672851,0.03725183
0.05303955,0.1535634,0.9674826,0.03692995
0.05999756,0.1535874,0.9675834,0.0368436
0.0637207,0.153606,0.9676433,0.0368021
0.07489014,0.1536763,0.9676478,0.03671667
0.08001709,0.1536029,0.9676687,0.03673594
0.08612061,0.1534645,0.9677159,0.03675094
0.09997559,0.1532417,0.9677588,0.03653465
0.1033936,0.1532005,0.9676996,0.03647321
0.1079102,0.1531498,0.9676633,0.0364121
0.1194458,0.1528299,0.9675163,0.03633082
0.1199951,0.152814,0.9675043,0.03632548
0.1304932,0.1525983,0.9671909,0.03632355
0.1400146,0.1525256,0.9669826,0.03637868
0.1417236,0.1525109,0.9669455,0.0363923
0.15271,0.1520214,0.9668478,0.03673318
0.1599731,0.1516208,0.9667656,0.0370325
0.1638184,0.1513679,0.9667064,0.03720868
0.1746826,0.1511069,0.9666558,0.03738889
0.1799927,0.1510102,0.9666277,0.03740036
0.185791,0.1508999,0.9665881,0.0373928
0.1969604,0.1507586,0.9665501,0.03740454
0.2000122,0.15071,0.9665332,0.03737064
0.2081299,0.1503935,0.9666967,0.03720817
0.2193604,0.1498535,0.9668001,0.03705752
0.2199707,0.149815,0.9668083,0.03705272
0.2305908,0.149233,0.966747,0.03679457
0.2399902,0.1488849,0.9664349,0.03656422
0.2415771,0.1488241,0.9663779,0.03652942
0.2596436,0.1481201,0.9658771,0.03613943
0.2600098,0.1480822,0.965922,0.03617181
0.2636719,0.1478922,0.9658557,0.03609857
0.2748413,0.1475056,0.9657138,0.03606299
0.2799683,0.1472359,0.9656069,0.03609815
0.2858887,0.146876,0.9654972,0.03615895
0.296814,0.1465901,0.9652764,0.03611162
0.2999878,0.1465408,0.9651896,0.03605714
0.3079834,0.1462793,0.965095,0.03606665
0.3191528,0.145862,0.9650204,0.03632075
0.3200073,0.1458258,0.9650072,0.03634389
0.3302612,0.1455203,0.9647379,0.03648916
0.3399658,0.1453611,0.964623,0.03657675
0.3416138,0.1453441,0.9645989,0.0365842
0.352356,0.1453158,0.9644097,0.03658074
0.3599854,0.1453341,0.9643264,0.0366285
0.3635254,0.1453408,0.9642717,0.03666168
0.3745117,0.1453894,0.9641322,0.03670859
0.3800049,0.1454366,0.9640721,0.03669119
0.3857422,0.145497,0.9640409,0.03667273
0.3969727,0.1455674,0.9640399,0.03666353
0.3999634,0.145587,0.9640368,0.03665619
0.4143677,0.1456514,0.9640086,0.03658415
0.4189453,0.1456517,0.9639436,0.03660659
0.4199829,0.1456549,0.9639335,0.03660515
0.4301758,0.1457863,0.9640223,0.03637549
0.4400024,0.1461049,0.9640447,0.03639144
0.4412842,0.1461668,0.9640412,0.03640074
0.4523926,0.1466579,0.96408,0.0364559
0.4599609,0.1469988,0.9640484,0.03659511
0.4636841,0.1472645,0.9640237,0.03672349
0.4747925,0.1478201,0.9639281,0.03696233
0.4799805,0.1480705,0.9638416,0.03707537
0.4858398,0.1484437,0.9637782,0.03727151
0.4970093,0.1490957,0.9636871,0.03747785
0.5,0.149297,0.963661,0.03753339
0.5081177,0.1497769,0.9634529,0.03778113
0.519165,0.1503255,0.9632741,0.03803673
0.5199585,0.150379,0.963262,0.03805408
0.5302124,0.1511017,0.9629259,0.03819756
0.539978,0.1516437,0.9625823,0.03836858
0.5412598,0.1517302,0.9625297,0.03839152
0.5526123,0.1524868,0.9621341,0.03866944
0.5599976,0.1528873,0.9619241,0.0388767
0.5700684,0.1533757,0.96162,0.03906962
0.5743408,0.1534939,0.9617761,0.03916283
0.5800171,0.153734,0.9618253,0.03926091
0.5855713,0.1540067,0.961889,0.03930001
0.5968628,0.1542737,0.9621424,0.03926781
0.5999756,0.1543291,0.9622279,0.03925076
0.6080933,0.1545151,0.9624276,0.03923991
0.6192017,0.1548955,0.9625956,0.03917268
0.6199951,0.1549213,0.9626094,0.03917721
0.6304321,0.1552155,0.9628341,0.03928941
0.6400146,0.1554614,0.9631723,0.03944123
0.6416016,0.1554954,0.9632257,0.03945741
0.6523438,0.1558436,0.9634074,0.03961667
0.6599731,0.1560454,0.9635788,0.03987393
0.6635742,0.1561459,0.9636862,0.03999636
0.6745605,0.1564525,0.9640103,0.04012534
0.6799927,0.1565443,0.9641739,0.04016693
0.6856079,0.1567318,0.9642681,0.04015815
0.6966553,0.1569239,0.9643592,0.04014125
0.7000122,0.1569733,0.9643874,0.04013842
0.7079468,0.1569943,0.9644262,0.04015511
0.7199707,0.1568479,0.9642351,0.04026997
0.7254028,0.1567572,0.9640935,0.04040356
0.7297363,0.1565755,0.9638578,0.04046172
0.7399902,0.1562094,0.9634593,0.04065979
0.7412109,0.1561396,0.9633881,0.04069665
0.7523804,0.1557714,0.9630436,0.04079261
0.7600098,0.1554338,0.9628243,0.0408483
0.7633667,0.1551928,0.9627013,0.04083622
0.7747192,0.1546746,0.9623197,0.04078934
0.7799683,0.1544283,0.9621313,0.04077044
0.7856445,0.1540562,0.9620061,0.0407047
0.796936,0.1534339,0.9619408,0.04064028
0.7999878,0.1532639,0.9619225,0.04058324
0.8079834,0.1524918,0.9620358,0.04026678
0.8189697,0.151582,0.9621168,0.04000166
0.8200073,0.151496,0.9621156,0.03997988
0.8302612,0.1504314,0.9620895,0.03960729
0.8399658,0.149393,0.9620491,0.03920847
0.8414307,0.1492342,0.9620427,0.03915343
0.852417,0.1480629,0.9619925,0.03874525
0.8599854,0.1472583,0.9615148,0.03845227
0.8634033,0.1467253,0.9614828,0.0381673
0.8800049,0.1445741,0.9611127,0.03769165
0.8808594,0.1444575,0.9610898,0.03768006
0.885498,0.1439397,0.9609887,0.03762841
0.8968506,0.1426417,0.9603189,0.03745261
0.8999634,0.142162,0.960242,0.03719588
0.90802,0.1411322,0.9600102,0.03673357
0.9188843,0.1401726,0.9597815,0.03610101
0.9199829,0.1399288,0.9597856,0.03584622
0.9300537,0.1384765,0.9597466,0.03489938
0.9400024,0.1371816,0.959771,0.03410348
0.9414673,0.1371417,0.9597971,0.03419465
0.9522705,0.1359256,0.959788,0.03373115
0.9599609,0.1351187,0.9593396,0.03332752
0.9634399,0.1344945,0.959174,0.03314829
0.9746094,0.1331425,0.9587949,0.03269239
0.9799805,0.1324538,0.9585773,0.03284654
0.9857788,0.1313863,0.9583727,0.03271958
0.9967041,0.1299261,0.9580246,0.03246155
1,0.1294247,0.9577467,0.03234683
1.007874,0.128166,0.9574464,0.03204069
1.019043,0.127109,0.9571482,0.0316377
1.019958,0.1270206,0.9571228,0.03160173
1.036133,0.1255265,0.9568772,0.03080478
1.039978,0.1252202,0.9568431,0.03060859
1.04071,0.1252254,0.9568239,0.03062275
1.052246,0.1245176,0.9566921,0.03014317
1.059998,0.1234869,0.9564832,0.0296026
1.063232,0.1230554,0.9564257,0.02937245
1.074646,0.1209605,0.9569684,0.02789059
1.080017,0.1201968,0.9570255,0.02639104
1.085571,0.1194214,0.9575722,0.02509351
1.09668,0.1182754,0.9585239,0.02303007
1.099976,0.1178577,0.9595018,0.02240509
1.107788,0.1174116,0.9606086,0.02151191
1.118774,0.1172082,0.9615443,0.02098384
1.119995,0.1178563,0.9614179,0.0211854
1.129822,0.118587,0.9617895,0.02101061
1.140015,0.1190904,0.9620126,0.02076264
1.141113,0.1191466,0.9620337,0.02072853
1.152161,0.1193274,0.9623686,0.02094564
1.159973,0.1198782,0.9625136,0.02103737
1.163391,0.1201424,0.9628536,0.02051792
1.1745,0.1208054,0.9635133,0.01962233
1.179993,0.1207833,0.9646324,0.01940286
1.191956,0.1213014,0.9670556,0.01852468
1.196472,0.1214636,0.9677327,0.01827434
1.200012,0.1222844,0.9676698,0.0183962
1.207642,0.1235131,0.9684424,0.01845644
1.218994,0.125023,0.9692892,0.01867077
1.219971,0.1249417,0.969492,0.0190676
1.230042,0.1260469,0.9704061,0.01987877
1.23999,0.1272069,0.9719894,0.02096188
1.240967,0.1272867,0.972068,0.0210188
1.252075,0.1280482,0.9731212,0.02062963
1.26001,0.1286204,0.9736787,0.02179381
1.263611,0.1289666,0.9739931,0.02222529
