Time, X, Y, Z
21.04001,-0.263863,0.9466156,0.1321892
62.17999,-0.2482242,0.9161549,0.1798518
68.44,-0.2665121,0.92614,0.2486989
72.72,-0.2302106,0.9159337,0.2710244
78.14001,-0.2349807,0.9406843,0.2791056
81.32001,-0.2531631,0.902541,0.2491608
84.64001,-0.2724358,0.9086175,0.2188046
87.04001,-0.3034759,0.9079084,0.2702854
89.64001,-0.2228303,0.9140984,0.1952965
96.24002,-0.194869,0.9011152,0.2431047
98.88477,-0.2782594,0.9356031,0.2223266
104.74,-0.2330928,0.9094918,0.2348008
108.76,-0.2641508,0.9259472,0.1780608
111.04,-0.2748331,0.9235342,0.2379991
113.36,-0.2747583,0.9134005,0.2186709
118.92,-0.2475829,0.9209014,0.2413669
122.34,-0.2597643,0.9092768,0.2271037
126.32,-0.203852,0.905728,0.2592469
131.76,-0.2183509,0.9147099,0.1886406
134.76,-0.2825373,0.9273033,0.1858622
137.22,-0.2231466,0.9282992,0.2494744
140.36,-0.2424104,0.9405003,0.2427218
143.06,-0.2424316,0.9245768,0.220084
145.88,-0.3123339,0.9215384,0.2345718
148.26,-0.22762,0.8972418,0.2089142
152.8,-0.2401572,0.909628,0.2584746
162.8,-0.2902343,0.9072734,0.2332425
175.3,-0.2546692,0.9006245,0.2273161
183.54,-0.2248112,0.91197,0.1961106
186.36,-0.2434629,0.8902477,0.2652374
189.06,-0.1928527,0.9287163,0.1827396
211.96,-0.2996831,0.9127489,0.1817766
214.5323,-0.2858611,0.919892,0.161046
219.04,-0.1546683,0.9106833,0.1756217
225.5,-0.2484015,0.9079006,0.2430011
227.76,-0.1910015,0.9085411,0.2208626
230.52,-0.245242,0.918583,0.2070344
232.86,-0.247582,0.9185665,0.2635411
235.38,-0.2767384,0.9269059,0.2266426
239.16,-0.2268653,0.9126747,0.1641468
242,-0.2581959,0.9131845,0.2436102
251.74,-0.2532528,0.9089117,0.2388812
254.3365,-0.3227938,0.9258817,0.1530911
258.7,-0.2748389,0.8922274,0.2242435
269.74,-0.2974634,0.9143945,0.2432711
278.76,-0.2339921,0.9183069,0.1672232
281.14,-0.2781734,0.9251261,0.1992916
283.38,-0.2820027,0.9037378,0.2296949
290.9,-0.3391112,0.8897616,0.2154138
315.8,-0.2059545,0.9182532,0.2066138
319.3735,-0.2707461,0.9261611,0.1536388
326.46,-0.2431711,0.9019062,0.2326211
330.56,-0.3248374,0.8978449,0.2168927
333.2,-0.2454312,0.9238341,0.1664044
337.76,-0.2047173,0.9078623,0.2553109
340.42,-0.2556401,0.9210032,0.1824046
344.6238,-0.3244634,0.9116672,0.2352926
351.56,-0.2827279,0.9215472,0.182144
356.28,-0.2914753,0.9076111,0.2668394
359.6888,-0.2785399,0.9335747,0.1572114
363.64,-0.2537393,0.9066006,0.2091295
368.76,-0.2810883,0.9131213,0.2541012
371.58,-0.2231499,0.9265211,0.1691688
374.78,-0.2590531,0.9262958,0.2413916
383.94,-0.3081496,0.90614,0.2980029
386.6,-0.2234416,0.9268705,0.2141242
389.24,-0.2727334,0.9055926,0.2509924
