Time, X, Y, Z
21.04001,-0.2832225,0.86,0.2207839
62.17999,-0.2315862,0.86,0.1819144
68.44,-0.2774953,0.86,0.2351019
72.72,-0.2170479,0.86,0.2750503
78.14001,-0.2933284,0.86,0.2763882
81.32001,-0.2213537,0.86,0.2409458
84.64001,-0.2694903,0.86,0.2133738
87.04001,-0.2531056,0.86,0.2581459
89.64001,-0.2208395,0.86,0.2136718
96.24002,-0.2139356,0.86,0.2758866
98.88477,-0.2957956,0.86,0.2309971
104.74,-0.2388808,0.86,0.2594527
108.76,-0.2993659,0.86,0.2172561
111.04,-0.2502204,0.86,0.2528127
113.36,-0.2779714,0.86,0.2119482
118.92,-0.2386558,0.86,0.263442
122.34,-0.251389,0.86,0.2145274
126.32,-0.2088522,0.86,0.2660361
131.76,-0.2291195,0.86,0.214262
134.76,-0.2853078,0.86,0.1838129
137.22,-0.202393,0.86,0.2690248
140.36,-0.2826467,0.86,0.259398
143.06,-0.2364984,0.86,0.1874871
145.88,-0.2954741,0.86,0.2533613
148.26,-0.2184544,0.86,0.2021353
152.8,-0.2258442,0.86,0.2792552
162.8,-0.2488118,0.86,0.2084332
175.3,-0.2716179,0.86,0.2730427
183.54,-0.2462199,0.86,0.2239082
186.36,-0.2033982,0.86,0.2597121
189.06,-0.2041633,0.86,0.2080234
211.96,-0.2992634,0.86,0.2521551
214.5323,-0.2741484,0.86,0.2018485
219.04,-0.2935616,0.86,0.2549681
225.5,-0.2375988,0.86,0.2707107
227.76,-0.200374,0.86,0.2354152
230.52,-0.264799,0.86,0.222633
232.86,-0.2427564,0.86,0.2692014
235.38,-0.2875974,0.86,0.1917951
239.16,-0.2212241,0.86,0.1879279
242,-0.2782314,0.86,0.2724531
251.74,-0.2319648,0.86,0.2315893
254.3365,-0.2657189,0.86,0.1966829
258.7,-0.2237371,0.86,0.2387967
269.74,-0.2888777,0.86,0.2485296
278.76,-0.2297521,0.86,0.2042016
281.14,-0.277652,0.86,0.1813423
283.38,-0.2240774,0.86,0.2491463
290.9,-0.2853968,0.86,0.2289234
315.8,-0.2333554,0.86,0.2324245
319.3735,-0.2974204,0.86,0.2128962
326.46,-0.2091612,0.86,0.2271214
330.56,-0.2846959,0.86,0.2480368
333.2,-0.2693729,0.86,0.1927584
337.76,-0.2540715,0.86,0.2636458
340.42,-0.2667979,0.86,0.2035751
344.6238,-0.2932486,0.86,0.2576336
351.56,-0.2859631,0.86,0.190478
356.28,-0.2781255,0.86,0.2588403
359.6888,-0.2854918,0.86,0.181333
363.64,-0.2550865,0.86,0.2302699
368.76,-0.2907429,0.86,0.2791338
371.58,-0.2739704,0.86,0.1837523
374.78,-0.2357252,0.86,0.2341399
383.94,-0.2770727,0.86,0.2720737
386.6,-0.2322799,0.86,0.2262448
389.24,-0.2900223,0.86,0.2403671
