Time, X, Y, Z
0,-0.1638181,0.9376335,-0.04766212
0.002990723,-0.1637583,0.9378725,-0.04731557
0.01504517,-0.1636517,0.9384127,-0.04642907
0.02001953,-0.163551,0.9386385,-0.04613149
0.02545166,-0.1634384,0.9388618,-0.04590115
0.03631592,-0.1630974,0.9390982,-0.04549533
0.04000854,-0.1629325,0.9392264,-0.04528657
0.04742432,-0.1624963,0.9394714,-0.04471315
0.05847168,-0.1620881,0.9398392,-0.04415962
0.05999756,-0.1620368,0.939898,-0.04408634
0.06936646,-0.1617585,0.94028,-0.04381168
0.08001709,-0.1615866,0.9406298,-0.04365838
0.08044434,-0.1615842,0.9406457,-0.04365046
0.09152222,-0.1615779,0.940822,-0.04345867
0.1000061,-0.1616966,0.9410424,-0.04332352
0.1085205,-0.1618073,0.9413013,-0.04315987
0.1135254,-0.161786,0.9413513,-0.04305863
0.1199951,-0.1619179,0.9414915,-0.0430066
0.1249084,-0.1620712,0.9415888,-0.04305574
0.136322,-0.1623524,0.9416426,-0.04317757
0.1400146,-0.1624026,0.9416865,-0.04321665
0.1473389,-0.162549,0.9417384,-0.04327619
0.1584473,-0.1627049,0.9417064,-0.04348917
0.1600037,-0.1627171,0.941703,-0.04353607
0.1694946,-0.1628354,0.941579,-0.04384908
0.1799927,-0.1631686,0.9414897,-0.04418884
0.1803589,-0.1631734,0.9414891,-0.0441927
0.191803,-0.1634782,0.9414996,-0.04454626
0.2000122,-0.1636056,0.9416059,-0.0447648
0.2028809,-0.1636295,0.9416966,-0.04481521
0.2139587,-0.1637183,0.9419041,-0.04488595
0.2200012,-0.1637236,0.9420382,-0.04491875
0.2251282,-0.1637156,0.9422511,-0.04506323
0.2362366,-0.163635,0.9425609,-0.04515329
0.2400208,-0.1635744,0.9426931,-0.04513997
0.2474365,-0.1634946,0.9428438,-0.04518792
0.2600098,-0.163314,0.9429678,-0.04514278
0.2645569,-0.163273,0.9430189,-0.04507908
0.2693787,-0.1633241,0.9430979,-0.04498011
0.2799988,-0.1633057,0.9432677,-0.04465327
0.2806091,-0.1633008,0.9432898,-0.04457828
0.2917786,-0.1631926,0.9433615,-0.04432827
0.3000183,-0.1631231,0.9434675,-0.04420543
0.3030396,-0.1631053,0.9435109,-0.04412186
0.3137512,-0.1630722,0.9434498,-0.04413226
0.3200073,-0.1630617,0.9434252,-0.0442313
0.3251038,-0.1631649,0.943367,-0.04451922
0.3360901,-0.1633374,0.9433659,-0.04506689
0.3399963,-0.1633774,0.9433626,-0.04536083
0.34729,-0.1633785,0.9436072,-0.04562402
0.3583374,-0.1634291,0.9438343,-0.04568672
0.3600159,-0.1634146,0.9438442,-0.04570118
0.3696594,-0.1633276,0.9437358,-0.04611185
0.3800049,-0.1634114,0.943812,-0.04653952
0.3806152,-0.1634177,0.9438181,-0.04656079
0.3916016,-0.1633454,0.9438952,-0.04687892
0.3999939,-0.1631271,0.9438856,-0.04713887
0.4029236,-0.1630216,0.9438492,-0.04716858
0.4199829,-0.1627664,0.9435581,-0.047271
0.4200134,-0.1627657,0.9435571,-0.0472715
0.4247742,-0.1626816,0.9433489,-0.04736421
0.4363708,-0.1627032,0.9428976,-0.04758373
0.4400024,-0.1627396,0.9426948,-0.04769546
0.4473267,-0.162827,0.9424968,-0.0476923
0.4582825,-0.1630545,0.9423367,-0.04764371
0.460022,-0.1630952,0.942292,-0.04765362
0.4692993,-0.1633168,0.9420167,-0.04785019
0.480011,-0.1636223,0.9416839,-0.04814225
0.4804077,-0.1637028,0.9415569,-0.04801384
0.4916382,-0.1640392,0.9410089,-0.04811424
0.5,-0.1641097,0.9405755,-0.04826848
0.5027161,-0.1642042,0.9403056,-0.04828449
