Time, X, Y, Z
0,0.1033304,0.9624052,-0.01819628
0.002990723,0.1032955,0.962244,-0.0180589
0.01504517,0.1031102,0.9620541,-0.01781443
0.02001953,0.1030266,0.9620805,-0.01772213
0.02545166,0.1028544,0.9621421,-0.01763445
0.03631592,0.1024492,0.962274,-0.01753363
0.04000854,0.1022903,0.9623925,-0.01744306
0.04742432,0.101853,0.9627545,-0.01734525
0.05847168,0.1014009,0.9631625,-0.0172551
0.05999756,0.1013244,0.9632153,-0.01724896
0.06936646,0.1007803,0.9636014,-0.01729035
0.08001709,0.1000031,0.9641507,-0.01754072
0.08044434,0.09995919,0.9641791,-0.01755068
0.09152222,0.09919442,0.964713,-0.01781446
0.1000061,0.09849086,0.9652312,-0.01809511
0.1085205,0.09773757,0.9658256,-0.01844341
0.1135254,0.09751539,0.9659008,-0.01843658
0.1199951,0.09700285,0.9661732,-0.01851669
0.1249084,0.09655779,0.9664285,-0.01857841
0.136322,0.09560771,0.9668537,-0.01862192
0.1400146,0.09530424,0.9670568,-0.01863909
0.1473389,0.09464431,0.9675552,-0.01867568
0.1584473,0.09385716,0.9678026,-0.01878968
0.1600037,0.09374842,0.9678173,-0.01882085
0.1694946,0.09321529,0.9678797,-0.01884067
0.1799927,0.09271187,0.9679482,-0.01866895
0.1803589,0.0927059,0.9679492,-0.01866618
0.191803,0.09235804,0.9682333,-0.01834735
0.2000122,0.0921153,0.9684853,-0.01815331
0.2028809,0.09198633,0.9685897,-0.01808938
0.2139587,0.09171355,0.9689045,-0.01795352
0.2200012,0.09162556,0.969147,-0.017858
0.2251282,0.09155221,0.969456,-0.01773095
0.2362366,0.09145796,0.9699619,-0.01750797
0.2400208,0.09144347,0.970199,-0.01740098
0.2474365,0.09141926,0.9707839,-0.01712576
0.2600098,0.09134039,0.9717222,-0.01679555
0.2645569,0.09127299,0.9720857,-0.01665562
0.2693787,0.09125015,0.9726166,-0.01665881
0.2799988,0.09125471,0.973785,-0.01649046
0.2806091,0.09126297,0.9739519,-0.01644996
0.2917786,0.09147487,0.97507,-0.01616284
0.3000183,0.09167965,0.9760333,-0.01590338
0.3030396,0.09177828,0.9765059,-0.01576519
0.3137512,0.09202031,0.9774066,-0.01534814
0.3200073,0.09218645,0.9780298,-0.0149788
0.3251038,0.0922704,0.9785693,-0.01459467
0.3360901,0.09226727,0.979333,-0.01395202
0.3399963,0.09226121,0.9795994,-0.01373839
0.34729,0.09216089,0.9801464,-0.01336801
0.3583374,0.09195078,0.9807689,-0.01292259
0.3600159,0.09193404,0.9808635,-0.01286104
0.3696594,0.09183633,0.9814304,-0.01253545
0.3800049,0.09154592,0.9820071,-0.01222354
0.3806152,0.0915225,0.982048,-0.01219434
0.3916016,0.09131447,0.9825053,-0.01192373
0.3999939,0.09129883,0.9827822,-0.01195753
0.4029236,0.09131791,0.982873,-0.01204219
0.4199829,0.09120569,0.9830004,-0.0127387
0.4200134,0.09120564,0.9830002,-0.01274046
0.4247742,0.09121738,0.9828004,-0.01311582
0.4363708,0.09159042,0.9824039,-0.0136891
0.4400024,0.09182428,0.9822141,-0.01388371
0.4473267,0.09196109,0.9815655,-0.01419872
0.4582825,0.0920598,0.9805781,-0.01452711
0.460022,0.09209326,0.9803696,-0.01460001
0.4692993,0.09222765,0.9790484,-0.01506501
0.480011,0.09225818,0.977518,-0.01557705
0.4804077,0.09232321,0.9778481,-0.01548186
0.4916382,0.09250219,0.9769342,-0.01582164
0.5,0.09276936,0.9763906,-0.01607901
0.5027161,0.09292206,0.9760588,-0.01631105
0.5138855,0.09332862,0.9752009,-0.01682958
0.5200195,0.09359513,0.9747113,-0.017176
0.5249023,0.09367253,0.9742426,-0.01744929
0.5360413,0.09382553,0.9733012,-0.01794425
0.5400085,0.09373409,0.9730191,-0.01822075
0.5471497,0.09371246,0.9723874,-0.01864064
0.558197,0.09368882,0.9716115,-0.01910678
0.5599976,0.09364364,0.9714699,-0.01920831
0.5758057,0.0931455,0.9701201,-0.02015164
0.5800171,0.09304737,0.9697562,-0.02039629
0.5802307,0.09296244,0.9698014,-0.02038264
0.5915833,0.09264468,0.9690169,-0.02095944
0.6000061,0.09193788,0.9684107,-0.02131388
0.6028137,0.09176576,0.9681824,-0.02149495
0.6138916,0.0913846,0.9675679,-0.02197891
0.6199951,0.09097635,0.9671328,-0.02240151
0.6251221,0.09062238,0.9666629,-0.02283326
0.6362305,0.08994504,0.9660228,-0.02343631
0.6400146,0.08955956,0.9659173,-0.02341828
0.6472168,0.08888743,0.9656504,-0.02367178
0.6580811,0.08801211,0.9655318,-0.02378219
0.6600037,0.08778192,0.9658123,-0.02395555
0.669281,0.08666357,0.9662464,-0.02446321
0.6799927,0.08536284,0.9668127,-0.02489176
0.6802979,0.08515523,0.9668562,-0.02490041
0.6915283,0.08372024,0.9675141,-0.02516946
0.7000122,0.08265753,0.9679696,-0.02509776
0.7054749,0.08179091,0.9684964,-0.02513272
0.7138367,0.08087623,0.9690852,-0.02513257
0.7200012,0.07975501,0.969697,-0.02516109
0.7299194,0.07774128,0.9707547,-0.02580148
0.7347717,0.07700522,0.9711727,-0.02601832
0.7400208,0.07608605,0.9716456,-0.02630055
0.7457581,0.07488097,0.9722126,-0.02670154
0.7569885,0.07284286,0.973299,-0.02818
0.7600098,0.07221343,0.9734315,-0.02819133
0.7680664,0.0703625,0.9741094,-0.02875167
0.7791138,0.06886809,0.9743677,-0.02878863
0.7799988,0.0687304,0.9744119,-0.02881584
0.7903442,0.06689156,0.9748313,-0.02913368
0.8000183,0.06562064,0.9751098,-0.0299482
