Time, X, Y, Z
13.79527,-0.1446306,0.9019037,0.1824379
17.53527,-0.2484831,0.8956584,0.2560009
20.97527,-0.2386455,0.9216601,0.1876634
24.09527,-0.2684329,0.8969906,0.2576163
26.53527,-0.2879126,0.9095344,0.2626173
29.53527,-0.2253014,0.8927899,0.2002521
34.55527,-0.2841276,0.900948,0.2742449
37.65527,-0.2190794,0.9228851,0.1301154
40.51527,-0.3395684,0.9301922,0.2282012
42.21527,-0.2247645,0.9278383,0.06397505
45.21527,-0.2390134,0.9283695,0.21083
47.73527,-0.2439648,0.9185625,0.1827865
51.03527,-0.2991119,0.9011447,0.2439281
53.67527,-0.2269781,0.9112678,0.238737
56.15527,-0.2468268,0.914222,0.1931946
78.69527,-0.1955059,0.9050273,0.2570135
80.69527,-0.2353421,0.925907,0.2046711
85.91527,-0.2646968,0.9123987,0.2114708
88.69527,-0.243157,0.920213,0.1927149
90.83527,-0.2748801,0.9214076,0.1903893
94.31527,-0.1773817,0.9286199,0.1787683
97.51527,-0.2821029,0.9364177,0.1759361
100.0953,-0.2320339,0.9092993,0.2257886
102.8153,-0.2919943,0.9000705,0.2109086
105.6353,-0.2654693,0.8991338,0.2303092
108.3353,-0.3187938,0.9042085,0.2272853
110.9553,-0.2262232,0.8989996,0.1858372
113.1553,-0.2832601,0.9223694,0.2238165
115.9553,-0.2858696,0.9088064,0.2126301
118.4153,-0.2265157,0.9040895,0.1895311
142.5553,-0.2981978,0.904039,0.2598915
145.0353,-0.2520359,0.9063032,0.1958048
147.4553,-0.2828829,0.914004,0.2160891
150.4353,-0.2453013,0.9154148,0.2652027
152.9753,-0.304667,0.9075638,0.1944544
155.2953,-0.2395042,0.9122512,0.2538071
157.3553,-0.3053869,0.9301959,0.1955406
160.9753,-0.2824753,0.9317218,0.2283451
163.1153,-0.2985111,0.933901,0.217058
165.1153,-0.2188922,0.9249365,0.2264223
167.0753,-0.3029768,0.9234489,0.2180835
169.3153,-0.2352293,0.929559,0.2482591
171.4553,-0.2275973,0.9241607,0.2105832
173.5353,-0.2639438,0.9359355,0.2407587
175.6953,-0.2237777,0.9257641,0.1574188
198.4553,-0.2506952,0.9183673,0.2221042
200.7553,-0.2967248,0.9163145,0.2107248
202.7353,-0.2384571,0.9216923,0.1934446
205.1153,-0.3062017,0.9237176,0.1839412
207.2953,-0.2613505,0.9029823,0.2472167
209.3953,-0.301239,0.9128943,0.2038352
211.1353,-0.270668,0.9294741,0.202955
217.8953,-0.2116521,0.9309925,0.2026881
220.1153,-0.2710022,0.9342345,0.2362215
222.2753,-0.2610333,0.9378009,0.1860855
224.4953,-0.2117282,0.934476,0.2375126
226.8153,-0.2592925,0.923678,0.2097789
228.9153,-0.240876,0.9317421,0.218311
231.2153,-0.2933531,0.9194211,0.2207698
233.3753,-0.2753539,0.9276224,0.2483895
