Time, X, Y, Z
13.79527,-0.15,0.86,0.2
17.53527,-0.2510836,0.86,0.2644092
20.97527,-0.2557194,0.86,0.1908655
24.09527,-0.2436051,0.86,0.2634951
26.53527,-0.2926357,0.86,0.2534841
29.53527,-0.2164567,0.86,0.1949257
34.55527,-0.2758127,0.86,0.2775118
37.65527,-0.2094273,0.86,0.2260518
40.51527,-0.2903599,0.86,0.2672958
42.21527,-0.2826695,0.86,0.183496
45.21527,-0.2565773,0.86,0.2276037
47.73527,-0.2307242,0.86,0.183057
51.03527,-0.2808442,0.86,0.242435
53.67527,-0.2265462,0.86,0.244794
56.15527,-0.2256501,0.86,0.1884272
78.69527,-0.2031585,0.86,0.2621778
80.69527,-0.2234921,0.86,0.2134228
85.91527,-0.2717735,0.86,0.227136
88.69527,-0.2236944,0.86,0.1949269
90.83527,-0.2782577,0.86,0.1858945
94.31527,-0.2332436,0.86,0.2400437
97.51527,-0.2985201,0.86,0.2047878
100.0953,-0.257017,0.86,0.2558876
102.8153,-0.2691129,0.86,0.2035656
105.6353,-0.2412353,0.86,0.2431192
108.3353,-0.2998106,0.86,0.247977
110.9553,-0.2070208,0.86,0.1800143
113.1553,-0.2716775,0.86,0.2614263
115.9553,-0.2794321,0.86,0.2131689
118.4153,-0.2071096,0.86,0.1841374
142.5553,-0.2828716,0.86,0.2665798
145.0353,-0.2214597,0.86,0.183387
147.4553,-0.2691363,0.86,0.2170456
150.4353,-0.2393604,0.86,0.2600231
152.9753,-0.2913545,0.86,0.1929363
155.2953,-0.2241705,0.86,0.2426239
157.3553,-0.2959631,0.86,0.2165755
160.9753,-0.2419967,0.86,0.2497203
163.1153,-0.2967373,0.86,0.2071061
165.1153,-0.212125,0.86,0.2280844
167.0753,-0.2730037,0.86,0.2257634
169.3153,-0.2290988,0.86,0.2546634
171.4553,-0.2069877,0.86,0.2104867
173.5353,-0.2364092,0.86,0.2756475
175.6953,-0.2136707,0.86,0.1901918
198.4553,-0.2458099,0.86,0.2256923
200.7553,-0.2959241,0.86,0.2059832
202.7353,-0.2033137,0.86,0.2065283
205.1153,-0.2974892,0.86,0.1878195
207.2953,-0.2449095,0.86,0.2275682
209.3953,-0.2952989,0.86,0.1901899
211.1353,-0.237615,0.86,0.2628694
217.8953,-0.2027898,0.86,0.207554
220.1153,-0.2630363,0.86,0.2691294
222.2753,-0.2444128,0.86,0.2023104
224.4953,-0.2064728,0.86,0.2520944
226.8153,-0.272013,0.86,0.210123
228.9153,-0.2374887,0.86,0.2613667
231.2153,-0.2920868,0.86,0.2345383
233.3753,-0.2574239,0.86,0.2766346
