Time, X, Y, Z
0.00551033,-0.1459909,0.9340183,-0.07878856
0.01527214,-0.1457797,0.9340487,-0.07893094
0.01689339,-0.1457435,0.9340529,-0.07895565
0.02831841,-0.1456479,0.9339813,-0.07907356
0.03526878,-0.1455647,0.9338237,-0.07912649
0.04571342,-0.1455031,0.9336155,-0.07930902
0.05003548,-0.1454998,0.9335635,-0.07937947
0.05526924,-0.1454716,0.9333984,-0.07944649
0.06111336,-0.145423,0.9331653,-0.07952893
0.07242393,-0.145476,0.9329466,-0.07941964
0.0752697,-0.1454933,0.9328958,-0.07938914
0.08337593,-0.1455619,0.9327424,-0.07929564
0.09455681,-0.145492,0.9324832,-0.07925183
0.09527016,-0.1454865,0.9324647,-0.07924673
0.1054249,-0.1455122,0.9323179,-0.07901961
0.1152706,-0.1456451,0.9321566,-0.07875657
0.1164989,-0.1456627,0.9321359,-0.07872182
0.1277409,-0.145856,0.9321744,-0.07852687
0.1352711,-0.1459595,0.9321983,-0.07839325
0.1388912,-0.1460181,0.9322129,-0.07831258
0.1501064,-0.1459541,0.9321501,-0.07821769
0.1552715,-0.1459501,0.9321771,-0.07816526
0.1612453,-0.1459523,0.9322275,-0.07809228
0.1722012,-0.1459776,0.9322746,-0.07806253
0.175272,-0.1459797,0.9323249,-0.07803062
0.1835079,-0.145979,0.9325276,-0.07789533
0.1952686,-0.1458468,0.9327299,-0.07771158
0.2011814,-0.1458172,0.932847,-0.07768352
0.2056904,-0.1457994,0.9329175,-0.07766652
0.2152691,-0.1457058,0.9331164,-0.07771
0.2166653,-0.1456809,0.9331663,-0.07772273
0.2277584,-0.1456352,0.9334178,-0.07769188
0.2352695,-0.1455633,0.9336393,-0.07760096
0.2389278,-0.1455145,0.9337803,-0.07753742
0.2499599,-0.1451739,0.9339588,-0.07762425
0.25527,-0.1450384,0.9340507,-0.07753024
0.2611332,-0.1448761,0.9341684,-0.07735559
0.2723713,-0.1447142,0.9343017,-0.07703325
0.2752705,-0.1446969,0.9343273,-0.07692969
0.2832127,-0.1447264,0.9343934,-0.07658815
0.294466,-0.1447273,0.9343607,-0.07628384
0.2952709,-0.1447273,0.9343578,-0.07626045
0.3055592,-0.1450374,0.9345909,-0.07590663
0.3152714,-0.1453356,0.9345361,-0.07563484
0.3167133,-0.1453844,0.934527,-0.07559305
0.3277874,-0.1458617,0.9346014,-0.07555699
0.3352718,-0.1460066,0.9346203,-0.07563305
0.3389072,-0.1460672,0.9346293,-0.07568996
0.3552723,-0.1460112,0.9348602,-0.07658343
0.3562031,-0.1459648,0.9348561,-0.0764097
0.3607769,-0.14591,0.9348764,-0.07651776
0.372118,-0.1454574,0.9346447,-0.07719788
0.3752689,-0.145341,0.9345865,-0.07735446
0.3831844,-0.1450423,0.9344684,-0.07771021
0.3943806,-0.1447794,0.9345009,-0.0785304
0.3952694,-0.1447568,0.9345045,-0.078603
0.4054127,-0.1444629,0.934938,-0.08031169
0.4152699,-0.1436179,0.9360517,-0.08210358
0.4165707,-0.1434875,0.9362189,-0.08236083
0.4278049,-0.141695,0.9378365,-0.08436278
0.4352703,-0.1404924,0.9391381,-0.0860891
0.4389286,-0.139728,0.9399949,-0.08728178
0.4501286,-0.1386565,0.9417968,-0.089292
0.4552708,-0.1378955,0.9428713,-0.09048434
0.460886,-0.1367656,0.94433,-0.09213714
0.4720325,-0.1357124,0.9461219,-0.09485704
0.4752712,-0.1354011,0.9466183,-0.09568828
0.4832058,-0.1345598,0.9476877,-0.09780982
0.494421,-0.133583,0.948997,-0.1001354
0.4952717,-0.1335017,0.9491079,-0.1003302
0.5121403,-0.1311405,0.9520546,-0.1045739
0.5152721,-0.1306292,0.9526625,-0.1054921
0.5166874,-0.1304273,0.9529045,-0.1058545
0.5275478,-0.1287112,0.9547471,-0.1083725
0.5352688,-0.1271995,0.9560089,-0.1109481
0.5389652,-0.1261919,0.9567844,-0.1127615
0.5501118,-0.1245269,0.9578704,-0.1163008
0.5552692,-0.1235393,0.9583455,-0.1181101
0.5611019,-0.1220425,0.958928,-0.1205045
0.5722446,-0.1202265,0.9595593,-0.1231689
0.5752697,-0.1196989,0.9597211,-0.123958
0.5830746,-0.1183111,0.9600633,-0.1263682
0.5940304,-0.1162368,0.96069,-0.1290139
0.5952702,-0.1159664,0.9607758,-0.1293408
0.6053028,-0.1137019,0.9618244,-0.1314102
0.6152706,-0.1118154,0.9622684,-0.1335454
0.6164684,-0.1115744,0.9623176,-0.1338257
0.627573,-0.1097832,0.9628114,-0.136656
0.6352711,-0.1088214,0.9630616,-0.1389101
0.6386547,-0.1083818,0.9631548,-0.1402089
0.6500454,-0.1075832,0.9630215,-0.1434407
0.6552715,-0.1071842,0.9628809,-0.1449
0.6673946,-0.1061151,0.9624025,-0.1481025
0.6719112,-0.1058836,0.9622872,-0.1487796
0.675272,-0.1056348,0.9621558,-0.149572
0.6837788,-0.1050744,0.9616449,-0.1521217
0.694273,-0.1041702,0.9614933,-0.1536021
0.6952686,-0.1040713,0.9614814,-0.1537448
0.7051296,-0.1030879,0.9610959,-0.1556423
0.7152691,-0.1023875,0.960639,-0.157147
0.7163219,-0.1023213,0.9605913,-0.157292
0.7272892,-0.101686,0.9598854,-0.1585014
0.7352695,-0.1012714,0.9591923,-0.1595316
0.7384357,-0.1011107,0.9588066,-0.1600964
0.7496166,-0.1003639,0.9579554,-0.1610651
0.75527,-0.09990954,0.9574781,-0.1613659
0.7607365,-0.099416,0.9569286,-0.1615375
0.7719173,-0.09864032,0.9561368,-0.1620455
0.7752705,-0.09838296,0.9558771,-0.1622411
0.7830486,-0.09780666,0.9549114,-0.1626749
0.7941799,-0.0971676,0.954108,-0.1629621
0.7952709,-0.09709963,0.9540287,-0.1629875
0.8051815,-0.0962129,0.9531269,-0.1631568
0.8152714,-0.09520356,0.9522001,-0.1632772
0.8225422,-0.09448784,0.9515617,-0.1633254
0.8271198,-0.09441642,0.9513386,-0.1632915
0.8352718,-0.09383478,0.9508314,-0.1631799
0.8387775,-0.09348515,0.9505768,-0.1630863
0.8495655,-0.09268656,0.9500515,-0.1631848
0.8552723,-0.09220902,0.9497278,-0.1633245
0.8607769,-0.09168477,0.9493144,-0.163544
0.8719463,-0.0907928,0.9486579,-0.1636404
0.8752689,-0.09050528,0.948474,-0.1636398
0.8830395,-0.0898357,0.9477036,-0.1635041
0.8942089,-0.0891078,0.9467006,-0.1634318
0.8952694,-0.08903017,0.9465906,-0.1634275
0.9051266,-0.08816776,0.9455092,-0.1633161
0.9152699,-0.08745495,0.9446107,-0.162942
0.9161777,-0.08739434,0.944533,-0.1628981
0.9273586,-0.08663074,0.9436474,-0.1623403
0.9352703,-0.08609701,0.9429318,-0.161893
0.9384174,-0.08583174,0.9425262,-0.1616694
0.9495296,-0.08520299,0.9417215,-0.1610905
0.9552708,-0.08488108,0.9412432,-0.1608252
0.9606495,-0.08458977,0.9406223,-0.1606311
0.9752712,-0.08393555,0.9392889,-0.1598946
0.9781284,-0.08381349,0.9390281,-0.1597225
0.9825687,-0.08374231,0.9389044,-0.1594828
0.9942875,-0.08329625,0.9382411,-0.1587521
0.9952717,-0.08325792,0.9381905,-0.1586912
1.005159,-0.08295301,0.9377693,-0.1580987
1.015272,-0.0825943,0.9373962,-0.1574216
1.016428,-0.08253051,0.9373403,-0.1573041
1.027399,-0.08204737,0.9369848,-0.1564292
1.035269,-0.08164234,0.9366265,-0.1556697
1.038492,-0.08142048,0.9364029,-0.155256
1.049803,-0.08094484,0.9359081,-0.1542778
1.055269,-0.08072418,0.935625,-0.1537703
1.060541,-0.08055207,0.9352604,-0.1531547
1.071772,-0.08071173,0.9348783,-0.1518146
1.07527,-0.08071613,0.9347185,-0.1514271
1.082823,-0.08073782,0.9343985,-0.1504693
1.093981,-0.08066814,0.9339553,-0.149486
1.09527,-0.08067392,0.9339108,-0.1493512
1.105219,-0.08087543,0.9334974,-0.1478409
1.115271,-0.08097351,0.9331781,-0.1471211
1.11659,-0.08097147,0.9330189,-0.14686
1.135271,-0.08118428,0.9321738,-0.1458139
1.137201,-0.08111593,0.9322754,-0.1461856
1.150263,-0.08151801,0.9316533,-0.14586
1.155272,-0.08171725,0.9313548,-0.1457511
1.16007,-0.08196191,0.9310474,-0.1456605
1.165468,-0.08213772,0.9308386,-0.1455961
