Time, X, Y, Z
0.00551033,0.09508002,0.9326208,0.009874314
0.01527214,0.0950832,0.9325406,0.009841323
0.01689339,0.09508599,0.9325265,0.0098373
0.02831841,0.09497819,0.9324695,0.009851605
0.03526878,0.09498518,0.9324201,0.009857237
0.04571342,0.09498357,0.9323981,0.009920537
0.05003548,0.0949783,0.9324014,0.009946346
0.05526924,0.09502891,0.9323938,0.009983957
0.06111336,0.09511314,0.9323793,0.010028
0.07242393,0.0951919,0.9323648,0.009994805
0.0752697,0.0951722,0.9323635,0.009977758
0.08337593,0.09507751,0.9323593,0.009922355
0.09455681,0.09500267,0.932353,0.00980565
0.09527016,0.09499794,0.9323521,0.009797513
0.1054249,0.09480723,0.9324278,0.009724259
0.1152706,0.09458987,0.9324582,0.009716928
0.1164989,0.09456076,0.932463,0.009716421
0.1277409,0.09435791,0.932493,0.009723783
0.1352711,0.09425388,0.9325429,0.009671777
0.1388912,0.09419602,0.9325749,0.009634465
0.1501064,0.09431246,0.9325626,0.009500951
0.1552715,0.09433132,0.9326012,0.009539366
0.1612453,0.09434736,0.9326637,0.009614855
0.1722012,0.09436426,0.932645,0.009583324
0.175272,0.09437908,0.9326606,0.009600461
0.1835079,0.09443709,0.9327399,0.009693593
0.1952686,0.09444185,0.9326459,0.009667248
0.2011814,0.09439586,0.9326803,0.009702981
0.2056904,0.09436817,0.9327011,0.009724438
0.2152691,0.09434833,0.9327305,0.009642065
0.2166653,0.09434516,0.9327371,0.009618402
0.2277584,0.094312,0.9326271,0.009434998
0.2352695,0.09427723,0.9325353,0.009264439
0.2389278,0.09425447,0.932477,0.009154826
0.2499599,0.09447488,0.9324092,0.008832842
0.25527,0.0945215,0.9323858,0.008724093
0.2611332,0.09455723,0.932358,0.008601487
0.2723713,0.09460382,0.9323387,0.008547425
0.2752705,0.09461115,0.9323004,0.008538216
0.2832127,0.09460091,0.9321197,0.008524567
0.294466,0.0945958,0.9319574,0.00850746
0.2952709,0.09459547,0.9319447,0.008506089
0.3055592,0.09434582,0.9317561,0.008836299
0.3152714,0.09434113,0.9317383,0.00904569
0.3167133,0.09433749,0.9317343,0.009078503
0.3277874,0.09426045,0.9315214,0.009397715
0.3352718,0.09422041,0.9314171,0.009571224
0.3389072,0.0941963,0.9313635,0.009671777
0.3552723,0.09416261,0.9308319,0.009844601
