Time, X, Y, Z
14.94,-0.3026378,0.9046775,0.1824621
17.65997,-0.2878072,0.9049734,0.2370881
20.09998,-0.2201818,0.914377,0.2025154
22.88,-0.2648574,0.8999136,0.2489131
25.65997,-0.2763442,0.9141924,0.2252593
28.17999,-0.2313243,0.8977032,0.2915954
30.52002,-0.2729514,0.8976263,0.2238039
32.76001,-0.2738386,0.9002087,0.278236
34.90002,-0.2408665,0.8853637,0.234601
36.85999,-0.3146362,0.9001042,0.2506445
38.73999,-0.2591731,0.9014833,0.2023603
40.59998,-0.2211404,0.9041628,0.2212123
42.67999,-0.2860798,0.9028586,0.23226
44.70001,-0.218593,0.8978421,0.2062935
46.53998,-0.2237149,0.9063169,0.2686402
49,-0.2747976,0.9023146,0.2382843
50.91998,-0.2043333,0.9123369,0.2260282
52.82001,-0.2822322,0.9134218,0.2048312
54.58002,-0.2413027,0.9292884,0.2292549
56.53998,-0.2236372,0.8986511,0.2181662
58.32001,-0.2211842,0.9128777,0.2575538
60.15997,-0.23341,0.9128087,0.2334674
61.94,-0.2718541,0.9062338,0.2524927
63.65997,-0.321732,0.9072863,0.1856754
65.32001,-0.2310339,0.9256185,0.2601617
67.53998,-0.2272714,0.9034104,0.1969182
69.71997,-0.2694831,0.907415,0.222662
71.77997,-0.2275791,0.9152502,0.2805037
73.94,-0.2946758,0.9074996,0.1960581
76.03998,-0.2007723,0.900454,0.2044485
98.5,-0.25731,0.9124792,0.2023668
100.8,-0.182453,0.9060957,0.1930001
103.22,-0.2778964,0.9129108,0.1772977
105.66,-0.2700112,0.9067896,0.2603522
107.94,-0.3076231,0.9072185,0.2221961
110.34,-0.2269923,0.9029016,0.277506
112.7,-0.2768905,0.8991656,0.2470246
114.84,-0.2546101,0.9010541,0.275032
117.1,-0.2240962,0.9116428,0.2024333
119.56,-0.2925643,0.902509,0.2196731
121.64,-0.1958172,0.9145991,0.2650344
123.66,-0.2581443,0.9086013,0.2164346
125.66,-0.2139424,0.9041497,0.2803452
127.9,-0.2920197,0.8980687,0.20381
130.58,-0.2973562,0.895447,0.2448686
175.7,-0.2373276,0.91802,0.2205026
178.5,-0.2674472,0.9069973,0.1990528
183.72,-0.2910903,0.9071491,0.2297701
186.88,-0.2056656,0.9279453,0.25142
189.08,-0.2880643,0.9102207,0.1857901
191.24,-0.2210109,0.9101218,0.229654
193.12,-0.3167256,0.9022766,0.2114337
194.94,-0.2512827,0.9035148,0.2050004
196.76,-0.2436474,0.90785,0.2583754
198.54,-0.2759369,0.9125628,0.1978073
200.38,-0.2242214,0.9039618,0.1921901
202.12,-0.2804267,0.9141066,0.1921855
204.06,-0.2837217,0.9103115,0.2553511
206,-0.2324853,0.9007943,0.208262
207.74,-0.2780412,0.9093232,0.2552593
