Time, X, Y, Z
14.94,-0.2924817,0.86,0.188619
17.65997,-0.2977412,0.86,0.2407709
20.09998,-0.2191011,0.86,0.1975816
22.88,-0.2393968,0.86,0.2488869
25.65997,-0.282901,0.86,0.2273647
28.17999,-0.2072901,0.86,0.2742069
30.52002,-0.2547648,0.86,0.2114086
32.76001,-0.2504687,0.86,0.266905
34.90002,-0.2227218,0.86,0.228326
36.85999,-0.2893015,0.86,0.2453714
38.73999,-0.2506692,0.86,0.1905434
40.59998,-0.2073348,0.86,0.2231598
42.67999,-0.2886249,0.86,0.2236266
44.70001,-0.221555,0.86,0.2043291
46.53998,-0.2180481,0.86,0.259973
49,-0.2708398,0.86,0.2153704
50.91998,-0.2117453,0.86,0.2218781
52.82001,-0.2817834,0.86,0.1914793
54.58002,-0.2550416,0.86,0.2449673
56.53998,-0.2007344,0.86,0.2117459
58.32001,-0.2228712,0.86,0.2724796
60.15997,-0.2309131,0.86,0.2194331
61.94,-0.2746529,0.86,0.2465001
63.65997,-0.2816808,0.86,0.1927329
65.32001,-0.2401768,0.86,0.2642648
67.53998,-0.2183294,0.86,0.1851961
69.71997,-0.2749593,0.86,0.2293144
71.77997,-0.2363611,0.86,0.2716558
73.94,-0.2741761,0.86,0.1854522
76.03998,-0.2023628,0.86,0.217002
98.5,-0.2736257,0.86,0.2141292
100.8,-0.203193,0.86,0.2021958
103.22,-0.290057,0.86,0.182751
105.66,-0.2659361,0.86,0.2638045
107.94,-0.2948803,0.86,0.2053066
110.34,-0.2135764,0.86,0.2646905
112.7,-0.2483159,0.86,0.2162591
114.84,-0.241915,0.86,0.2658143
117.1,-0.2200355,0.86,0.1860164
119.56,-0.2697003,0.86,0.201186
121.64,-0.2005748,0.86,0.2619814
123.66,-0.2402716,0.86,0.2168683
125.66,-0.2235845,0.86,0.2764818
127.9,-0.2465645,0.86,0.2030873
130.58,-0.269419,0.86,0.2510583
175.7,-0.2255425,0.86,0.2023959
178.5,-0.2798851,0.86,0.2065524
183.72,-0.2979568,0.86,0.2578998
186.88,-0.2400392,0.86,0.2714651
189.08,-0.2706953,0.86,0.1838036
191.24,-0.2202221,0.86,0.2305121
193.12,-0.2964348,0.86,0.1848845
194.94,-0.2397146,0.86,0.2026987
196.76,-0.2388644,0.86,0.2703663
198.54,-0.256301,0.86,0.1884126
200.38,-0.2090697,0.86,0.1903829
202.12,-0.2834114,0.86,0.1933337
204.06,-0.2692089,0.86,0.2663122
206,-0.2120721,0.86,0.1865477
207.74,-0.2525673,0.86,0.254972
