Time, X, Y, Z
0,-0.07159796,0.9280092,-0.1517714
0.001098633,-0.07161595,0.928072,-0.1516863
0.01226807,-0.0718378,0.9281921,-0.1519552
0.02001953,-0.07195625,0.9280933,-0.1521146
0.02337646,-0.07205115,0.9281191,-0.1522125
0.034729,-0.07230435,0.9281769,-0.1525882
0.03997803,-0.07243285,0.9281741,-0.1527765
0.04528809,-0.07253256,0.9282284,-0.1528506
0.05651855,-0.07276276,0.9283147,-0.1530583
0.05999756,-0.07282582,0.9283086,-0.1531198
0.06762695,-0.07297866,0.928316,-0.1532028
0.08001709,-0.07327105,0.9284396,-0.1532723
0.0859375,-0.07338797,0.9285184,-0.1532984
0.09082031,-0.07344624,0.9285564,-0.1533093
0.09997559,-0.0736337,0.9286246,-0.1533615
0.1010742,-0.07367565,0.92865,-0.1533489
0.1123657,-0.07385042,0.9287657,-0.1533593
0.1199951,-0.07391505,0.9287543,-0.1533303
0.1234741,-0.07394525,0.928746,-0.1533213
0.1345215,-0.07409745,0.9287051,-0.1533746
0.1400146,-0.07419954,0.9287838,-0.1533542
0.1453247,-0.07428645,0.9288121,-0.1533384
0.1564941,-0.07410245,0.9288933,-0.1530717
0.1599731,-0.07414877,0.92895,-0.1529922
0.1676025,-0.07422154,0.9291002,-0.1528723
0.1787109,-0.07424033,0.929292,-0.1527535
0.1799927,-0.07424788,0.9293372,-0.152785
0.1897583,-0.07435273,0.9296057,-0.152744
0.2000122,-0.07444704,0.9299176,-0.1527063
0.2009888,-0.07445781,0.929953,-0.1527085
0.2120972,-0.07446851,0.9304094,-0.1527946
0.2199707,-0.07447122,0.9307719,-0.1528025
0.2233887,-0.07448949,0.9309607,-0.1528019
0.2399902,-0.07438804,0.931948,-0.1526929
0.2410889,-0.07439241,0.9320054,-0.1526961
0.2456055,-0.07440692,0.9321957,-0.152707
0.2566528,-0.07448894,0.9328255,-0.1527053
0.2600098,-0.07446869,0.9328829,-0.1527419
0.2675171,-0.07444444,0.9332011,-0.1527786
0.2786255,-0.07444637,0.933366,-0.1528159
0.2799683,-0.07443392,0.9333487,-0.1528586
0.2897949,-0.07416104,0.9333712,-0.1531684
0.2999878,-0.07425971,0.9334271,-0.1533116
0.3008423,-0.07425973,0.9334319,-0.1533377
0.3120728,-0.07436953,0.933632,-0.1535383
0.3200073,-0.07441786,0.9335069,-0.1537167
0.3231812,-0.07445702,0.9334771,-0.1537981
0.3342896,-0.0745056,0.9334435,-0.1538602
0.3399658,-0.07439516,0.933399,-0.1538462
0.3452759,-0.07430272,0.9333254,-0.153882
0.3563232,-0.07415681,0.9333982,-0.1538865
0.3599854,-0.0740377,0.9333386,-0.1539405
0.3676147,-0.07385312,0.9332692,-0.1540285
0.3787842,-0.07377112,0.9332539,-0.1542241
0.3800049,-0.07371953,0.9332157,-0.1541629
0.397644,-0.07352804,0.93297,-0.1540911
0.4000244,-0.07353549,0.9329487,-0.1540577
0.4021606,-0.07364263,0.9329381,-0.1540434
0.4119263,-0.07375875,0.9328849,-0.1539432
0.4199829,-0.0738045,0.9327176,-0.1537219
0.4230957,-0.07383963,0.9326527,-0.1536084
0.4341431,-0.07381295,0.9325068,-0.1534037
0.4400024,-0.07379784,0.9324124,-0.1532077
0.4451904,-0.07377349,0.9323377,-0.1530151
0.4562988,-0.07335486,0.932205,-0.1526491
0.460022,-0.0733786,0.9322854,-0.1524812
0.4675903,-0.07327202,0.9323182,-0.1521361
0.4784546,-0.07318142,0.9321647,-0.1518323
0.4799805,-0.07317413,0.9322087,-0.1518531
0.4898071,-0.07312219,0.9322118,-0.1517065
0.5,-0.07319632,0.9321384,-0.1515811
0.5007324,-0.07319352,0.9321383,-0.1515725
0.5119019,-0.07324897,0.9321278,-0.1514169
0.5200195,-0.07313263,0.9321163,-0.1512346
0.5230103,-0.07308059,0.9321002,-0.1511479
0.5341797,-0.07272013,0.932097,-0.1509944
0.539978,-0.07258196,0.9320331,-0.1509667
0.5523071,-0.0719931,0.9319243,-0.1509087
0.5567017,-0.07180465,0.9318885,-0.1509053
0.5599976,-0.07176183,0.9318904,-0.1509092
0.5675049,-0.0715601,0.9318877,-0.1508655
0.5785522,-0.07112704,0.9319271,-0.1508232
0.5800171,-0.07111511,0.9319156,-0.1507582
0.5897217,-0.07084626,0.9318774,-0.1505519
0.5999756,-0.07039043,0.9316564,-0.1501489
0.6008911,-0.07033064,0.931628,-0.1501257
0.6119385,-0.06991243,0.9312848,-0.1499078
0.6199951,-0.06979224,0.9311123,-0.1495763
0.6229248,-0.06972345,0.93103,-0.1494187
0.6340942,-0.06942067,0.9309978,-0.1492827
0.6400146,-0.06937102,0.9310184,-0.1490758
0.6452026,-0.0692938,0.9310255,-0.148868
0.6565552,-0.06918798,0.9310614,-0.1486994
0.6599731,-0.06910694,0.9310025,-0.1486535
0.6674805,-0.06893458,0.930907,-0.148531
0.6785889,-0.06891997,0.9309289,-0.1484371
0.6799927,-0.06891641,0.9309219,-0.1484412
0.6902466,-0.06884519,0.9309244,-0.1484355
0.7000122,-0.06886642,0.9308756,-0.1483469
0.7076416,-0.06891674,0.9309008,-0.1483459
0.7128296,-0.06895016,0.9309168,-0.1483445
0.7199707,-0.06901167,0.9308704,-0.1482079
0.7231445,-0.06905477,0.9308611,-0.1481523
0.7340698,-0.06926353,0.9309294,-0.1480956
0.7399902,-0.0692856,0.9309393,-0.1479335
0.7451782,-0.06931205,0.9309375,-0.147787
0.7562866,-0.06937633,0.9309408,-0.1473712
0.7600098,-0.06928454,0.9309439,-0.1472465
0.767334,-0.06908964,0.9309372,-0.1470006
0.7783813,-0.06882515,0.9311061,-0.1465502
0.7799683,-0.06869265,0.9311046,-0.1465169
