Time, X, Y, Z
0,0.07114155,1.072085,0.02810165
0.001098633,0.07113063,1.072063,0.02819283
0.01226807,0.07084718,1.072114,0.02822421
0.02001953,0.07079396,1.072055,0.02809045
0.02337646,0.07077985,1.07199,0.02804901
0.034729,0.07060327,1.071815,0.02790855
0.03997803,0.07047627,1.071686,0.02786942
0.04528809,0.07039993,1.071621,0.02783963
0.05651855,0.07021598,1.071469,0.02773261
0.05999756,0.07021821,1.071444,0.0276749
0.06762695,0.07015357,1.071319,0.02763617
0.08001709,0.06998346,1.071196,0.02760872
0.0859375,0.06991871,1.071164,0.02758242
0.09082031,0.0698982,1.071123,0.02756765
0.09997559,0.06977695,1.070985,0.02754693
0.1010742,0.06979589,1.070964,0.02759263
0.1123657,0.06977106,1.070842,0.02766308
0.1199951,0.06973039,1.070855,0.02762564
0.1234741,0.06972757,1.070825,0.02757618
0.1345215,0.06962895,1.070686,0.02746463
0.1400146,0.06965974,1.070623,0.02746776
0.1453247,0.06967126,1.070537,0.02745208
0.1564941,0.06973079,1.070486,0.02745378
0.1599731,0.06971985,1.07051,0.02750683
0.1676025,0.06968521,1.070516,0.02755448
0.1787109,0.06974673,1.070504,0.0276005
0.1799927,0.06972317,1.070475,0.02752396
0.1897583,0.06963579,1.070405,0.02746922
0.2000122,0.06952798,1.070352,0.02746616
0.2009888,0.06951539,1.070346,0.02746248
0.2120972,0.06943555,1.070315,0.02738145
0.2199707,0.06930089,1.070267,0.02740113
0.2233887,0.06923121,1.070237,0.02740943
0.2399902,0.06915468,1.070175,0.02743691
0.2410889,0.06914483,1.070167,0.02743323
0.2456055,0.06911214,1.07014,0.02742097
0.2566528,0.06898725,1.070071,0.02743484
0.2600098,0.06898588,1.070038,0.02743927
0.2675171,0.06896702,1.069976,0.02744152
0.2786255,0.06906888,1.069896,0.02731186
0.2799683,0.06898552,1.069876,0.02737322
0.2897949,0.06908299,1.069642,0.02725083
0.2999878,0.06898046,1.069563,0.02731244
0.3008423,0.06897683,1.069552,0.02730331
0.3120728,0.06897494,1.069415,0.02708852
0.3200073,0.06901993,1.069237,0.02706498
0.3231812,0.06902401,1.069138,0.02705325
0.3342896,0.06915541,1.06899,0.02696949
0.3399658,0.06922753,1.068854,0.02703771
0.3452759,0.06932819,1.068683,0.02705429
0.3563232,0.06942081,1.068576,0.02717486
0.3599854,0.06946039,1.068572,0.02729619
