Time, X, Y, Z
14.00232,-0.2165958,0.9126101,0.1949012
17.64233,-0.2420668,0.9155583,0.2378508
21.00232,-0.2140692,0.9220091,0.1958381
23.98233,-0.2682391,0.9210704,0.1704188
27.30234,-0.2661834,0.9104208,0.2232941
29.66232,-0.2049182,0.9139751,0.1593754
32.90231,-0.2643205,0.9157725,0.2411157
35.78232,-0.2329863,0.9215775,0.2229706
38.32233,-0.2044224,0.9065858,0.222936
42.30234,-0.2138481,0.9127042,0.2115007
46.18231,-0.2646106,0.9263271,0.1800314
49.14233,-0.2108342,0.9139938,0.1581727
53.26233,-0.2011864,0.9268898,0.243091
56.52234,-0.2274575,0.9119813,0.1988304
61.48233,-0.2843601,0.925204,0.2094205
65.00232,-0.2599062,0.9458752,0.1977773
69.32233,-0.2700619,0.9105989,0.2205954
72.86234,-0.1879114,0.9262054,0.2383242
78.86234,-0.3078361,0.9446055,0.2496283
82.84232,-0.1972127,0.9216563,0.1889163
86.76233,-0.2581535,0.9204376,0.2388458
90.12231,-0.1929376,0.9289888,0.154053
94.56232,-0.2300506,0.9419403,0.1308844
98.74231,-0.2890801,0.9301701,0.2535852
101.9423,-0.2661099,0.9609794,0.2328694
105.6423,-0.2642594,0.9261668,0.2146465
112.9823,-0.170724,0.9204004,0.183813
117.6823,-0.2156646,0.9052704,0.2333411
121.7423,-0.3064202,0.912069,0.2285744
124.7623,-0.2285703,0.9258486,0.2084262
156.6823,-0.2681073,0.9406558,0.2038581
160.8823,-0.2853013,0.9128309,0.2308179
163.4423,-0.2348884,0.9181327,0.1910796
165.5005,-0.2702125,0.938207,0.173735
168.9223,-0.2158114,0.9172502,0.1978521
171.631,-0.2796006,0.9326999,0.2050104
174.8297,-0.2559135,0.9242623,0.1489042
180.6423,-0.2791075,0.9177975,0.2283192
182.6876,-0.2179165,0.9401657,0.1526156
186.1023,-0.2322481,0.9419762,0.1835685
204.5273,-0.2513025,0.9348358,0.1843841
208.5023,-0.2161348,0.9362182,0.2442655
211.3823,-0.2709464,0.9510058,0.2556897
213.9023,-0.2588159,0.9217467,0.1921268
216.6623,-0.2199452,0.9151219,0.2455707
219.5223,-0.2624256,0.9325765,0.2195929
223.2623,-0.2499629,0.9026366,0.2225118
226.7023,-0.2569604,0.9178395,0.1755257
230.2423,-0.250905,0.9283455,0.204521
233.1423,-0.2212987,0.9208031,0.193856
236.0223,-0.2662461,0.9224725,0.2082167
258.8023,-0.1796938,0.9390889,0.1183628
261.5223,-0.2467245,0.9311755,0.2115588
263.8892,-0.2276175,0.9394957,0.2114053
267.6306,0.1672466,0.9362339,-0.06558834
274.8623,-0.3396441,0.9473301,0.2268106
278.0623,-0.2055,0.9137287,0.1492096
280.9823,-0.2491993,0.9227178,0.2359141
291.3623,-0.2309514,0.9270988,0.2207679
294.2223,-0.2565086,0.9385646,0.2847768
297.1423,-0.2608228,0.9312366,0.218729
304.4823,-0.2783495,0.9337264,0.2007266
309.5023,-0.2101269,0.9202796,0.1909788
312.1223,-0.3115771,0.9256347,0.2448186
322.5223,-0.2473983,0.930419,0.1999409
324.9423,-0.208099,0.962545,0.2055906
327.2823,-0.26387,0.9162976,0.1979406
329.6423,-0.2829573,0.9274235,0.2577455
