Time, X, Y, Z
14.00232,-0.21907,0.86,0.2243486
17.64233,-0.2583417,0.86,0.2773283
21.00232,-0.2178982,0.86,0.2079099
23.98233,-0.2852775,0.86,0.1985925
27.30234,-0.2652571,0.86,0.2567422
29.66232,-0.225448,0.86,0.2306222
32.90231,-0.2732278,0.86,0.2469369
35.78232,-0.2151097,0.86,0.2210273
38.32233,-0.2167746,0.86,0.2712258
42.30234,-0.2133896,0.86,0.2100401
46.18231,-0.278511,0.86,0.1993568
49.14233,-0.2835481,0.86,0.2678119
53.26233,-0.2217937,0.86,0.2737527
56.52234,-0.2447255,0.86,0.2174522
61.48233,-0.2952865,0.86,0.2260803
65.00232,-0.2579892,0.86,0.1919385
69.32233,-0.2614692,0.86,0.2529997
72.86234,-0.2030816,0.86,0.2658651
78.86234,-0.2997437,0.86,0.2551388
82.84232,-0.2034636,0.86,0.1949777
86.76233,-0.2817813,0.86,0.2532928
90.12231,-0.2094563,0.86,0.1871687
94.56232,-0.2604451,0.86,0.2094957
98.74231,-0.298282,0.86,0.2770084
101.9423,-0.2507474,0.86,0.2172531
105.6423,-0.2890381,0.86,0.256839
112.9823,-0.2044803,0.86,0.1965453
117.6823,-0.2379059,0.86,0.257037
121.7423,-0.2834628,0.86,0.2107097
124.7623,-0.2247566,0.86,0.1949989
156.6823,-0.2993034,0.86,0.2292867
160.8823,-0.2698299,0.86,0.2714559
163.4423,-0.2255171,0.86,0.2075021
165.5005,-0.2918826,0.86,0.1934798
168.9223,-0.2102256,0.86,0.2157004
171.631,-0.2937245,0.86,0.260776
174.8297,-0.2504374,0.86,0.1863772
180.6423,-0.2842145,0.86,0.2427513
182.6876,-0.2438349,0.86,0.1806462
186.1023,-0.2285867,0.86,0.2337302
204.5273,-0.2610585,0.86,0.1968907
208.5023,-0.2156472,0.86,0.2498877
211.3823,-0.2610616,0.86,0.271231
213.9023,-0.2549333,0.86,0.1864412
216.6623,-0.2122024,0.86,0.2682742
219.5223,-0.250514,0.86,0.2193154
223.2623,-0.2613648,0.86,0.2793942
226.7023,-0.2416795,0.86,0.1885748
230.2423,-0.2472619,0.86,0.2535081
233.1423,-0.2243478,0.86,0.1818281
236.0223,-0.2690796,0.86,0.2247204
258.8023,-0.2293585,0.86,0.1802386
261.5223,-0.2746707,0.86,0.2296752
263.8892,-0.2240342,0.86,0.2412471
267.6306,-0.2650007,0.86,0.182195
274.8623,-0.2711835,0.86,0.2299128
278.0623,-0.2366913,0.86,0.1834784
280.9823,-0.2546737,0.86,0.2379595
291.3623,-0.2070076,0.86,0.2238076
294.2223,-0.2504066,0.86,0.2795554
297.1423,-0.2541149,0.86,0.2066077
304.4823,-0.2999089,0.86,0.2658508
309.5023,-0.2199348,0.86,0.2161186
312.1223,-0.2806307,0.86,0.2222092
322.5223,-0.2338159,0.86,0.1912177
324.9423,-0.2233924,0.86,0.2380133
327.2823,-0.2555779,0.86,0.1986155
329.6423,-0.2633296,0.86,0.2751132
