Time, X, Y, Z
0.002319336,-0.1438481,0.9011503,0.008024469
0.004241943,-0.1438492,0.9011577,0.00802353
0.01541138,-0.1438236,0.9011588,0.007907003
0.02233887,-0.1438187,0.9011106,0.007839456
0.0267334,-0.1438136,0.901067,0.007781118
0.03765869,-0.1437319,0.9009966,0.007771164
0.04232788,-0.1437214,0.901004,0.007780626
0.04864502,-0.14373,0.9010189,0.007795304
0.06018066,-0.1436946,0.9008263,0.007712081
0.06231689,-0.1436575,0.9007679,0.0076897
0.07077026,-0.143439,0.9005744,0.00767076
0.08200073,-0.1434399,0.9005108,0.007743746
0.08233643,-0.1434402,0.9005089,0.0077461
0.09317017,-0.1435345,0.9005072,0.007930264
0.1023254,-0.1434612,0.9004018,0.008059472
0.1042175,-0.1434478,0.9003816,0.008088142
0.1219482,-0.1434018,0.9003499,0.008354768
0.1223145,-0.1433732,0.9003381,0.00835523
0.1262817,-0.1433469,0.9003222,0.008446321
0.1376648,-0.1431966,0.9002507,0.008518457
0.142334,-0.1430816,0.9001996,0.008490756
0.1485901,-0.1429068,0.9001061,0.00843288
0.1600952,-0.1428731,0.9000216,0.008428916
0.162323,-0.1428897,0.9000157,0.008430317
0.1708374,-0.1430786,0.900039,0.008462846
0.1817322,-0.1431337,0.9001409,0.008552298
0.182312,-0.1431363,0.9001478,0.008557752
0.1931458,-0.1432329,0.900228,0.008633092
0.2023315,-0.1432177,0.90025,0.008641943
0.2043152,-0.1432121,0.9002562,0.00864321
0.2154236,-0.1431807,0.9002804,0.008648247
0.2223206,-0.1431522,0.9002259,0.008580789
0.2261658,-0.1431338,0.9001847,0.008530378
0.2373047,-0.1431975,0.900207,0.008546859
0.2423401,-0.1431798,0.9002235,0.008484498
0.2483826,-0.1430894,0.9002574,0.008352906
0.2597656,-0.1430414,0.9002315,0.008248314
0.2623291,-0.1430534,0.900223,0.00825116
0.2778931,-0.1432158,0.9002509,0.008434206
0.2823181,-0.1432393,0.9002621,0.008446887
0.2824707,-0.1432404,0.9002626,0.00844726
0.2933655,-0.1432157,0.9001819,0.008399025
0.3023376,-0.1432934,0.9002838,0.008583769
0.3041382,-0.1433116,0.9003218,0.008654207
0.3151855,-0.1432009,0.9002059,0.008664608
0.3223267,-0.1431425,0.9001504,0.008714184
0.3262939,-0.1431141,0.9001266,0.008764088
0.3374939,-0.143032,0.8998866,0.008904442
0.3423157,-0.1430485,0.8997272,0.008928582
0.3486328,-0.1431907,0.8994538,0.008990809
0.3595886,-0.1434292,0.8991917,0.009204477
0.3623352,-0.1434844,0.8991086,0.009266898
0.3707275,-0.1436263,0.898895,0.009668589
0.3819275,-0.1440002,0.8988895,0.01021051
0.3823242,-0.144016,0.8988904,0.01023223
0.3930969,-0.1444238,0.8991007,0.01073454
0.4023132,-0.1447092,0.8993455,0.01090311
0.4039917,-0.1447598,0.8993911,0.01092511
0.4152832,-0.1450373,0.8999438,0.01117036
0.4223328,-0.1451637,0.900328,0.01130277
0.4329834,-0.1452458,0.9008448,0.01127546
0.4375,-0.1451719,0.9008945,0.01111928
0.4423218,-0.14519,0.9010786,0.0110897
0.4484558,-0.1452466,0.9013157,0.01110655
0.4598694,-0.1451718,0.9015921,0.01097065
0.4623108,-0.1451417,0.9016311,0.01090211
0.4707336,-0.144978,0.9017357,0.01075123
0.4818726,-0.1449984,0.9019159,0.01062131
0.4823303,-0.1450008,0.9019245,0.01061559
0.4933472,-0.1451271,0.9021307,0.01047564
0.5023193,-0.1451146,0.9020164,0.0100497
0.5040894,-0.145108,0.9019854,0.009959802
0.5152893,-0.145163,0.9020231,0.009610847
0.5223389,-0.1452162,0.9021509,0.009423494
0.5262451,-0.1452551,0.9022652,0.009322271
0.5375061,-0.1454007,0.9024052,0.009105667
0.5423279,-0.1454381,0.9024433,0.008960128
0.5484619,-0.1454379,0.9025187,0.008791134
0.5594177,-0.1454473,0.9026278,0.008587092
0.5623169,-0.1454524,0.9026831,0.008570552
0.5706177,-0.1455557,0.9029952,0.008521125
0.5823364,-0.145716,0.9032136,0.008387059
0.5878296,-0.1458024,0.9032749,0.008300513
0.5926208,-0.1458295,0.9034256,0.00831607
0.6023254,-0.1458516,0.9035184,0.00829643
0.6039429,-0.1458385,0.9035087,0.008297086
0.6152039,-0.1456084,0.903383,0.008308515
0.6223145,-0.1453791,0.9032175,0.008302242
0.6260681,-0.1452159,0.9030886,0.008294299
0.6371155,-0.1447536,0.9026229,0.0081705
0.642334,-0.1444955,0.9023427,0.008163124
0.6483154,-0.1442494,0.9019064,0.008236796
0.6595154,-0.1439858,0.9013079,0.008173704
0.662323,-0.143922,0.9011472,0.008139729
0.6704407,-0.1439931,0.9009785,0.008299366
0.6817932,-0.14409,0.9008874,0.008532017
0.682312,-0.1440944,0.9008847,0.008544087
0.6929016,-0.1442122,0.9011474,0.009011462
0.7023315,-0.1445405,0.9015983,0.00938043
0.7037964,-0.1445922,0.9016724,0.009427145
0.7149963,-0.1447585,0.9020845,0.009593233
0.7223206,-0.1447647,0.9021798,0.009600267
0.7263794,-0.1446521,0.902128,0.009567797
0.7423401,-0.144255,0.9017516,0.009248257
0.7434998,-0.1442388,0.9017341,0.009235486
0.7481079,-0.1444416,0.9015973,0.008999333
0.7596436,-0.1445233,0.9011583,0.008407757
0.7623291,-0.1445181,0.9010447,0.00826335
0.7707825,-0.1445751,0.9008256,0.007907033
0.7817383,-0.1447104,0.9008225,0.007732421
0.7823181,-0.1447219,0.900825,0.007724032
0.7942505,-0.1446675,0.9008625,0.007476136
0.8023376,-0.1444775,0.9009602,0.007530794
0.8038635,-0.1444421,0.9009832,0.007551223
0.815094,-0.1442534,0.9013522,0.007790938
0.8223267,-0.1442614,0.9017347,0.008161813
0.8262939,-0.1444046,0.9021243,0.008476466
0.8373413,-0.144688,0.9026416,0.009008646
0.8423157,-0.1448201,0.9027703,0.009290144
0.8483887,-0.1449716,0.9026967,0.009352252
0.8595581,-0.1449927,0.9026271,0.009445831
0.8623352,-0.1449807,0.9026053,0.009496108
0.8704834,-0.1447535,0.902364,0.009699464
0.8815613,-0.1443038,0.9019797,0.009946287
