Time, X, Y, Z
0.002319336,0.09474228,0.9119478,0.003768414
0.004241943,0.09470928,0.9119737,0.003797129
0.01541138,0.09460741,0.9120773,0.003908202
0.02233887,0.09456304,0.9121394,0.004000112
0.0267334,0.09453867,0.9121913,0.004076093
0.03765869,0.0945297,0.9121855,0.004143268
0.04232788,0.09450535,0.9122282,0.004229963
0.04864502,0.0944517,0.9123056,0.004404902
0.06018066,0.09439544,0.9122692,0.004380912
0.06231689,0.09440922,0.9122395,0.004364803
0.07077026,0.09448391,0.9120399,0.004316688
0.08200073,0.09431207,0.9118196,0.004407406
0.08233643,0.09430601,0.9118122,0.004410759
0.09317017,0.09404636,0.9117716,0.004603907
0.1023254,0.09404432,0.9115874,0.004711404
0.1042175,0.09404326,0.9115498,0.004736483
0.1219482,0.09378065,0.9113791,0.005027846
0.1223145,0.09382206,0.9114103,0.004991576
0.1262817,0.09377264,0.9113932,0.005030885
0.1376648,0.09382652,0.91134,0.004969969
0.142334,0.09387302,0.9112712,0.00496985
0.1485901,0.09390647,0.9111274,0.00508526
0.1600952,0.09398164,0.9110799,0.005170241
0.162323,0.09398673,0.9110776,0.005184412
0.1708374,0.094126,0.9111451,0.005213678
0.1817322,0.09421015,0.9111359,0.005429029
0.182312,0.09421378,0.9111345,0.005443186
0.1931458,0.09418159,0.9111354,0.005548418
0.2023315,0.09423297,0.9111568,0.005505621
0.2043152,0.09424508,0.9111655,0.00549747
0.2154236,0.09433701,0.9112802,0.005548581
0.2223206,0.09441527,0.911319,0.005524606
0.2261658,0.09447004,0.9113456,0.005506337
0.2373047,0.0945658,0.911435,0.005523652
0.2423401,0.09465021,0.9115073,0.00549607
0.2483826,0.09480205,0.91166,0.005455211
0.2597656,0.09482253,0.911765,0.00535503
0.2623291,0.09479681,0.9117889,0.005353004
0.2778931,0.09439752,0.9118116,0.00561063
0.2823181,0.09427796,0.9117895,0.005695745
0.2824707,0.09427471,0.9117889,0.005697787
0.2933655,0.09397583,0.9119132,0.005980372
0.3023376,0.09355979,0.9120488,0.006351113
0.3041382,0.09343299,0.9120706,0.006464303
0.3151855,0.09326079,0.9122551,0.006692603
0.3223267,0.09312599,0.9123157,0.006839857
0.3262939,0.0930157,0.912285,0.006924391
0.3374939,0.09291272,0.912315,0.006923273
0.3423157,0.09286717,0.9123286,0.006847933
0.3486328,0.09279501,0.9124009,0.00669907
0.3595886,0.09285217,0.912938,0.006571352
0.3623352,0.09289466,0.9130936,0.006529272
0.3707275,0.09310367,0.9136342,0.00658156
0.3819275,0.09350958,0.9146308,0.006298393
0.3823242,0.09352814,0.9146721,0.006283194
0.3930969,0.0941702,0.9160485,0.005577579
0.4023132,0.094518,0.9171327,0.004607514
0.4039917,0.09456581,0.9173159,0.004427209
0.4152832,0.0946106,0.9183767,0.003244638
0.4223328,0.0945743,0.9191709,0.002517521
0.4329834,0.0945469,0.9205638,0.001306921
0.4375,0.09428929,0.9211172,0.0007832944
0.4423218,0.09408306,0.9218582,0.0002005696
0.4484558,0.09377757,0.9231106,-0.0008260608
0.4598694,0.09340767,0.9249583,-0.002210125
0.4623108,0.0933273,0.9253657,-0.002554417
0.4707336,0.09333248,0.9272155,-0.003858671
0.4818726,0.09331773,0.9291065,-0.005128756
0.4823303,0.0933176,0.9291893,-0.005183786
0.4933472,0.09332427,0.9314026,-0.006352141
0.5023193,0.0932126,0.9328232,-0.007110745
0.5040894,0.09317702,0.9331065,-0.00724709
0.5152893,0.09250285,0.934252,-0.008405849
0.5223389,0.09189458,0.9349206,-0.009437233
0.5262451,0.0914467,0.9353537,-0.01025915
0.5375061,0.09067459,0.9363714,-0.01192087
0.5423279,0.09037846,0.9368535,-0.0127611
0.5484619,0.08996686,0.9375744,-0.01403224
0.5594177,0.08958957,0.9386369,-0.01553778
0.5623169,0.08950455,0.9389637,-0.01592427
0.5706177,0.08904245,0.9400591,-0.01728147
0.5823364,0.08828396,0.9417242,-0.01918529
0.5878296,0.08789894,0.9425175,-0.02012587
0.5926208,0.08790279,0.9430943,-0.02090468
0.6023254,0.08748669,0.9445511,-0.02298939
0.6039429,0.08735279,0.9449541,-0.02361269
0.6152039,0.0865277,0.9464923,-0.02617633
0.6223145,0.08600617,0.9475134,-0.02781862
0.6260681,0.08574045,0.9482138,-0.02878729
0.6371155,0.08520004,0.9493665,-0.03086251
0.642334,0.08492728,0.9499635,-0.03198397
0.6483154,0.08469447,0.9507167,-0.03372295
0.6595154,0.08401456,0.9516621,-0.0362588
0.662323,0.08378267,0.9519173,-0.03697196
0.6704407,0.08264901,0.9525263,-0.03892055
0.6817932,0.08190277,0.9533724,-0.04095933
0.682312,0.08188037,0.9534199,-0.04106013
0.6929016,0.08138543,0.9546424,-0.04336528
0.7023315,0.08084361,0.9553478,-0.04518594
0.7037964,0.08076692,0.9554276,-0.04543872
0.7149963,0.07982776,0.9560468,-0.04757848
0.7223206,0.07900007,0.9563149,-0.0490721
0.7263794,0.07840193,0.9563756,-0.05012915
0.7423401,0.07663263,0.957417,-0.05317387
0.7434998,0.07654452,0.957478,-0.05331463
0.7481079,0.076176,0.9572699,-0.05386034
0.7596436,0.07466085,0.9573098,-0.05628036
0.7623291,0.07425454,0.9573342,-0.05692451
0.7707825,0.07290029,0.9575126,-0.0590955
0.7817383,0.07211674,0.9575908,-0.0609605
0.7823181,0.07209132,0.9575874,-0.06105818
0.7942505,0.07173649,0.9570495,-0.06414281
0.8023376,0.07149834,0.9567779,-0.06648459
0.8038635,0.07144547,0.9567456,-0.06692398
0.815094,0.0710091,0.9566331,-0.06973946
0.8223267,0.07073737,0.9565375,-0.07151204
0.8262939,0.07066225,0.9564732,-0.07273076
0.8373413,0.07044573,0.9563802,-0.07503703
0.8423157,0.07032151,0.9563314,-0.0760503
0.8483887,0.07028734,0.9562751,-0.07767969
0.8595581,0.0701986,0.9562816,-0.0802349
0.8623352,0.07015207,0.9562777,-0.08099273
0.8704834,0.07017166,0.9564074,-0.08350246
0.8815613,0.07029404,0.9564853,-0.08599788
0.8823242,0.07030326,0.9564856,-0.08617134
0.8994446,0.07035642,0.9564503,-0.09098358
0.9023132,0.0705277,0.9562848,-0.09155765
0.9039917,0.07057126,0.9562359,-0.09193563
0.9151611,0.07072414,0.9558987,-0.09399255
0.9223328,0.07078604,0.955767,-0.09531189
0.926178,0.07074644,0.9556924,-0.09631404
0.9372864,0.07068265,0.95541,-0.09865734
0.9423218,0.07066248,0.9552712,-0.09988498
0.9484253,0.07059611,0.9548046,-0.1012769
0.9595032,0.07052634,0.9540589,-0.1033685
0.9623108,0.07050432,0.953864,-0.103964
0.9706421,0.07052424,0.9533431,-0.1055371
0.9817505,0.07047038,0.9529501,-0.1071968
0.9823303,0.07046457,0.9529312,-0.1073009
0.9928589,0.07028316,0.9523506,-0.109428
1.002319,0.07007506,0.9518156,-0.1111161
1.003967,0.070184,0.9516674,-0.1113082
1.014954,0.07017013,0.9509959,-0.1129615
1.022339,0.07034272,0.9503392,-0.1141236
1.026215,0.07026305,0.9499326,-0.1147505
1.037445,0.07018642,0.9490349,-0.1161178
1.042328,0.07017326,0.9486091,-0.1167722
1.054413,0.0704416,0.9474172,-0.1183239
1.059296,0.07052708,0.94706,-0.1187772
1.062317,0.07057908,0.9466756,-0.1189605
1.070587,0.07085951,0.9455051,-0.1197273
1.081604,0.07104577,0.9442465,-0.1203301
1.082336,0.0710344,0.9442165,-0.1203038
1.092682,0.07132563,0.9427979,-0.1208771
1.102325,0.07171709,0.9416325,-0.1214291
1.103638,0.07204072,0.9415283,-0.1212974
1.114777,0.072926,0.9403365,-0.1215067
1.122314,0.07341457,0.9392922,-0.1217387
1.126221,0.07373944,0.9386996,-0.1220189
1.137177,0.0744319,0.9376009,-0.1225092
1.142334,0.07457802,0.9369513,-0.1230192
1.148468,0.07487062,0.9361678,-0.123522
1.159424,0.07532479,0.935155,-0.1241234
1.162323,0.07557382,0.9349416,-0.1243487
1.170654,0.07620899,0.9342763,-0.1247999
1.18161,0.07694162,0.9337243,-0.1250848
1.182312,0.07701065,0.9337575,-0.1251481
1.192871,0.07786447,0.9332751,-0.125634
1.202332,0.07850571,0.9329781,-0.125935
1.209991,0.07911845,0.9327719,-0.1262424
1.2146,0.07940838,0.9326743,-0.1263871
1.222321,0.07997196,0.9324679,-0.126498
1.226105,0.08031391,0.9323476,-0.1266438
1.23703,0.08093531,0.9321371,-0.1269266
1.24234,0.08139051,0.9317873,-0.1271012
1.248138,0.08179083,0.9315884,-0.1273042
1.259369,0.0823883,0.9312781,-0.1276816
1.262329,0.08263484,0.931269,-0.1278597
1.270386,0.08328003,0.9310958,-0.1283201
1.281616,0.08395883,0.9311742,-0.1286053
1.282318,0.08408124,0.9312271,-0.1286457
1.292725,0.08507057,0.9313087,-0.1290934
1.302338,0.08588212,0.930812,-0.1297644
1.30365,0.08603336,0.9308727,-0.1298625
1.31488,0.08692715,0.9306629,-0.1305043
1.322327,0.08751118,0.9306412,-0.1310459
1.325958,0.08789492,0.9305949,-0.1313828
1.337219,0.08864704,0.9302415,-0.1320868
1.342316,0.08894596,0.9302677,-0.1322053
1.348145,0.08943503,0.9302237,-0.1325098
1.362335,0.09063767,0.9303814,-0.1333204
1.365356,0.09087101,0.9304099,-0.1334883
1.370056,0.09117576,0.930447,-0.1337076
1.381378,0.0922679,0.9306005,-0.1338264
1.382324,0.09233534,0.9307851,-0.1339273
1.3927,0.09330589,0.9314194,-0.1344563
1.402313,0.09402396,0.9321079,-0.1350607
1.403839,0.09401008,0.9323708,-0.1350784
1.414673,0.09455916,0.9332851,-0.1355837
1.422333,0.09531871,0.9336609,-0.1352633
1.425873,0.09572597,0.9339642,-0.1352206
1.436859,0.09633315,0.9347141,-0.1353683
1.442322,0.09673829,0.9353026,-0.1353864
1.448944,0.09727939,0.9358175,-0.1356504
1.459198,0.09769572,0.9360852,-0.1359319
1.462311,0.09770416,0.9362292,-0.1361384
1.477112,0.09830833,0.9368833,-0.1369445
1.48233,0.09850404,0.9368042,-0.1370365
1.492004,0.09875216,0.9368269,-0.1372714
1.502319,0.09930923,0.9370565,-0.1375425
1.504883,0.09947175,0.9371789,-0.1375839
1.518829,0.1000554,0.9373206,-0.1378073
1.522339,0.1002192,0.9373131,-0.1379146
1.539703,0.1012618,0.9371254,-0.1386981
1.542328,0.1014528,0.9370708,-0.1388499
1.54425,0.1015769,0.9370352,-0.1389484
1.554993,0.1021247,0.937029,-0.1393206
1.562317,0.1024864,0.937058,-0.1394904
1.566132,0.1027033,0.9370443,-0.1396265
1.577423,0.1030489,0.9367123,-0.140078
1.582336,0.1032889,0.9365876,-0.140097
1.588318,0.1036424,0.9364215,-0.1400605
1.599335,0.1039047,0.9361868,-0.1400349
1.602325,0.1040356,0.9361281,-0.1400407
1.610596,0.1045397,0.9360045,-0.1400911
1.621582,0.105094,0.9359251,-0.1401217
1.622314,0.1051348,0.9359195,-0.1401254
1.63266,0.1056444,0.9359119,-0.1400859
1.642334,0.1061124,0.9357972,-0.1400266
1.64389,0.1061925,0.9357778,-0.1400174
1.65506,0.1064549,0.9356911,-0.1399608
1.662323,0.1066367,0.9356133,-0.139951
1.672455,0.1069954,0.9355783,-0.1398161
1.677155,0.1071338,0.9355913,-0.139751
1.682312,0.1073947,0.9355589,-0.1395769
1.688049,0.1077559,0.9354936,-0.1393111
1.699524,0.108097,0.9353203,-0.13885
1.702332,0.1082092,0.9352356,-0.1387504
1.710632,0.1086254,0.9349209,-0.1384722
1.721649,0.1091334,0.9345441,-0.1380998
1.722321,0.1091613,0.9345183,-0.1380752
1.732849,0.1094571,0.9340925,-0.1376001
1.74234,0.1096813,0.9338422,-0.1372959
1.743652,0.1097081,0.9338104,-0.1372578
1.754913,0.109789,0.9335287,-0.1370667
1.762329,0.1097394,0.9333913,-0.1369703
1.765991,0.1097031,0.9333074,-0.1369166
1.77713,0.1096715,0.9331748,-0.1367732
1.782318,0.1096762,0.9331411,-0.1367308
1.788422,0.109708,0.9331177,-0.1366923
1.799377,0.1098924,0.9331086,-0.1366317
1.802338,0.1099664,0.9331236,-0.1366022
1.81073,0.1102615,0.9332043,-0.1364504
1.822327,0.1106045,0.9332054,-0.1362734
1.828247,0.1108246,0.9331053,-0.1361457
1.832916,0.1109567,0.9330448,-0.1360689
1.842316,0.1113142,0.9329462,-0.135797
1.843689,0.1114048,0.9329208,-0.1357281
1.854584,0.1118264,0.9328285,-0.1355176
1.862335,0.1120483,0.9327984,-0.1351464
1.865997,0.1121563,0.9327765,-0.1348802
1.877136,0.1126821,0.9327601,-0.134384
1.882324,0.1129908,0.9327825,-0.1341472
1.88855,0.1134559,0.9328111,-0.1338198
1.899902,0.1140964,0.9330175,-0.1334597
1.902313,0.1142295,0.933087,-0.1333855
1.911255,0.1146776,0.9334835,-0.1330365
1.922302,0.1151408,0.933858,-0.1325396
1.922333,0.1151422,0.9338592,-0.1325378
1.933899,0.1153187,0.9343574,-0.1315245
1.942322,0.1154298,0.9348407,-0.130762
1.945038,0.1154637,0.935017,-0.1304861
1.956116,0.1158441,0.9359283,-0.1294414
1.962311,0.1162024,0.9364406,-0.1289599
1.967865,0.1165785,0.9369659,-0.128494
1.98233,0.1168028,0.9377878,-0.1272764
1.985779,0.1168932,0.9380938,-0.1268994
1.990234,0.1169793,0.9383832,-0.1265428
2.001648,0.1178504,0.9396317,-0.1254092
2.002319,0.1179031,0.9397117,-0.1253384
2.01297,0.1188761,0.9411759,-0.1241068
2.022339,0.119453,0.942611,-0.1231094
2.024353,0.1195708,0.9429137,-0.1228953
2.035614,0.1200503,0.9441294,-0.1218296
2.042328,0.1203531,0.9447725,-0.1208003
2.046936,0.1206095,0.9453126,-0.1199268
2.058167,0.1215619,0.9464087,-0.1183431
2.062317,0.1220939,0.9469839,-0.1179584
2.06955,0.1231207,0.9481205,-0.1171032
2.08075,0.1239041,0.9493399,-0.1163189
2.082336,0.123978,0.9494538,-0.116105
2.092163,0.1245971,0.9503807,-0.1147845
2.102325,0.1253561,0.9521799,-0.1133014
2.103333,0.1254412,0.9523742,-0.1131211
2.114319,0.1257624,0.9542466,-0.1117235
2.122314,0.1261486,0.9558299,-0.1099678
2.125854,0.1263675,0.9567712,-0.1089514
2.142334,0.128062,0.959331,-0.1062028
2.143036,0.128123,0.9593868,-0.1061444
2.147766,0.1285124,0.9597423,-0.1057722
2.158997,0.1289575,0.9610127,-0.1043449
2.162323,0.1293785,0.9614924,-0.1035834
2.169922,0.1303513,0.9626811,-0.1017488
2.181152,0.1310874,0.9638699,-0.1007602
2.182312,0.1311425,0.9640702,-0.1005865
2.19223,0.1317635,0.9658073,-0.09907559
2.202332,0.1325905,0.9679542,-0.09725261
2.203278,0.132666,0.9681501,-0.0970834
2.214355,0.1335411,0.9696262,-0.09557223
2.222321,0.1340521,0.9712206,-0.09403849
2.225525,0.1343262,0.9720538,-0.09323525
2.236694,0.1352792,0.973322,-0.09146675
2.24234,0.1358206,0.9740063,-0.09082039
2.247833,0.1364498,0.974806,-0.09004992
2.259033,0.1378485,0.9759901,-0.08843875
2.262329,0.1383167,0.9762552,-0.08803323
2.269958,0.1395437,0.9769857,-0.08693962
2.281036,0.1406333,0.9781578,-0.08592181
2.282318,0.1407816,0.9783913,-0.08576806
2.299164,0.1429963,0.981025,-0.08381817
2.302338,0.1434228,0.9813866,-0.08351581
2.303467,0.1436064,0.9815434,-0.08337498
2.314209,0.1444269,0.9828016,-0.08258563
2.322327,0.1451177,0.9837136,-0.08179924
2.3255,0.1454696,0.9841805,-0.08139582
2.336578,0.1462353,0.9856622,-0.08057103
2.342316,0.1467652,0.9864171,-0.0800228
2.347687,0.1473723,0.9872645,-0.07940412
2.358917,0.1480619,0.9881442,-0.07875039
2.362335,0.1483205,0.9883623,-0.07848661
2.369873,0.1489656,0.9888927,-0.07783739
2.381073,0.1498191,0.9894944,-0.07728036
2.382324,0.1498997,0.9895627,-0.07722579
2.392487,0.1505334,0.9901608,-0.07678466
2.402313,0.1509794,0.9907452,-0.07657395
2.403198,0.1510187,0.9907918,-0.0765571
2.414246,0.1516818,0.9914823,-0.07652718
2.422333,0.1519972,0.9917239,-0.07663313
2.425659,0.15217,0.9918519,-0.07669252
2.436401,0.1528046,0.9921407,-0.07685666
2.442322,0.1530189,0.9921334,-0.07692447
2.453949,0.1532406,0.9920934,-0.07712854
2.458405,0.1532585,0.9920868,-0.07719974
2.462311,0.153263,0.9920799,-0.07735792
