Time, X, Y, Z
0,-0.1351839,0.903735,0.08523089
0,-0.2628224,0.9123892,0.187756
0,-0.2727355,0.9114211,0.183402
0,-0.3053755,0.910872,0.2645831
0,-0.2424161,0.9124383,0.1774128
0,-0.2737207,0.9288975,0.2626733
0,-0.2656624,0.9320388,0.2140619
0,-0.1898926,0.9385986,0.3195188
0,-0.2276593,0.8919359,0.163081
0,-0.2059065,0.9319086,0.2486122
0,-0.2627882,0.8649623,0.1931821
0,-0.2122761,0.8892345,0.2389091
0,0.3059212,0.9025831,0.2323501
0,0.2085331,0.9098163,0.3102729
0,-0.1310528,0.9167171,0.2695443
0,-0.1607276,0.9084736,0.2372255
0,-0.1964554,0.9058464,0.2627117
0,-0.2642475,0.8990808,0.2635785
0,-0.1008453,0.888629,0.1064662
0,-0.2158841,0.9178105,0.1372842
0,-0.2508277,0.9395332,0.2365655
0,-0.2724225,0.9263529,0.2318805
0,-0.2868431,0.9272779,0.2487659
0,-0.3550891,0.9258938,0.2139408
22.30328,-0.1428935,0.9029803,0.1653315
24.52328,-0.3181458,0.8935654,0.2468271
61.08328,-0.2305313,0.9027291,0.166125
69.26331,-0.2619979,0.9201207,0.3031748
72.4433,-0.2921375,0.9318976,0.2438021
92.18329,-0.2539699,0.9024737,0.1056253
97.84329,-0.2008451,0.8731859,0.2320048
107.2433,-0.2898409,0.8976672,0.1965122
110.3033,-0.2446347,0.91129,0.2937939
120.3033,-0.2119321,0.8981732,0.1843865
