Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.2752416,0.86,0.2576737
0,-0.2806972,0.86,0.2075373
0,-0.2770164,0.86,0.2727378
0,-0.2304783,0.86,0.2071944
0,-0.2615186,0.86,0.2524659
0,-0.2323775,0.86,0.1985026
0,-0.2822619,0.86,0.2081052
0,-0.2101161,0.86,0.1863198
0,-0.2155703,0.86,0.2636491
0,-0.2478678,0.86,0.1835494
0,-0.2058468,0.86,0.2489543
0,-0.246381,0.86,0.2305618
0,-0.15,0.86,0.2
0,-0.2018248,0.86,0.2269956
0,-0.2788776,0.86,0.2590015
0,-0.2218532,0.86,0.2756269
0,-0.2845401,0.86,0.2046422
0,-0.2438463,0.86,0.2491006
0,-0.2911479,0.86,0.2028988
0,-0.2312976,0.86,0.2279191
0,-0.2982844,0.86,0.2161306
22.30328,-0.15,0.86,0.2
24.52328,-0.2755857,0.86,0.263868
61.08328,-0.2417668,0.86,0.1993804
69.26331,-0.2609488,0.86,0.2714689
72.4433,-0.2821653,0.86,0.204819
92.18329,-0.2797666,0.86,0.2573153
97.84329,-0.228057,0.86,0.2429836
107.2433,-0.2721665,0.86,0.212184
110.3033,-0.2158012,0.86,0.2481076
120.3033,-0.2630916,0.86,0.2199328
