Time, X, Y, Z
0.003295898,-0.2203045,1.110082,-0.0531977
0.00579834,-0.2201015,1.110047,-0.05322367
0.01690674,-0.2196767,1.110036,-0.05326027
0.02328491,-0.2194205,1.110037,-0.05331075
0.02807617,-0.219194,1.110025,-0.05338994
0.03909302,-0.218968,1.110071,-0.05329239
0.04330444,-0.2189414,1.110089,-0.05319206
0.05053711,-0.2190442,1.110067,-0.05296771
0.06134033,-0.2190305,1.110137,-0.05278459
0.06329346,-0.2190308,1.110146,-0.05274859
0.07254028,-0.2190576,1.110245,-0.05263948
0.08328247,-0.2189499,1.110218,-0.05261466
0.08374023,-0.2189413,1.110215,-0.05261394
0.09466553,-0.2186916,1.110106,-0.05269562
0.103302,-0.2185101,1.109786,-0.05284858
0.105835,-0.2184564,1.109659,-0.05289443
0.1171875,-0.2182621,1.109271,-0.05315223
0.123291,-0.2182456,1.109218,-0.05327468
0.1278687,-0.2183241,1.109267,-0.05331679
0.1388855,-0.2185837,1.109395,-0.05331025
0.1433105,-0.2187026,1.109493,-0.05331244
0.1503906,-0.2189369,1.109621,-0.05334337
0.1612854,-0.2193581,1.109826,-0.0532856
0.1632996,-0.2194536,1.10989,-0.05324095
0.1724548,-0.2197254,1.110094,-0.05316448
0.1832886,-0.2198593,1.110181,-0.0533261
0.1837463,-0.2198646,1.110179,-0.05334002
0.1946106,-0.2200294,1.110189,-0.05351056
0.2033081,-0.2200875,1.110186,-0.05364574
0.205658,-0.2201148,1.110208,-0.05367493
0.2167664,-0.2202616,1.110211,-0.0537889
0.2232971,-0.2203336,1.110198,-0.05387434
0.2279663,-0.2204283,1.110206,-0.05389297
0.2391663,-0.2206507,1.110256,-0.05396532
0.2432861,-0.2207426,1.110301,-0.0539839
0.2506104,-0.2208501,1.110414,-0.05403714
0.2614136,-0.2208226,1.110628,-0.0541575
0.2633057,-0.2208086,1.110693,-0.05415386
0.272522,-0.2208134,1.111056,-0.0540387
0.2832947,-0.2207901,1.111447,-0.05410029
0.2839966,-0.2207854,1.111482,-0.0540975
0.2948608,-0.2207804,1.111816,-0.05404255
0.3032837,-0.2207425,1.11197,-0.05402805
0.3057556,-0.2207071,1.112013,-0.05402727
0.3169861,-0.2206106,1.112095,-0.05401487
0.3233032,-0.2206127,1.112184,-0.05403094
0.3279114,-0.2206451,1.112247,-0.05403131
0.3390808,-0.2206634,1.112218,-0.05404284
0.3432922,-0.2207072,1.112169,-0.05402864
0.3501587,-0.2207697,1.112018,-0.05397194
0.3615112,-0.2206742,1.111855,-0.05394362
0.3632813,-0.2206571,1.111819,-0.05393754
0.3721619,-0.2206714,1.111653,-0.05381188
0.3833008,-0.2206676,1.111456,-0.053624
0.3834839,-0.2206681,1.111453,-0.05362066
0.3946228,-0.2207041,1.111315,-0.05339889
0.4032898,-0.220793,1.111303,-0.05331191
0.4057617,-0.2208425,1.111303,-0.05328168
0.4171753,-0.2210307,1.111285,-0.05318129
0.4233093,-0.2210761,1.111269,-0.05321267
0.4279785,-0.2210451,1.111279,-0.05325723
0.4389038,-0.2209873,1.1113,-0.05334991
0.4432983,-0.2209974,1.111298,-0.05341893
0.4501953,-0.2210129,1.111291,-0.05352873
0.4612122,-0.2209063,1.111317,-0.05369705
0.4632874,-0.2208918,1.111325,-0.05371736
0.4723206,-0.2209422,1.111356,-0.05372137
0.4833069,-0.2209502,1.111448,-0.05373248
0.4836121,-0.2209488,1.111448,-0.05373718
0.4944458,-0.2209088,1.111438,-0.05388172
0.5032959,-0.2209783,1.111369,-0.05402215
0.5055542,-0.2210102,1.111341,-0.05406135
0.5169678,-0.2210996,1.111295,-0.05412431
0.5232849,-0.2211404,1.111323,-0.05422153
0.527832,-0.2211175,1.111391,-0.05428903
0.539032,-0.2211193,1.111565,-0.05435035
0.5433044,-0.2210589,1.111594,-0.05436575
0.5500793,-0.2209411,1.111704,-0.05437816
0.5610962,-0.2207811,1.111863,-0.05448132
0.5632935,-0.2208052,1.111848,-0.05447305
0.5722351,-0.2207649,1.111994,-0.05448988
0.5832825,-0.2206249,1.112219,-0.05461408
0.5833435,-0.220678,1.1121,-0.05460139
0.5943909,-0.2206535,1.112174,-0.05457256
0.603302,-0.2206761,1.11223,-0.05440198
0.6055298,-0.2207591,1.112164,-0.05440012
0.6170654,-0.2208817,1.112236,-0.0542326
0.623291,-0.220937,1.112295,-0.05417546
0.6280212,-0.2209933,1.112371,-0.05415934
0.6388855,-0.2211639,1.112468,-0.05413147
0.6433105,-0.2211743,1.112474,-0.05415183
0.6501465,-0.2212242,1.1125,-0.05419096
0.6610718,-0.2213019,1.112548,-0.05423081
0.6632996,-0.2213378,1.112538,-0.05419568
0.6722412,-0.2213363,1.112432,-0.0542907
0.6832886,-0.2212686,1.112185,-0.0544631
0.6835022,-0.2212633,1.112247,-0.05434853
0.694519,-0.2211956,1.111964,-0.05438913
0.7033081,-0.2210236,1.111645,-0.05451289
0.7054749,-0.2209943,1.111624,-0.05449206
0.7167358,-0.2208747,1.111299,-0.05461448
0.7232971,-0.2206857,1.111175,-0.05477755
0.7276917,-0.2205571,1.110975,-0.05490307
0.7389221,-0.2204977,1.110703,-0.0548632
0.7432861,-0.2204235,1.110637,-0.05470099
0.7501526,-0.220287,1.110468,-0.05452627
0.7610168,-0.220548,1.110132,-0.05427843
0.7633057,-0.2204742,1.110057,-0.05433987
0.7722168,-0.2204146,1.109844,-0.05425975
0.7832947,-0.220403,1.109744,-0.05412129
0.7834778,-0.2203153,1.109632,-0.05418566
0.7944946,-0.220152,1.109246,-0.0541822
0.8032837,-0.219686,1.109245,-0.05430579
0.8054504,-0.2195621,1.109192,-0.05434844
0.8168945,-0.2192145,1.109134,-0.05438448
0.8233032,-0.2195414,1.109302,-0.05391602
0.8278809,-0.2196122,1.109347,-0.05367163
0.8388672,-0.2196248,1.109141,-0.0535987
0.8432922,-0.2195769,1.10912,-0.05358551
0.8500366,-0.2195556,1.109015,-0.05350222
0.8609009,-0.2194687,1.108884,-0.05332485
0.8632813,-0.2194012,1.1087,-0.05334112
0.8721313,-0.2192521,1.108237,-0.05341621
0.8833008,-0.2198059,1.107646,-0.05313239
0.8834229,-0.2198112,1.107634,-0.05313067
0.8942261,-0.2195643,1.107413,-0.05313827
0.9032898,-0.219331,1.107261,-0.05320199
0.9054871,-0.2192727,1.107165,-0.05322765
0.9166565,-0.2190095,1.106959,-0.05288108
0.9233093,-0.2188436,1.106473,-0.05285002
0.9275513,-0.2187311,1.106137,-0.05281696
0.9385376,-0.2187241,1.105698,-0.0528354
0.9432983,-0.2183206,1.105577,-0.05307254
0.9500122,-0.2179409,1.105191,-0.05336085
0.960907,-0.2179183,1.104621,-0.05328663
0.9632874,-0.2177551,1.104417,-0.05347882
0.9720459,-0.2174076,1.103684,-0.05389532
0.9833069,-0.2170949,1.103328,-0.05370128
0.9833069,-0.2170939,1.103327,-0.05370113
0.9941711,-0.2168665,1.103599,-0.05357982
1.003296,-0.2167332,1.103452,-0.05319294
1.005341,-0.2166789,1.103423,-0.05308212
1.016571,-0.2160252,1.102822,-0.05328925
1.023285,-0.2158906,1.102542,-0.05329739
1.027557,-0.2157439,1.102338,-0.05327372
1.038696,-0.2155988,1.103094,-0.05277853
1.043304,-0.2154986,1.103332,-0.05248435
1.049957,-0.2153444,1.103757,-0.05198257
1.061066,-0.2155363,1.103845,-0.05140284
1.063293,-0.2154667,1.10382,-0.05145256
1.072083,-0.2152783,1.10414,-0.0509852
1.083282,-0.2149755,1.104624,-0.05081856
1.083282,-0.2149396,1.104565,-0.05086949
1.094116,-0.2143815,1.105119,-0.05054919
1.103302,-0.2140699,1.105147,-0.05051672
1.105652,-0.2139805,1.105209,-0.05048674
1.116547,-0.2136418,1.105303,-0.05046783
1.123291,-0.2136203,1.105459,-0.05028808
1.127533,-0.2135408,1.105599,-0.05015597
1.13858,-0.2130811,1.105988,-0.0500432
1.143311,-0.2128079,1.106059,-0.05013566
1.149872,-0.212407,1.106283,-0.05013002
1.160828,-0.2121283,1.10648,-0.05005208
1.1633,-0.2120598,1.106572,-0.05004163
1.171875,-0.2117482,1.106906,-0.04994099
1.183014,-0.2116657,1.107183,-0.04981244
1.183289,-0.2116468,1.10721,-0.04983905
1.194214,-0.2112934,1.10755,-0.04996333
1.203308,-0.2110276,1.107835,-0.05008924
1.2052,-0.2109741,1.107887,-0.05011979
1.216705,-0.2106745,1.107947,-0.05024427
1.223297,-0.2105851,1.108149,-0.05020422
1.227356,-0.2104887,1.108298,-0.05018327
1.238647,-0.2101405,1.10859,-0.05019431
1.243286,-0.2099905,1.108838,-0.05022757
1.249908,-0.2097927,1.109251,-0.05023296
1.260803,-0.209482,1.109802,-0.05027735
1.263306,-0.2094313,1.10997,-0.0502838
1.271912,-0.2092149,1.110546,-0.05034077
1.283295,-0.2088653,1.110987,-0.05037056
1.283356,-0.2088675,1.110982,-0.05036961
1.294281,-0.2087032,1.111245,-0.05054906
1.303284,-0.2084674,1.111532,-0.05068329
1.305359,-0.208395,1.111633,-0.05071712
1.316437,-0.2079687,1.111903,-0.0508662
1.323303,-0.2078123,1.112075,-0.05099046
1.327393,-0.2076893,1.112215,-0.05107957
1.338531,-0.2074026,1.112407,-0.05133626
1.343292,-0.2073566,1.112456,-0.05137916
1.350067,-0.2072506,1.112553,-0.05147366
1.360596,-0.207147,1.112475,-0.05165008
1.363281,-0.2070914,1.11242,-0.05169879
1.371857,-0.2069141,1.112283,-0.05186312
1.383209,-0.2066259,1.112239,-0.05206263
1.383301,-0.2066251,1.112264,-0.05203913
1.394623,-0.2062932,1.112398,-0.05216774
1.40329,-0.206267,1.112671,-0.05204722
1.405212,-0.2062511,1.112719,-0.05203427
1.41629,-0.2061494,1.112741,-0.05212696
1.423309,-0.2061553,1.112701,-0.05212228
1.427277,-0.2061526,1.112684,-0.0521135
1.438477,-0.2060162,1.112578,-0.05223806
1.443298,-0.2059991,1.112581,-0.05225891
1.44986,-0.2059596,1.112564,-0.05231324
1.460754,-0.2059921,1.112493,-0.05237162
1.463287,-0.2059981,1.112514,-0.05232923
1.471802,-0.2060068,1.112575,-0.05224024
1.482941,-0.205902,1.112562,-0.05225712
1.483307,-0.2059073,1.112547,-0.05228011
1.494049,-0.2058426,1.112519,-0.05236413
1.503296,-0.2057761,1.112379,-0.05250838
1.505096,-0.2057637,1.112357,-0.05253211
1.51651,-0.2056251,1.112641,-0.05257326
1.523285,-0.2056554,1.112651,-0.05255604
1.527191,-0.2056624,1.112667,-0.05255258
1.538452,-0.2057865,1.11256,-0.05242434
1.543304,-0.2057698,1.112517,-0.05247436
1.549805,-0.2057654,1.11242,-0.05254164
1.560608,-0.2058542,1.112423,-0.05252279
1.563293,-0.205816,1.112393,-0.05255352
1.571777,-0.2056999,1.112269,-0.05265124
1.58316,-0.2057367,1.112225,-0.05266236
1.583282,-0.2057353,1.112232,-0.05267693
1.593872,-0.205711,1.112158,-0.05288658
1.603302,-0.2056478,1.112061,-0.05313255
1.605194,-0.2056342,1.11204,-0.05318157
1.616455,-0.2054771,1.112059,-0.0533902
1.623291,-0.2053374,1.112089,-0.05356039
1.62735,-0.205243,1.112104,-0.05368474
1.638367,-0.2051763,1.112095,-0.05389458
1.643311,-0.205116,1.111988,-0.05402167
1.649841,-0.2050219,1.11183,-0.0542127
1.660736,-0.2050682,1.111752,-0.0542967
1.6633,-0.2050534,1.111719,-0.05434389
1.671692,-0.2050028,1.111583,-0.05451258
1.682831,-0.2049726,1.111472,-0.05473807
1.683289,-0.2049775,1.111473,-0.05473793
1.693939,-0.2050482,1.111421,-0.05481511
1.703308,-0.2051094,1.111368,-0.05485539
1.704956,-0.2051202,1.11136,-0.0548618
1.716431,-0.2051424,1.111378,-0.05486737
1.723297,-0.2052386,1.111532,-0.05480455
1.727173,-0.2053057,1.111632,-0.05476384
1.738312,-0.2053716,1.111849,-0.05474222
1.743286,-0.2053922,1.111893,-0.05473801
1.749664,-0.2054112,1.111974,-0.05472837
1.76062,-0.2054635,1.112254,-0.05465165
1.763306,-0.2054863,1.112303,-0.05462791
1.771637,-0.2055625,1.112469,-0.05454125
1.783295,-0.2055391,1.112404,-0.05452038
1.783356,-0.2055396,1.112404,-0.05452083
1.794159,-0.2056306,1.112318,-0.05454613
1.803284,-0.2057463,1.112333,-0.05440198
1.804901,-0.2057761,1.112338,-0.05436206
1.816223,-0.2058395,1.112214,-0.05430549
1.823303,-0.2059671,1.112248,-0.05419059
1.827118,-0.2060537,1.112274,-0.05410986
1.838318,-0.2062391,1.112184,-0.05394979
1.843292,-0.2063155,1.112173,-0.05394499
1.849518,-0.2064255,1.112158,-0.05394097
1.860443,-0.2063497,1.112009,-0.05399747
1.863281,-0.2063008,1.111976,-0.05402952
1.871643,-0.2061359,1.111869,-0.05414048
1.883087,-0.2059524,1.111851,-0.05424984
1.883301,-0.2059495,1.111851,-0.05425073
1.893799,-0.2057188,1.111817,-0.05426674
1.90329,-0.2057167,1.111675,-0.05422623
1.904999,-0.2057119,1.111651,-0.05422065
1.916168,-0.2056068,1.111597,-0.05427448
1.923309,-0.2056211,1.11157,-0.05425234
1.927094,-0.205631,1.111551,-0.05423951
1.938324,-0.2055875,1.11161,-0.05417958
1.943298,-0.2056199,1.111589,-0.05413809
1.949493,-0.2056745,1.111551,-0.05407569
1.960693,-0.2056837,1.111509,-0.05403475
1.963287,-0.2057139,1.111472,-0.05403091
1.971588,-0.2058354,1.11133,-0.05402045
1.98291,-0.2059285,1.111193,-0.05396107
1.983307,-0.2059319,1.111188,-0.05395849
1.99411,-0.2059573,1.111134,-0.05375689
2.003296,-0.2059086,1.111125,-0.05367681
2.004974,-0.2059018,1.111121,-0.05366172
2.016541,-0.2059022,1.111059,-0.05351569
2.023285,-0.2058267,1.110979,-0.05350855
2.027252,-0.2057729,1.110917,-0.05350754
2.038269,-0.2058498,1.110771,-0.05343656
2.043304,-0.2058402,1.110727,-0.05341384
2.049438,-0.2058191,1.110668,-0.05338652
2.060455,-0.205808,1.110608,-0.05332099
2.063293,-0.2057894,1.110612,-0.05330758
2.071716,-0.2057141,1.110652,-0.05326706
2.082947,-0.2056781,1.110739,-0.05318242
2.083282,-0.2056766,1.110743,-0.05317961
2.094116,-0.205629,1.11078,-0.05310567
2.103302,-0.205585,1.110859,-0.05301233
2.104919,-0.2055827,1.110873,-0.05299771
2.116211,-0.2056341,1.110972,-0.05296315
2.123291,-0.2055517,1.110978,-0.05301636
2.127228,-0.205492,1.110973,-0.05306144
2.138184,-0.2054495,1.110895,-0.05318932
2.143311,-0.2054391,1.11089,-0.05320913
2.149506,-0.205431,1.1109,-0.05321747
2.160339,-0.2054801,1.11102,-0.05307332
2.1633,-0.2054824,1.111087,-0.05301423
2.171661,-0.2054886,1.111338,-0.0528148
2.182861,-0.2055244,1.111598,-0.05266206
2.183289,-0.2055254,1.111609,-0.05265564
2.193665,-0.205464,1.111783,-0.05258323
2.203308,-0.2055596,1.111887,-0.05248831
2.204803,-0.205574,1.111904,-0.05247688
2.216248,-0.2056321,1.111941,-0.05251545
2.223297,-0.2056304,1.111872,-0.05245151
2.22702,-0.2056324,1.111819,-0.05240864
2.238129,-0.205529,1.111745,-0.05244446
2.243286,-0.2054718,1.111728,-0.0524424
2.249603,-0.2053886,1.111717,-0.05243613
2.260437,-0.2052204,1.111657,-0.05250533
2.263306,-0.2051844,1.111664,-0.05251065
2.271515,-0.2050714,1.111705,-0.05249521
2.282867,-0.2049864,1.111641,-0.05246517
2.283295,-0.2049843,1.111639,-0.05246395
2.293762,-0.2049092,1.111589,-0.05251707
2.303284,-0.2048366,1.111604,-0.05256741
2.304871,-0.2048241,1.111605,-0.05257809
2.315979,-0.2047541,1.11164,-0.05262092
2.323303,-0.2047217,1.11166,-0.05261943
2.327148,-0.2047033,1.111673,-0.05261946
2.338074,-0.2046972,1.111627,-0.05274214
2.343292,-0.2046777,1.111621,-0.05276097
2.349426,-0.2046547,1.11162,-0.0527759
2.360352,-0.2045725,1.111642,-0.05283751
2.363281,-0.2045449,1.111645,-0.05286193
2.371368,-0.2044538,1.111593,-0.05295224
2.382477,-0.2044241,1.111608,-0.05296594
2.383301,-0.2044197,1.11161,-0.05296697
2.393616,-0.2043404,1.111615,-0.0529795
2.40329,-0.2043119,1.111688,-0.05289112
2.404877,-0.2043063,1.111702,-0.0528751
2.416046,-0.2042222,1.111795,-0.05278498
2.423309,-0.2041045,1.111825,-0.05282032
2.42691,-0.2040212,1.111826,-0.05285943
2.437988,-0.2039148,1.111661,-0.05297413
2.443298,-0.2038543,1.111633,-0.05301325
2.449188,-0.2037666,1.111635,-0.05305426
2.460205,-0.2036579,1.111634,-0.05312279
2.463287,-0.2036321,1.111635,-0.05312137
2.471588,-0.203545,1.111657,-0.0530808
2.482483,-0.2034533,1.111633,-0.05311544
2.483307,-0.2034494,1.111632,-0.05311801
2.493774,-0.2034252,1.111597,-0.05311394
2.503296,-0.2034813,1.111642,-0.05302067
2.504669,-0.203494,1.111648,-0.05300984
2.515808,-0.2037051,1.111723,-0.05294253
2.523285,-0.2037592,1.111778,-0.05290975
2.526978,-0.2037755,1.111814,-0.05289283
2.537994,-0.2038073,1.111842,-0.05291432
2.543304,-0.2038358,1.111846,-0.05287218
2.549255,-0.2038912,1.111858,-0.05278425
2.560303,-0.2039639,1.11189,-0.05273513
2.563293,-0.2040098,1.111909,-0.0527084
2.571411,-0.2041316,1.112006,-0.0526357
2.582703,-0.2043028,1.112031,-0.05249235
2.583282,-0.2043134,1.112033,-0.05248572
2.593536,-0.2044836,1.112146,-0.05238432
2.603302,-0.2045344,1.112339,-0.05233583
2.604645,-0.2045383,1.112366,-0.05233228
2.615784,-0.2045343,1.112538,-0.052404
2.623291,-0.2045324,1.112629,-0.05253053
2.627441,-0.2045564,1.112685,-0.05265315
2.638062,-0.2045614,1.112643,-0.05290809
2.643311,-0.2045262,1.112663,-0.05298433
2.649231,-0.2045003,1.112819,-0.05293643
2.660309,-0.2045642,1.112937,-0.05292697
2.6633,-0.2045584,1.112971,-0.05293523
2.671356,-0.2044805,1.113006,-0.05298364
2.682404,-0.2045918,1.113133,-0.05297235
2.683289,-0.2045998,1.113146,-0.05297241
2.693359,-0.2046569,1.113304,-0.05307284
2.703308,-0.2047162,1.113431,-0.0531802
2.704559,-0.204723,1.113446,-0.05319777
2.715851,-0.2046977,1.113498,-0.05329479
2.723297,-0.2046596,1.113573,-0.05338855
2.726746,-0.2046269,1.113616,-0.05345435
2.737946,-0.2045419,1.113656,-0.05369756
2.743286,-0.2045044,1.113697,-0.05377306
2.748962,-0.2045089,1.113805,-0.05379875
2.760101,-0.2045207,1.113986,-0.0538684
2.763306,-0.2045075,1.11403,-0.05388664
2.77121,-0.2045703,1.114104,-0.05392009
2.782379,-0.2047151,1.114275,-0.05394587
2.783295,-0.2047284,1.114292,-0.05394921
2.793396,-0.2048133,1.114229,-0.05415069
2.803284,-0.2048183,1.114156,-0.05434033
2.804474,-0.2048203,1.11415,-0.0543533
2.815918,-0.2047311,1.114036,-0.05445711
2.823303,-0.2046854,1.113928,-0.05460051
2.826782,-0.2046438,1.113872,-0.05470546
2.837891,-0.2045649,1.113798,-0.05493519
2.843292,-0.2045435,1.113739,-0.05502327
2.84906,-0.2045645,1.113684,-0.05515283
2.860291,-0.2045985,1.113603,-0.05533424
2.863281,-0.204607,1.113602,-0.05537143
2.871277,-0.2046339,1.113577,-0.05552422
2.882416,-0.2046402,1.113495,-0.05572981
2.883301,-0.2046372,1.113487,-0.0557469
2.893494,-0.2045989,1.113367,-0.05599955
2.90329,-0.2045838,1.113267,-0.05616623
2.90451,-0.2045794,1.113256,-0.05617876
2.915802,-0.2044856,1.113185,-0.05626637
2.923309,-0.2044329,1.113101,-0.05638219
2.926819,-0.2044143,1.113058,-0.05643645
2.937866,-0.2043401,1.113076,-0.05659515
2.943298,-0.2042867,1.113094,-0.05668001
2.948975,-0.2042275,1.113118,-0.05674541
2.960175,-0.2043461,1.113239,-0.05677165
2.963287,-0.2044007,1.113288,-0.05676194
2.971161,-0.2046035,1.113505,-0.05663551
2.982361,-0.204836,1.113748,-0.05647342
2.983307,-0.2048578,1.113766,-0.05646271
2.993469,-0.2050749,1.113948,-0.0563744
3.003296,-0.2052582,1.114103,-0.05629879
3.004456,-0.2052806,1.114121,-0.05629046
3.015625,-0.2054784,1.114178,-0.05625847
3.023285,-0.205604,1.114157,-0.056254
3.026672,-0.2056464,1.114138,-0.05628487
3.037872,-0.2057336,1.114125,-0.05636381
3.043304,-0.2057364,1.114157,-0.0564096
3.049011,-0.2057257,1.11417,-0.05647144
3.060211,-0.2057421,1.114258,-0.05656482
3.063293,-0.2057217,1.114255,-0.05657171
3.071106,-0.2056574,1.114318,-0.05654897
3.082397,-0.2055655,1.114401,-0.05648129
3.083282,-0.2055594,1.114399,-0.05648412
3.093201,-0.2054835,1.114356,-0.05656241
3.103302,-0.2053413,1.114336,-0.05666775
3.104553,-0.2053184,1.11433,-0.05668411
3.115662,-0.2051501,1.114325,-0.05677491
3.123291,-0.2050291,1.114334,-0.05677243
3.12674,-0.2049938,1.114346,-0.05681111
3.13797,-0.2048753,1.114323,-0.05693595
3.143311,-0.2048027,1.114309,-0.05697572
3.148926,-0.2047216,1.11433,-0.05702493
3.159973,-0.2045534,1.114328,-0.05710824
3.1633,-0.2044945,1.114296,-0.05714461
3.171082,-0.2044012,1.114183,-0.05720983
3.182312,-0.2042935,1.114174,-0.05721614
3.183289,-0.2042814,1.114182,-0.05722027
3.193268,-0.204192,1.114287,-0.05723603
3.203308,-0.2041885,1.114445,-0.05712232
3.204407,-0.204195,1.114468,-0.0571005
3.215546,-0.2042425,1.114635,-0.05695382
3.223297,-0.2042802,1.114816,-0.05683307
3.226563,-0.2043761,1.114815,-0.05670488
3.237793,-0.2046175,1.114945,-0.05643165
3.243286,-0.2047531,1.114989,-0.0563416
3.248932,-0.2048866,1.115042,-0.05627446
3.259827,-0.2051468,1.11514,-0.05614857
3.263306,-0.2052158,1.11516,-0.05614583
3.271057,-0.2053233,1.115186,-0.05616768
3.282288,-0.2053999,1.11523,-0.05616184
3.283295,-0.2053614,1.115264,-0.05615051
3.293457,-0.2053909,1.115342,-0.05612937
3.303284,-0.2053348,1.115386,-0.05612938
3.304413,-0.2053419,1.115426,-0.05610125
3.315521,-0.205327,1.115586,-0.05589223
3.323303,-0.2054017,1.115665,-0.0558337
3.326508,-0.2055016,1.115683,-0.05579077
3.337646,-0.2057068,1.115784,-0.05566244
3.343292,-0.2057405,1.116007,-0.05565628
3.348755,-0.2058251,1.116178,-0.05561748
3.359924,-0.2057721,1.116152,-0.05568023
3.363281,-0.2058194,1.116212,-0.05568126
3.371124,-0.2058657,1.116316,-0.05571145
3.381989,-0.2059132,1.116518,-0.0557265
3.383301,-0.205931,1.116495,-0.05571361
3.393219,-0.2059591,1.116608,-0.05574486
3.40329,-0.2059875,1.116662,-0.05573951
3.40448,-0.2060033,1.116672,-0.05571754
3.415466,-0.2060986,1.116726,-0.05572928
3.423309,-0.2060986,1.116879,-0.05566365
3.426483,-0.2061055,1.116926,-0.05563182
3.437653,-0.2061356,1.116806,-0.05556196
3.443298,-0.2060532,1.116781,-0.0556065
3.448853,-0.2059831,1.116743,-0.05561964
3.4599,-0.206021,1.116607,-0.05546585
