Time, X, Y, Z
0.003295898,0.08063354,1.109044,-0.01389684
0.00579834,0.08071891,1.108969,-0.01392645
0.01690674,0.08094776,1.108831,-0.01387995
0.02328491,0.08111639,1.108824,-0.01383108
0.02807617,0.08126813,1.108858,-0.0137645
0.03909302,0.08156775,1.108966,-0.01354758
0.04330444,0.08166141,1.109024,-0.01344198
0.05053711,0.08173716,1.109121,-0.01333505
0.06134033,0.08185385,1.109417,-0.01324412
0.06329346,0.0818674,1.109478,-0.01322673
0.07254028,0.08188039,1.109848,-0.01315892
0.08328247,0.08195762,1.110142,-0.01313995
0.08374023,0.08196428,1.110151,-0.01314226
0.09466553,0.08205374,1.110278,-0.01307634
0.103302,0.08214686,1.110175,-0.01305555
0.105835,0.08219262,1.110118,-0.01304747
0.1171875,0.08233411,1.109762,-0.01312883
0.123291,0.08236847,1.109675,-0.01311402
0.1278687,0.08238552,1.109633,-0.01308057
0.1388855,0.08242329,1.109661,-0.01286653
0.1433105,0.08245344,1.109706,-0.01278394
0.1503906,0.08246334,1.109793,-0.01269494
0.1612854,0.08238098,1.109941,-0.01252015
0.1632996,0.08235783,1.109986,-0.01246412
0.1724548,0.08222054,1.110236,-0.01221031
0.1832886,0.08206922,1.110518,-0.01206058
0.1837463,0.08206122,1.110526,-0.01205765
0.1946106,0.08192539,1.110636,-0.01200786
0.2033081,0.08191849,1.110661,-0.01208659
0.205658,0.08190785,1.110677,-0.0121216
0.2167664,0.08178855,1.11063,-0.01230043
0.2232971,0.08174585,1.110597,-0.01245749
0.2279663,0.08170637,1.110567,-0.012567
0.2391663,0.08154521,1.110496,-0.01275119
0.2432861,0.08146823,1.110482,-0.01279266
0.2506104,0.08135105,1.11044,-0.01279049
0.2614136,0.08124734,1.110527,-0.01274112
0.2633057,0.08122768,1.110573,-0.01270808
0.272522,0.08113287,1.110788,-0.0124857
0.2832947,0.08105017,1.11098,-0.01233348
0.2839966,0.08104555,1.110995,-0.01231609
0.2948608,0.08099049,1.111132,-0.01216333
0.3032837,0.0809598,1.111141,-0.01211438
0.3057556,0.08095291,1.111136,-0.01209868
0.3169861,0.08094814,1.111066,-0.01213014
0.3233032,0.08090198,1.111087,-0.01213002
0.3279114,0.08086864,1.111103,-0.01211607
0.3390808,0.08085085,1.111007,-0.01210825
0.3432922,0.08080322,1.110942,-0.01205471
0.3501587,0.08071353,1.110818,-0.01195531
0.3615112,0.08075413,1.110759,-0.01187086
0.3632813,0.08076207,1.110746,-0.01186718
0.3721619,0.08080315,1.110702,-0.01182204
0.3833008,0.0809453,1.110593,-0.01179798
0.3834839,0.08094703,1.110592,-0.01179764
0.3946228,0.08105443,1.110527,-0.01177421
0.4032898,0.08109109,1.110528,-0.01182063
0.4057617,0.08109365,1.110532,-0.01182891
0.4171753,0.08107392,1.110554,-0.01178366
0.4233093,0.08109523,1.11053,-0.01177105
0.4279785,0.08112015,1.110494,-0.01177278
0.4389038,0.08111453,1.110415,-0.0117953
