Time, X, Y, Z
25.76001,-0.3047269,0.9220279,0.2874983
37.64362,-0.2244529,0.8805773,0.1882318
40.46002,-0.3327703,0.894954,0.232794
42.79999,-0.3162369,0.9036751,0.2772911
45.16003,-0.3063216,0.9010744,0.1880701
49.67999,-0.2233523,0.9234751,0.2539043
52,-0.3006089,0.9108826,0.2251954
53.85999,-0.2888152,0.8945764,0.2603197
55.52002,-0.2907193,0.8950964,0.2239641
57.5,-0.2937315,0.8953056,0.2235798
59.16003,-0.2015831,0.8898582,0.2378174
60.48004,-0.2794717,0.915563,0.2828922
62.78003,-0.2588015,0.9070939,0.2249544
64.70001,-0.2540867,0.9103463,0.2180044
66.18646,-0.3246267,0.8995062,0.2641648
68.52002,-0.2077782,0.8933135,0.2005695
71.5,-0.2750596,0.883079,0.1897414
73.19409,-0.2765828,0.9001268,0.2744777
75.76001,-0.2132079,0.9140559,0.2782849
98.10004,-0.2944782,0.9271358,0.2320946
99.46002,-0.2464072,0.9602884,0.1960203
103.3251,-0.3478461,0.9359637,0.2401963
107.2601,-0.3287735,0.9662984,0.3173214
107.3011,-0.2107454,0.896723,0.2205799
107.3011,-0.378559,0.9652191,0.2352179
107.3011,-0.2657289,0.9097981,0.2018493
107.3011,-0.2896521,0.9206896,0.2737525
107.3011,-0.2394297,0.8974023,0.2393283
123.8,-0.2982315,0.9146569,0.2210553
125.5001,-0.2433549,0.899271,0.2248256
139.7601,-0.2910441,0.9347498,0.2429636
141.2601,-0.215057,0.9121225,0.2692164
143.1293,-0.2375874,0.9098992,0.1996594
144.82,-0.2422502,0.9375182,0.1715827
146.56,-0.2754909,0.9296562,0.2112739
148.58,-0.2799866,0.8931682,0.2865357
149.94,-0.199759,0.9455184,0.1936391
152.1,-0.2609276,0.9153565,0.2771365
153.8911,-0.234118,0.9188815,0.2214493
156.1,-0.281388,0.8748398,0.2472282
157.9,-0.3021184,0.8938707,0.1962421
159.34,-0.1916201,0.9434894,0.204112
161.0546,-0.236656,0.8686752,0.210168
162.8093,-0.3753062,0.9296106,0.1612088
164.9748,-0.391164,0.9261934,0.2164308
180.54,-0.197734,0.9875962,0.2757634
183.06,-0.2312842,0.9121417,0.17894
184.2601,-0.2791402,0.9674453,0.3233717
186.8,-0.08610912,0.9329724,-0.09414345
190.58,-0.2492547,0.9273002,0.2290979
191.8801,-0.2514763,0.959616,0.164939
193.56,-0.331782,0.9396144,0.2387506
196.1201,-0.3150362,0.8790607,0.2377899
197.9,-0.2653966,0.8958247,0.2220911
198.94,-0.197675,0.9759426,0.1398941
199.92,-0.1342469,0.8859794,0.03102093
201.5474,-0.3265341,0.876195,0.2638533
204.1201,-0.2574207,0.9014915,0.2552419
205.9,-0.3276794,0.8788545,0.1959621
207.8,-0.2759216,0.9085109,0.2934225
209.18,-0.3715032,0.9331329,0.2831697
233.52,-0.1948923,0.9000571,0.2152372
234.44,-0.2023499,0.9262369,0.1542823
240.2401,-0.2464326,0.9733402,0.2562622
241.7601,-0.2729942,0.9322503,0.1923247
243.36,-0.240531,0.941426,0.1944301
245.94,-0.3045411,0.8943933,0.1889976
247.6158,-0.2782484,0.936965,0.2895302
249.9,-0.3146051,0.9131455,0.2692731
252.46,-0.2620055,0.8709355,0.1947003
254.04,-0.2826423,0.8870939,0.2697435
255.7,-0.2355666,0.9285641,0.2364473
257.3801,-0.2793586,0.9317269,0.3057357
259.32,-0.2455833,0.8926224,0.1949635
261.18,-0.2670997,0.8606841,0.2940249
263.22,-0.192624,0.9213936,0.1989683
268.28,-0.3079224,0.8984902,0.1989208
270.0001,-0.2648484,0.8987527,0.2230423
