Time, X, Y, Z
25.76001,-0.2717009,0.86,0.2769375
37.64362,-0.2416696,0.86,0.197539
40.46002,-0.2972814,0.86,0.2203461
42.79999,-0.2745197,0.86,0.270573
45.16003,-0.2874266,0.86,0.1862892
49.67999,-0.2357514,0.86,0.2746612
52,-0.2632231,0.86,0.1868386
53.85999,-0.2591276,0.86,0.2608831
55.52002,-0.2800612,0.86,0.2123131
57.5,-0.284445,0.86,0.2631889
59.16003,-0.2040596,0.86,0.233565
60.48004,-0.2853092,0.86,0.2438931
62.78003,-0.2655684,0.86,0.1923854
64.70001,-0.2134327,0.86,0.1806027
66.18646,-0.2847278,0.86,0.2551083
68.52002,-0.204312,0.86,0.1964782
71.5,-0.2502896,0.86,0.2130341
73.19409,-0.266608,0.86,0.2737969
75.76001,-0.2099344,0.86,0.2539873
98.10004,-0.2874745,0.86,0.214912
99.46002,-0.2218369,0.86,0.1992591
103.3251,-0.2969273,0.86,0.2228518
107.2601,-0.2605794,0.86,0.2699005
107.3011,-0.2042373,0.86,0.2193438
107.3011,-0.2885102,0.86,0.2624349
107.3011,-0.2417507,0.86,0.2004651
107.3011,-0.2456344,0.86,0.2715971
107.3011,-0.2134441,0.86,0.2320239
123.8,-0.2764361,0.86,0.2394069
125.5001,-0.2196658,0.86,0.1935542
139.7601,-0.2812268,0.86,0.2276517
141.2601,-0.2158807,0.86,0.2728159
143.1293,-0.2258872,0.86,0.1852263
144.82,-0.2790062,0.86,0.2752374
146.56,-0.2491586,0.86,0.2335984
148.58,-0.2098159,0.86,0.2788867
149.94,-0.2046605,0.86,0.217508
152.1,-0.2532082,0.86,0.2398695
153.8911,-0.2144989,0.86,0.2064191
156.1,-0.2545155,0.86,0.2650768
157.9,-0.2675426,0.86,0.2172481
159.34,-0.2368832,0.86,0.2705027
161.0546,-0.2013862,0.86,0.2229144
162.8093,-0.2665929,0.86,0.2006315
164.9748,-0.2948048,0.86,0.2579751
180.54,-0.217004,0.86,0.2523603
183.06,-0.2506005,0.86,0.1834628
184.2601,-0.284419,0.86,0.2439891
186.8,-0.2992071,0.86,0.18625
190.58,-0.2378637,0.86,0.2716861
191.8801,-0.2842353,0.86,0.1849431
193.56,-0.2749502,0.86,0.2486672
196.1201,-0.2624556,0.86,0.1975685
197.9,-0.2199395,0.86,0.2422724
198.94,-0.2819391,0.86,0.2455827
199.92,-0.2138795,0.86,0.2133092
201.5474,-0.2876539,0.86,0.257766
204.1201,-0.2227921,0.86,0.2432001
205.9,-0.290462,0.86,0.1905601
207.8,-0.2550655,0.86,0.2787827
209.18,-0.2902859,0.86,0.2053996
233.52,-0.2322006,0.86,0.2409253
234.44,-0.2859832,0.86,0.2629817
240.2401,-0.2186062,0.86,0.2561929
241.7601,-0.2837071,0.86,0.2264268
243.36,-0.2333857,0.86,0.1960075
245.94,-0.2937797,0.86,0.1860082
247.6158,-0.2683988,0.86,0.2735424
249.9,-0.2892864,0.86,0.225756
252.46,-0.2542801,0.86,0.1822445
254.04,-0.2588543,0.86,0.2431648
255.7,-0.2249106,0.86,0.1943809
257.3801,-0.2430667,0.86,0.2791026
259.32,-0.2517197,0.86,0.1837824
261.18,-0.2249962,0.86,0.2674103
263.22,-0.2436502,0.86,0.2221999
268.28,-0.2833075,0.86,0.1805168
270.0001,-0.2398147,0.86,0.2279849
