Time, X, Y, Z
0,-0.146931,1.164652,-0.09955518
0.0007324219,-0.1470107,1.164554,-0.0994905
0.01171875,-0.1461673,1.164551,-0.09958704
0.02001953,-0.1450363,1.164905,-0.09992756
0.02282715,-0.1445705,1.164937,-0.1001875
0.03393555,-0.1434051,1.165031,-0.1007743
0.04003906,-0.143078,1.165226,-0.1005584
0.04516602,-0.1430091,1.16528,-0.1001993
0.05615234,-0.1429107,1.165423,-0.09971825
0.05999756,-0.1429863,1.165682,-0.09944743
0.06726074,-0.1431277,1.166018,-0.09897332
0.07830811,-0.1433809,1.166477,-0.09844171
0.08001709,-0.1431689,1.166137,-0.09863661
0.08947754,-0.1431693,1.165624,-0.09849994
0.1000366,-0.1432523,1.164895,-0.0983395
0.1005859,-0.1437087,1.164813,-0.09761917
0.1116333,-0.1445832,1.163938,-0.09635419
0.1199951,-0.1445986,1.163812,-0.09532437
0.1226807,-0.1443099,1.164054,-0.09495594
0.1338501,-0.1439005,1.164315,-0.0938331
0.1400146,-0.143111,1.164769,-0.09366322
0.1451416,-0.1425383,1.164927,-0.09349496
0.1560059,-0.1415901,1.16516,-0.09320808
0.1600342,-0.1413239,1.165074,-0.09302305
0.1672974,-0.1409215,1.164842,-0.09273061
0.1782227,-0.1406468,1.164473,-0.09245714
0.1799927,-0.1408503,1.164436,-0.09233701
0.1893311,-0.1409498,1.164032,-0.09195007
0.2000122,-0.1415349,1.163275,-0.09158513
0.2006226,-0.1415998,1.163509,-0.09169556
0.2116089,-0.1421452,1.163286,-0.09171591
0.2200317,-0.1428722,1.1625,-0.09193752
0.2228394,-0.1431564,1.162244,-0.09200484
0.2338257,-0.1443776,1.161494,-0.09220254
0.2399902,-0.1445402,1.161123,-0.09236105
0.2449341,-0.1448923,1.160742,-0.09248321
0.2561035,-0.1454032,1.160434,-0.09228384
0.2600098,-0.1453197,1.160614,-0.09220265
0.2671509,-0.1454607,1.160641,-0.09207188
0.2782593,-0.1451316,1.161215,-0.09211604
0.2800293,-0.1450969,1.161304,-0.09211452
0.2894287,-0.1448939,1.161735,-0.09200645
0.2999878,-0.1447349,1.162195,-0.09182736
0.3006592,-0.144728,1.162218,-0.0918199
0.3115845,-0.1450465,1.161921,-0.09248082
0.3200073,-0.1441584,1.162003,-0.09249099
0.3227539,-0.1439087,1.161996,-0.09255277
0.3337402,-0.1424468,1.161817,-0.09258862
0.3400269,-0.1413253,1.161737,-0.0923958
0.3448486,-0.1404311,1.161611,-0.09230462
0.3560791,-0.1390379,1.162091,-0.09200109
0.3599854,-0.1387517,1.161883,-0.09186145
0.3671265,-0.1378703,1.161729,-0.091642
0.3783569,-0.1369907,1.161211,-0.09121452
0.3800049,-0.1369935,1.161189,-0.09102269
0.3892212,-0.1363443,1.160786,-0.09044059
0.4000244,-0.1359008,1.160416,-0.08990605
0.4004517,-0.1358815,1.160393,-0.08988457
0.411499,-0.1360101,1.159357,-0.08939224
0.4200439,-0.1359968,1.158533,-0.08899903
0.4227295,-0.1359889,1.158172,-0.08882994
0.4336548,-0.1365319,1.15754,-0.08842789
0.4400024,-0.1370549,1.157606,-0.08815341
0.4448242,-0.1374643,1.157526,-0.087888
0.4558105,-0.1383026,1.156939,-0.08771902
0.460022,-0.1385574,1.156974,-0.08728816
0.4668579,-0.13912,1.15683,-0.08674103
0.4780273,-0.1400791,1.156584,-0.08611514
0.4800415,-0.1400804,1.156813,-0.08646566
0.4893188,-0.1405991,1.157099,-0.08684343
0.5,-0.1409612,1.158069,-0.08763282
0.5004272,-0.1409814,1.158116,-0.0876658
0.5114136,-0.141451,1.158193,-0.08858099
0.5200195,-0.1410223,1.158943,-0.08934783
0.522583,-0.1409234,1.159214,-0.08962734
0.5338135,-0.1382263,1.160397,-0.08968816
0.5400391,-0.1377184,1.161614,-0.0898646
0.5449829,-0.1370236,1.162612,-0.09003367
0.5558472,-0.1368178,1.163755,-0.09096875
0.5599976,-0.1368462,1.163752,-0.09133093
0.5670166,-0.1367406,1.164196,-0.09196895
0.578125,-0.1371309,1.164304,-0.09283037
0.5800171,-0.1371995,1.164006,-0.09263976
0.5893555,-0.1374685,1.163533,-0.09263387
0.6000366,-0.1375807,1.163031,-0.09170744
0.6003418,-0.1375875,1.163007,-0.09167528
0.6115112,-0.1374339,1.162732,-0.09079669
0.6199951,-0.1364459,1.162359,-0.08981847
0.6228027,-0.1360908,1.162183,-0.08939433
0.633667,-0.1346453,1.161627,-0.08835442
0.6400146,-0.1340825,1.160827,-0.08758736
0.6450195,-0.133472,1.160193,-0.08688782
0.6559448,-0.132076,1.158805,-0.08564921
0.6600342,-0.1316867,1.158385,-0.0851226
0.6669312,-0.1308169,1.157463,-0.08414324
0.6779785,-0.1285497,1.157531,-0.08271127
0.6799927,-0.1282065,1.157544,-0.08232974
0.6897583,-0.126273,1.15741,-0.08059327
0.7000122,-0.124153,1.156484,-0.07903594
0.7004395,-0.1240146,1.156439,-0.07892787
0.7113037,-0.1229797,1.155854,-0.07755004
0.7200317,-0.122164,1.155099,-0.07631418
0.7224731,-0.1218283,1.154825,-0.07584701
0.7338257,-0.1209021,1.153601,-0.07407901
0.7399902,-0.120338,1.153236,-0.07319749
0.744751,-0.1198124,1.152816,-0.07232369
0.7557983,-0.1192021,1.151878,-0.07067272
0.7600098,-0.1190215,1.151412,-0.07021683
0.7667847,-0.1186246,1.150653,-0.06923611
0.7779541,-0.1184555,1.149454,-0.06781885
0.7800293,-0.1184532,1.149216,-0.0675686
0.7890625,-0.1183098,1.148013,-0.06631528
0.7999878,-0.1183926,1.146799,-0.06487372
0.8001709,-0.1183924,1.14679,-0.06486432
0.8114624,-0.1183221,1.145582,-0.06393518
0.8200073,-0.1184084,1.14468,-0.06324582
0.8223267,-0.1184266,1.144327,-0.06297008
0.833374,-0.1181923,1.143936,-0.06234203
0.8400269,-0.1182213,1.143588,-0.06199949
0.8446045,-0.1182127,1.143288,-0.06169529
0.855957,-0.1184406,1.142731,-0.06143332
0.8599854,-0.1185816,1.142561,-0.06133233
0.8668213,-0.1188147,1.142224,-0.06110779
0.8779297,-0.1192821,1.142139,-0.06077415
0.8800049,-0.1194074,1.142215,-0.06072091
0.8892212,-0.1199019,1.142374,-0.0604123
0.9000244,-0.1205395,1.142311,-0.06064707
0.9002075,-0.1205468,1.142313,-0.06064639
0.9111938,-0.1210504,1.142306,-0.06091013
0.9200439,-0.1216639,1.142046,-0.06168559
0.9224243,-0.1218836,1.141959,-0.06195005
0.9335327,-0.1232843,1.141914,-0.06308851
0.9400024,-0.1238948,1.142698,-0.06427418
0.944519,-0.1244343,1.143237,-0.06520773
0.9557495,-0.125456,1.145089,-0.06678939
0.960022,-0.1260488,1.145782,-0.06728746
0.9667358,-0.1270515,1.147044,-0.06821452
0.9778442,-0.1285091,1.148512,-0.06944403
0.9800415,-0.1286768,1.148801,-0.06966256
0.9888916,-0.1295914,1.150211,-0.07067344
1,-0.1314107,1.152436,-0.07218295
1.000061,-0.1314114,1.152436,-0.07218346
1.011414,-0.1318892,1.154022,-0.07387051
1.02002,-0.133132,1.154855,-0.0752552
1.022339,-0.1335949,1.155198,-0.0757946
1.033508,-0.1346228,1.15577,-0.07721651
1.040039,-0.1349529,1.156303,-0.07810736
1.044434,-0.1352823,1.156726,-0.07884675
1.055603,-0.1357169,1.1571,-0.08007802
1.059998,-0.136052,1.157363,-0.08055326
1.066772,-0.1366169,1.157804,-0.08141582
1.078613,-0.1373678,1.158856,-0.08244257
1.080017,-0.1372109,1.158884,-0.08261524
1.088928,-0.1369378,1.159401,-0.08370157
1.100037,-0.135033,1.160235,-0.08473507
1.100037,-0.1350271,1.160238,-0.0847387
1.111206,-0.1342482,1.159887,-0.08544761
1.119995,-0.1335238,1.159599,-0.08564363
1.122253,-0.1332694,1.1595,-0.08572134
1.133484,-0.1321899,1.159619,-0.08535487
1.140015,-0.1316704,1.159819,-0.08509644
1.144531,-0.1312471,1.15998,-0.08489157
1.155579,-0.1309346,1.160131,-0.08479062
1.160034,-0.1310209,1.16009,-0.08477426
1.166687,-0.1311667,1.160019,-0.08474544
1.177795,-0.131992,1.16017,-0.08492887
1.179993,-0.1322102,1.160179,-0.08499715
1.189026,-0.1331648,1.16022,-0.08533875
1.200012,-0.1345988,1.16051,-0.086007
1.200134,-0.1346145,1.160512,-0.08601461
1.211182,-0.1353582,1.160185,-0.0866826
1.220032,-0.1360674,1.16002,-0.08698166
1.222229,-0.1363218,1.159966,-0.08708849
1.233398,-0.1368789,1.159426,-0.0871843
1.23999,-0.1374904,1.159222,-0.08719534
1.244507,-0.1379971,1.159062,-0.08720327
1.255615,-0.1387425,1.159066,-0.08751573
1.26001,-0.1389678,1.159274,-0.08762907
1.266602,-0.1393444,1.159643,-0.08781444
1.278137,-0.1400722,1.160237,-0.0883726
1.280029,-0.1401557,1.160287,-0.08856107
1.288879,-0.1406009,1.160549,-0.08949769
1.299988,-0.1403488,1.160937,-0.09061459
1.299988,-0.1403488,1.160937,-0.09061459
1.311157,-0.1393746,1.161459,-0.09158691
1.320007,-0.1386672,1.161695,-0.09224246
1.322266,-0.1384841,1.161755,-0.0924141
1.333313,-0.1370601,1.162248,-0.09294734
1.340027,-0.136519,1.16218,-0.09315664
1.344543,-0.1361111,1.162099,-0.09331625
1.355469,-0.1358006,1.16216,-0.09369667
1.359985,-0.135803,1.162167,-0.09396657
1.366577,-0.1358472,1.162176,-0.0944421
1.377869,-0.1365111,1.162532,-0.0951987
1.380005,-0.1367155,1.162562,-0.09539624
1.388794,-0.1377619,1.162617,-0.09635739
1.400024,-0.1383822,1.162413,-0.09694982
1.400146,-0.1383908,1.162409,-0.09695844
1.411316,-0.1388935,1.162356,-0.09725408
1.420044,-0.1389956,1.162606,-0.09732004
1.42218,-0.1390268,1.1627,-0.09734031
1.433228,-0.1389539,1.163061,-0.09737889
1.440002,-0.1387288,1.163269,-0.09738278
1.444275,-0.138536,1.163428,-0.09738515
1.455505,-0.1385035,1.163462,-0.09754853
1.460022,-0.1385669,1.16345,-0.09764053
1.466614,-0.1387096,1.163423,-0.09780832
1.477783,-0.1388463,1.163581,-0.09768026
1.480042,-0.1388426,1.163596,-0.09763823
1.488892,-0.1386937,1.163632,-0.09743006
1.499939,-0.138898,1.163553,-0.09697574
1.5,-0.1388993,1.163552,-0.096973
1.510986,-0.1388823,1.163551,-0.096745
1.52002,-0.1381381,1.163996,-0.09649225
1.522522,-0.1378967,1.164137,-0.09642239
