Time, X, Y, Z
0,0.1721157,1.119546,0.0002649873
0.0007324219,0.1720969,1.119519,0.0002020746
0.01171875,0.172025,1.119469,-0.0001100004
0.02001953,0.1719519,1.119403,-0.0003331453
0.02282715,0.1718855,1.119462,-0.0005032867
0.03393555,0.1716483,1.119423,-0.0009112209
0.04003906,0.1717371,1.119563,-0.001138791
0.04516602,0.1717128,1.119542,-0.001346961
0.05615234,0.1716063,1.119519,-0.001752719
0.05999756,0.1715415,1.11957,-0.001804844
0.06726074,0.1714012,1.119542,-0.001999795
0.07830811,0.1711712,1.119495,-0.002231732
0.08001709,0.1712233,1.119487,-0.002301157
0.08947754,0.1711173,1.119324,-0.002634436
0.1000366,0.1709952,1.119015,-0.002953485
0.1005859,0.1710451,1.119101,-0.002990991
0.1116333,0.1709859,1.118896,-0.003424048
0.1199951,0.1710331,1.118604,-0.003632873
0.1226807,0.1710122,1.118538,-0.003648147
0.1338501,0.1709959,1.118269,-0.003814653
0.1400146,0.1710345,1.118202,-0.003927201
0.1451416,0.1710482,1.118087,-0.003997371
0.1560059,0.1710457,1.117877,-0.003962889
0.1600342,0.1711132,1.117823,-0.003864363
0.1672974,0.1711757,1.117628,-0.00385119
0.1782227,0.1711562,1.117305,-0.00393483
0.1799927,0.1712081,1.117323,-0.003933981
0.1893311,0.171268,1.117035,-0.003943145
0.2000122,0.1713943,1.116913,-0.003750011
0.2006226,0.1715314,1.116923,-0.0036733
0.2116089,0.1717788,1.116608,-0.003558576
0.2200317,0.172035,1.116497,-0.003358051
0.2228394,0.1721379,1.116413,-0.003271595
0.2338257,0.1722215,1.116413,-0.003097653
0.2399902,0.1723191,1.116407,-0.002973944
0.2449341,0.1724082,1.116385,-0.002829283
0.2561035,0.1725256,1.116506,-0.002612919
0.2600098,0.172424,1.116536,-0.002536163
0.2671509,0.1723931,1.116596,-0.002368256
0.2782593,0.1724048,1.116655,-0.002270058
0.2800293,0.1724311,1.116736,-0.002214774
0.2894287,0.1725092,1.117001,-0.001913622
0.2999878,0.1729122,1.117306,-0.001814172
0.3006592,0.1729272,1.117318,-0.001807213
0.3115845,0.1730797,1.117131,-0.001899868
0.3200073,0.1734637,1.116923,-0.001986578
0.3227539,0.1736112,1.116843,-0.002033427
0.3337402,0.1739397,1.116531,-0.001763433
0.3400269,0.1741008,1.116331,-0.001679182
0.3448486,0.1742695,1.116107,-0.001615539
0.3560791,0.1745043,1.116048,-0.001432717
0.3599854,0.1745384,1.11611,-0.001306266
0.3671265,0.1747091,1.116071,-0.001172498
0.3783569,0.174836,1.116189,-0.001045734
0.3800049,0.1748609,1.116207,-0.001015902
0.3892212,0.1750225,1.116238,-0.0009275973
0.4000244,0.1750444,1.116167,-0.0009340644
0.4004517,0.1750439,1.116157,-0.00093849
0.411499,0.1751472,1.116421,-0.0008379072
0.4200439,0.1753007,1.116415,-0.000709489
0.4227295,0.1753514,1.116416,-0.0006528646
0.4336548,0.1753323,1.116499,-0.0005581826
0.4400024,0.1753733,1.116507,-0.0003764778
0.4448242,0.1753813,1.116554,-0.0002146065
0.4558105,0.1755159,1.116511,7.537007E-05
0.460022,0.1756098,1.116307,0.0001033843
0.4668579,0.1757316,1.116062,0.0002101362
0.4780273,0.1758745,1.115974,0.0004665405
0.4800415,0.1758161,1.116163,0.0005300641
0.4893188,0.1758011,1.116407,0.0007594526
0.5,0.1758902,1.116381,0.00119552
0.5004272,0.1758937,1.116394,0.001221567
0.5114136,0.176099,1.116188,0.001430199
0.5200195,0.1762958,1.116074,0.001413554
0.522583,0.1763814,1.116062,0.001455367
0.5338135,0.1764982,1.116398,0.001738399
0.5400391,0.176878,1.116426,0.00165683
0.5449829,0.1771331,1.116481,0.001616552
0.5558472,0.177165,1.116353,0.001571447
0.5599976,0.177159,1.116287,0.00145407
0.5670166,0.1771727,1.11613,0.001281112
0.578125,0.1769316,1.116417,0.001333863
0.5800171,0.1769005,1.116734,0.001410946
0.5893555,0.1767807,1.117613,0.001641586
0.6000366,0.1770519,1.118176,0.001874268
0.6003418,0.1770607,1.118206,0.001884401
0.6115112,0.1775351,1.118353,0.00180091
0.6199951,0.1777837,1.118406,0.001842931
0.6228027,0.1779021,1.118459,0.001859114
0.633667,0.1779363,1.11835,0.001720876
0.6400146,0.1779615,1.118331,0.00158453
0.6450195,0.1780109,1.118315,0.001469791
0.6559448,0.1780107,1.118569,0.001158312
0.6600342,0.1780877,1.118531,0.001117706
0.6669312,0.1782068,1.118499,0.0009645671
0.6779785,0.1780988,1.118875,0.0009727925
0.6799927,0.1781019,1.118928,0.0009939224
0.6897583,0.1780795,1.119187,0.0009782016
0.7000122,0.1778742,1.119376,0.0008612722
0.7004395,0.1778622,1.119394,0.0008591413
0.7113037,0.178157,1.119113,0.0008957535
0.7200317,0.1783279,1.11911,0.0009106249
0.7224731,0.1783918,1.119095,0.0009121895
0.7338257,0.1786548,1.119034,0.0009206533
0.7399902,0.1788163,1.119057,0.0008578151
0.744751,0.1789621,1.119069,0.0008272827
0.7557983,0.1788935,1.119495,0.0009308755
0.7600098,0.1787601,1.119864,0.0008908212
0.7667847,0.1786087,1.120401,0.0008481443
0.7779541,0.1784134,1.121066,0.001089513
0.7800293,0.1784375,1.121072,0.001047879
0.7890625,0.1784455,1.12132,0.0009790957
0.7999878,0.1784236,1.121318,0.0009053946
0.8001709,0.1784239,1.121318,0.0009039938
0.8114624,0.1785996,1.121245,0.0007594377
0.8200073,0.1787125,1.121217,0.0008210242
0.8223267,0.1787636,1.121206,0.0008331984
0.833374,0.1789847,1.121201,0.0008400232
0.8400269,0.1791274,1.121185,0.0008292049
0.8446045,0.1792579,1.121151,0.0008073449
0.855957,0.1793916,1.1211,0.0006670058
0.8599854,0.1793633,1.121158,0.0005885214
0.8668213,0.179362,1.121227,0.0004473925
0.8779297,0.1792446,1.1214,0.0003864318
0.8800049,0.179256,1.121384,0.0003789365
0.8892212,0.1793103,1.12137,0.0002631843
0.9000244,0.1793218,1.121253,0.0002458692
0.9002075,0.1793244,1.121256,0.0002467185
0.9111938,0.1794203,1.121283,0.0004103631
0.9200439,0.1793346,1.121447,0.0005350858
0.9224243,0.1793159,1.121511,0.0005820543
0.9335327,0.1792313,1.121586,0.0005830973
0.9400024,0.1791998,1.121527,0.0005807281
0.944519,0.1791748,1.121495,0.0005743355
0.9557495,0.1792161,1.121226,0.0004666299
0.960022,0.1792026,1.12125,0.0005358309
0.9667358,0.1791779,1.121279,0.0006501675
0.9778442,0.178971,1.121425,0.0008744299
0.9800415,0.1789377,1.121428,0.0009375066
0.9888916,0.1787833,1.121528,0.001224265
1,0.1785297,1.121765,0.001296133
1.000061,0.1785296,1.121765,0.001296178
1.011414,0.1785004,1.121772,0.001196146
1.02002,0.1783922,1.121809,0.001226962
1.022339,0.1783487,1.121819,0.001236603
1.033508,0.1782842,1.121747,0.001282915
1.040039,0.1782067,1.121641,0.001361862
1.044434,0.1781294,1.121557,0.001422361
1.055603,0.1779588,1.121326,0.001492396
1.059998,0.1778831,1.121299,0.001500487
1.066772,0.177747,1.121251,0.001522288
1.078613,0.1776562,1.121178,0.001460418
1.080017,0.1776318,1.121186,0.001448318
1.088928,0.1775218,1.121191,0.001371011
1.100037,0.1773475,1.121138,0.001384988
1.100037,0.1773469,1.121138,0.001385078
1.111206,0.1771657,1.121027,0.001349539
1.119995,0.1768904,1.120956,0.001339912
1.122253,0.176794,1.120931,0.001338214
1.133484,0.1766594,1.120927,0.001459137
1.140015,0.1765784,1.120853,0.001509741
1.144531,0.1765023,1.120796,0.0015544
1.155579,0.1763963,1.12077,0.001656696
1.160034,0.1763378,1.120747,0.001724035
1.166687,0.1762318,1.12071,0.001847029
1.177795,0.1759756,1.120693,0.002116337
1.179993,0.1759274,1.120675,0.002162308
1.189026,0.1757161,1.120599,0.002353072
1.200012,0.1755067,1.120549,0.002523676
1.200134,0.1755041,1.120548,0.00252606
1.211182,0.1753171,1.120475,0.002675921
1.220032,0.1751883,1.120454,0.002750129
1.222229,0.1751413,1.12045,0.002779707
1.233398,0.1750139,1.120416,0.002857655
1.23999,0.1749403,1.120436,0.002929628
1.244507,0.1748774,1.120451,0.002989531
1.255615,0.1747718,1.120352,0.003049687
1.26001,0.174737,1.120307,0.003076538
1.266602,0.174682,1.120235,0.00312233
1.278137,0.1747591,1.120121,0.003208309
1.280029,0.1747667,1.120105,0.003211677
1.288879,0.1748123,1.120021,0.0032399
1.299988,0.1747085,1.120018,0.00339748
1.299988,0.1747085,1.120018,0.00339748
1.311157,0.17473,1.120124,0.003463164
1.320007,0.1748037,1.120148,0.003539041
1.322266,0.1748228,1.120151,0.003555864
1.333313,0.1749244,1.120059,0.003578484
1.340027,0.1749864,1.120012,0.003611669
1.344543,0.1750341,1.119976,0.00363791
1.355469,0.1750803,1.119946,0.003649071
1.359985,0.1751186,1.119904,0.003655627
1.366577,0.1751854,1.119826,0.003668949
1.377869,0.1752158,1.119703,0.003716692
1.380005,0.175228,1.119683,0.003716111
1.388794,0.1752864,1.119599,0.00370428
1.400024,0.1754164,1.119579,0.003654763
1.400146,0.175419,1.119578,0.003653705
1.411316,0.175581,1.119542,0.003636464
1.420044,0.1757277,1.119608,0.003621534
1.42218,0.1757749,1.119632,0.003614724
1.433228,0.1758572,1.11965,0.003561571
1.440002,0.1759437,1.1197,0.00356774
1.444275,0.1760093,1.119745,0.003576562
1.455505,0.1760969,1.119864,0.003560439
1.460022,0.1761473,1.11988,0.0035557
1.466614,0.1762341,1.119898,0.003545687
1.477783,0.1763653,1.120016,0.003472894
1.480042,0.1763919,1.120021,0.003455818
1.488892,0.1765015,1.120025,0.003374591
1.499939,0.1765596,1.12004,0.003391653
1.5,0.17656,1.12004,0.003391758
1.510986,0.1767116,1.119971,0.003452301
1.52002,0.1767532,1.11988,0.003514022
1.522522,0.1767672,1.119845,0.003522992
1.533264,0.1768024,1.119689,0.003485739
1.540039,0.1768421,1.119633,0.003504887
1.544373,0.1768725,1.119594,0.003520861
1.555359,0.1769027,1.119488,0.003553048
1.559998,0.1769254,1.119461,0.003576979
1.566467,0.1769658,1.119427,0.003612742
