Time, X, Y, Z
12.75998,-0.2352725,0.9119292,0.2750136
19.35999,-0.2726939,0.8863522,0.2607202
23.09998,-0.3271551,0.9184426,0.2226072
28.72,-0.122604,0.9130796,0.2137097
33.63998,-0.3179544,0.9091983,0.2635598
37.09998,-0.25319,0.8829873,0.2011489
40.81998,-0.328073,0.8998362,0.2661903
45.17999,-0.2399856,0.9086977,0.2069054
48.75998,-0.2456189,0.919202,0.2553439
52.11777,-0.271813,0.9116604,0.198533
58.53998,-0.3021484,0.8794742,0.2073184
61.91998,-0.2646727,0.903284,0.2030427
65.28,-0.2420473,0.891122,0.2577381
68.62,-0.3306583,0.937166,0.2275977
72.41998,-0.2907605,0.9155155,0.1927251
76.19998,-0.2738168,0.9368812,0.1866312
100.2515,-0.2518758,0.9271848,0.2490761
125.72,-0.1987542,0.9298809,0.2263281
129.8,-0.3480757,0.9021142,0.2239728
133.3477,-0.2526056,0.9482345,0.2193805
135.84,-0.2535874,0.9305765,0.2209958
141.2552,-0.2057537,0.9043256,0.2013643
144.04,-0.3147334,0.9327881,0.2263636
148.852,-0.2157237,0.915055,0.2460969
152.08,-0.2999173,0.8936085,0.2528618
165.64,-0.2067331,0.9090455,0.187239
167.7655,-0.2472457,0.9287085,0.208266
174.2,-0.2208348,0.9151069,0.2556285
176.74,-0.2511936,0.9110243,0.1838022
179.96,-0.2334136,0.9122706,0.2552892
183.1142,-0.2767476,0.9427969,0.2291735
189.7,-0.1576896,0.9045367,0.2258459
193.4,-0.3174644,0.9231679,0.1975165
196.36,-0.2916766,0.9112136,0.2612518
198.86,-0.2624778,0.9046128,0.1761666
201.02,-0.214724,0.931271,0.2849624
209.56,-0.2947535,0.9266243,0.1618929
234.88,-0.2476953,0.9015464,0.2523108
244.4753,-0.3269767,0.9169023,0.1836674
247.86,-0.2199222,0.9223766,0.1873565
256.2145,-0.3018532,0.888883,0.2564731
258.38,-0.263709,0.9085819,0.168831
261.1,-0.2520953,0.9066758,0.2699874
271.452,-0.2932624,0.9090409,0.2160076
274.84,-0.295112,0.8951178,0.2118079
282.12,-0.2597016,0.9202298,0.2235322
284.98,-0.2111599,0.9089807,0.2654982
289.5328,-0.2493801,0.8986048,0.2170921
292.2,-0.2203878,0.9047268,0.2165825
298.44,-0.279414,0.9084299,0.2193841
301.92,-0.1212892,0.9265613,0.2416969
307.36,-0.2580527,0.897652,0.189146
309.74,-0.3295025,0.9095932,0.169201
321.24,-0.3123101,0.9217742,0.2386815
328.62,-0.2108909,0.9195928,0.242503
331.4026,-0.2516146,0.8949763,0.2380191
334.58,-0.3366269,0.9141538,0.1809298
336.62,-0.2510713,0.9311474,0.2278469
338.62,-0.2602349,0.906275,0.2043528
382.18,-0.285942,0.8715888,0.2955118
385.42,-0.2315485,0.9290903,0.1472261
389.7541,-0.2000951,0.9028133,0.2642006
394.24,-0.2343884,0.9264081,0.2271197
397.1,-0.220283,0.9123255,0.2329296
400.02,-0.2197064,0.90902,0.2716192
403.4,-0.1847673,0.9170539,0.2056272
411.4799,-0.2370328,0.9305056,0.2354892
415.84,-0.1447914,0.8992384,0.1771569
430.5023,-0.1815546,0.8935031,0.1640621
433.2899,-0.2663803,0.8868751,0.2050698
438.06,-0.2309105,0.9374415,0.2233952
447.4,-0.3054313,0.9244826,0.1648215
450.42,-0.1895694,0.9062431,0.2407751
452.8,-0.2271274,0.9326334,0.2365561
456.7127,-0.2817041,0.9304205,0.1673847
459.52,-0.3550736,0.890177,0.2792518
463.16,-0.2272669,0.9034711,0.204092
