Time, X, Y, Z
12.75998,-0.2226672,0.86,0.2745879
19.35999,-0.2112222,0.86,0.2102314
23.09998,-0.2715603,0.86,0.1950346
28.72,-0.240042,0.86,0.230968
33.63998,-0.2980843,0.86,0.2455471
37.09998,-0.2428256,0.86,0.2140583
40.81998,-0.2746648,0.86,0.2613686
45.17999,-0.2029239,0.86,0.1939463
48.75998,-0.2182073,0.86,0.2560621
52.11777,-0.2992542,0.86,0.1903615
58.53998,-0.2617173,0.86,0.2197864
61.91998,-0.2184731,0.86,0.1950765
65.28,-0.2742532,0.86,0.2488083
68.62,-0.2182423,0.86,0.2431417
72.41998,-0.2236533,0.86,0.1927206
76.19998,-0.2856036,0.86,0.2005991
100.2515,-0.2933545,0.86,0.256076
125.72,-0.2011597,0.86,0.2312008
129.8,-0.2935583,0.86,0.2442108
133.3477,-0.2463077,0.86,0.2354255
135.84,-0.2884477,0.86,0.2107011
141.2552,-0.2292937,0.86,0.2269052
144.04,-0.2967201,0.86,0.2271441
148.852,-0.2096962,0.86,0.2695556
152.08,-0.2700325,0.86,0.2440985
165.64,-0.2081792,0.86,0.2101655
167.7655,-0.2903541,0.86,0.2246859
174.2,-0.244419,0.86,0.2726018
176.74,-0.2427275,0.86,0.1860706
179.96,-0.2490722,0.86,0.24334
183.1142,-0.2400855,0.86,0.1866284
189.7,-0.2421379,0.86,0.2463814
193.4,-0.2828403,0.86,0.2048186
196.36,-0.2879568,0.86,0.2590249
198.86,-0.2458081,0.86,0.1874067
201.02,-0.2275073,0.86,0.2312409
209.56,-0.2492059,0.86,0.1822985
234.88,-0.2389851,0.86,0.2647165
244.4753,-0.2903055,0.86,0.2384728
247.86,-0.246405,0.86,0.1919066
256.2145,-0.2702335,0.86,0.2404043
258.38,-0.2772123,0.86,0.1874615
261.1,-0.2280075,0.86,0.2717651
271.452,-0.2769659,0.86,0.1968337
274.84,-0.2019114,0.86,0.1980372
282.12,-0.2834254,0.86,0.1837332
284.98,-0.2364153,0.86,0.276706
289.5328,-0.2692383,0.86,0.2390854
292.2,-0.2169517,0.86,0.2113877
298.44,-0.274866,0.86,0.226839
301.92,-0.2512266,0.86,0.2792812
307.36,-0.2219501,0.86,0.2060589
309.74,-0.2761139,0.86,0.2250587
321.24,-0.2135161,0.86,0.2413996
328.62,-0.2520334,0.86,0.1905374
331.4026,-0.2405158,0.86,0.2675398
334.58,-0.2891432,0.86,0.2082339
336.62,-0.2595652,0.86,0.2451252
338.62,-0.2186372,0.86,0.1833139
382.18,-0.2396091,0.86,0.2703692
385.42,-0.2677809,0.86,0.2090868
389.7541,-0.2253937,0.86,0.2680141
394.24,-0.2639014,0.86,0.2290498
397.1,-0.2171084,0.86,0.2231953
400.02,-0.209046,0.86,0.2796722
403.4,-0.2124444,0.86,0.2242685
411.4799,-0.2982044,0.86,0.201307
415.84,-0.2499214,0.86,0.2437406
430.5023,-0.2060661,0.86,0.196599
433.2899,-0.2761749,0.86,0.1905429
438.06,-0.2494793,0.86,0.2439448
447.4,-0.2650905,0.86,0.1955427
450.42,-0.2061321,0.86,0.2632244
452.8,-0.2439997,0.86,0.2247192
456.7127,-0.2842001,0.86,0.1815905
459.52,-0.2636947,0.86,0.2586943
463.16,-0.224361,0.86,0.2156165
