Time, X, Y, Z
0,-0.195978,1.064593,-0.07208613
0.003387451,-0.1959771,1.064667,-0.07210606
0.01449585,-0.1958649,1.064985,-0.07204875
0.01998901,-0.1958118,1.065215,-0.07203849
0.02563477,-0.1957538,1.06548,-0.07202503
0.03674316,-0.195591,1.065961,-0.07170244
0.03997803,-0.1955705,1.066086,-0.0716064
0.04785156,-0.195506,1.06644,-0.07136661
0.05905151,-0.1956745,1.066758,-0.07097739
0.05999756,-0.1956975,1.066769,-0.07092886
0.07009888,-0.1959146,1.066969,-0.07043746
0.07998657,-0.1961885,1.067186,-0.06997105
0.08132935,-0.1962329,1.067216,-0.0698947
0.09222412,-0.1963292,1.067373,-0.06947413
0.09997559,-0.1962904,1.067522,-0.06913111
0.1034546,-0.1962725,1.067618,-0.06892923
0.1145325,-0.1962819,1.067887,-0.06858207
0.1199951,-0.1962756,1.067984,-0.06838052
0.1257324,-0.1962745,1.068121,-0.06813475
0.1367188,-0.1963699,1.068323,-0.06802307
0.1399841,-0.1963659,1.068357,-0.06801754
0.1478271,-0.1963481,1.068426,-0.06799246
0.1590271,-0.1963435,1.068372,-0.06799084
0.1600037,-0.1963344,1.068379,-0.06799987
0.1699524,-0.196236,1.068367,-0.06811018
0.1799927,-0.1959959,1.068542,-0.06832372
0.1810913,-0.1959707,1.068558,-0.06834537
0.1922302,-0.1956461,1.068571,-0.06873102
0.1999817,-0.1954211,1.068473,-0.06902155
0.2034302,-0.1952934,1.068428,-0.06918542
0.2144165,-0.1951625,1.068522,-0.06944568
0.2200012,-0.1950892,1.068555,-0.06949283
0.2254639,-0.1949998,1.068594,-0.06954351
0.2365723,-0.1947795,1.068715,-0.06963655
0.2399902,-0.1947169,1.068732,-0.06964803
0.2478638,-0.1945545,1.068791,-0.06967768
0.2590332,-0.1947166,1.068729,-0.06961642
0.2599792,-0.1947287,1.068736,-0.06961083
0.2701111,-0.1948426,1.068795,-0.06957474
0.2799988,-0.194985,1.068717,-0.06961001
0.2810669,-0.1949997,1.068712,-0.06961024
0.2923584,-0.1951369,1.068712,-0.06941672
0.2999878,-0.1951873,1.06883,-0.06921491
0.3034363,-0.1952126,1.068896,-0.0691033
0.3145447,-0.1952358,1.068931,-0.06890696
0.3199768,-0.1953625,1.068932,-0.06883526
0.3255005,-0.1955204,1.068929,-0.06874983
0.3366394,-0.1956831,1.068903,-0.0684682
0.3399963,-0.1957557,1.068878,-0.06839687
0.3477478,-0.1959546,1.068809,-0.06822765
0.3594666,-0.196319,1.068641,-0.06796291
0.3599854,-0.1963342,1.068639,-0.06794573
0.3699341,-0.1967297,1.068504,-0.06765652
0.3799744,-0.1969944,1.068287,-0.0673928
0.381134,-0.1970264,1.06827,-0.06736352
0.3921814,-0.1972018,1.068354,-0.06717473
0.3999939,-0.1973497,1.068262,-0.06698455
0.4033813,-0.1974338,1.068199,-0.06687608
0.4145203,-0.1975074,1.068045,-0.06677958
0.4199829,-0.197537,1.067934,-0.06670959
0.4255066,-0.1975688,1.067801,-0.06662512
0.4367065,-0.197603,1.067511,-0.06663699
0.4400024,-0.1976261,1.067463,-0.06663799
0.4477234,-0.1976959,1.067367,-0.06663615
0.4588013,-0.1977378,1.067437,-0.06664011
0.4599915,-0.1977493,1.067444,-0.06663775
0.4700012,-0.1979362,1.067483,-0.06658876
0.4799805,-0.1981497,1.067494,-0.06662694
0.480896,-0.1981675,1.067499,-0.06662886
0.4920959,-0.1983626,1.067726,-0.06655596
0.5,-0.1984537,1.067858,-0.06648481
0.5033264,-0.1984979,1.067927,-0.06644697
0.5143127,-0.1986232,1.068009,-0.06646866
0.519989,-0.1987445,1.06811,-0.0664565
0.5261536,-0.1989125,1.068249,-0.06643984
0.5365601,-0.1991738,1.068143,-0.06650586
0.539978,-0.1992687,1.06813,-0.06652106
0.5476685,-0.1995041,1.068105,-0.0665499
0.5588074,-0.1996399,1.067983,-0.0665655
0.5599976,-0.1996635,1.067974,-0.06656644
0.5699158,-0.199887,1.067967,-0.06661677
0.5799866,-0.1998813,1.067899,-0.06677358
0.5810852,-0.1998858,1.067894,-0.06679131
0.5922241,-0.1999426,1.067794,-0.06693642
0.5999756,-0.1999933,1.067763,-0.06696987
0.6032715,-0.2000236,1.06775,-0.06697585
0.6143494,-0.200063,1.067613,-0.06688564
0.6199951,-0.200105,1.067569,-0.06680016
0.6255188,-0.2001631,1.067527,-0.06669049
0.6367798,-0.2001089,1.067662,-0.06652586
0.6399841,-0.2001447,1.067698,-0.06647481
0.647644,-0.2002834,1.067786,-0.06635632
0.6587524,-0.2003501,1.067886,-0.06635162
0.6600037,-0.2003624,1.067899,-0.06635475
0.6699829,-0.200572,1.067981,-0.06640986
0.6799927,-0.2007943,1.068063,-0.06646442
0.6809998,-0.2008147,1.06807,-0.06647022
0.6920471,-0.2009592,1.068131,-0.06651011
0.6999817,-0.2011616,1.068349,-0.06641366
0.7031555,-0.201282,1.068472,-0.06635417
0.7146606,-0.201599,1.068694,-0.06619813
0.7200012,-0.201758,1.068853,-0.06606847
0.7255554,-0.2019587,1.069032,-0.06590019
0.7365417,-0.2022668,1.069125,-0.06557785
0.7399902,-0.2023592,1.0692,-0.06549221
