Time, X, Y, Z
0,0.08533177,1.108349,-0.07683764
0.003387451,0.08537067,1.108294,-0.07676339
0.01449585,0.0854629,1.108124,-0.07661195
0.01998901,0.08544965,1.108031,-0.07651952
0.02563477,0.08543794,1.107925,-0.07640548
0.03674316,0.08549313,1.107766,-0.07629214
0.03997803,0.08552092,1.107709,-0.0762717
0.04785156,0.08557902,1.107558,-0.07620656
0.05905151,0.08559951,1.107432,-0.07614799
0.05999756,0.08560324,1.107427,-0.07614197
0.07009888,0.08562531,1.107283,-0.07605448
0.07998657,0.08555122,1.10722,-0.07596047
0.08132935,0.0855386,1.107207,-0.07594487
0.09222412,0.08548102,1.107094,-0.07583416
0.09997559,0.08542583,1.107049,-0.07579887
0.1034546,0.08539592,1.107026,-0.07577373
0.1145325,0.08534163,1.106999,-0.07571958
0.1199951,0.08533102,1.106995,-0.07563761
0.1257324,0.08531038,1.106993,-0.07554637
0.1367188,0.08522719,1.107066,-0.07535833
0.1399841,0.08520566,1.107094,-0.07533149
0.1478271,0.08516122,1.107157,-0.07525851
0.1590271,0.08513847,1.107154,-0.0751988
0.1600037,0.08514988,1.107153,-0.07519861
0.1699524,0.08525451,1.107072,-0.07521109
0.1799927,0.08536103,1.107064,-0.07523766
0.1810913,0.08537321,1.10706,-0.07524091
0.1922302,0.08542043,1.106966,-0.07521993
0.1999817,0.08550505,1.106861,-0.07514873
0.2034302,0.08555251,1.10681,-0.07510972
0.2144165,0.08574258,1.106717,-0.07501021
0.2200012,0.08588602,1.106587,-0.07498761
0.2254639,0.08605411,1.106437,-0.07495558
0.2365723,0.08620997,1.106139,-0.07472807
0.2399902,0.08627122,1.106067,-0.07470544
0.2478638,0.08642909,1.105898,-0.07465005
0.2590332,0.08645236,1.105714,-0.07446401
0.2599792,0.08645145,1.105704,-0.07443894
0.2701111,0.08647701,1.105567,-0.07421939
0.2799988,0.08648647,1.105399,-0.07418416
0.2810669,0.08648767,1.105384,-0.07417603
0.2923584,0.08644387,1.10534,-0.07413211
0.2999878,0.08640063,1.105325,-0.07414347
0.3034363,0.08637969,1.105317,-0.07415311
0.3145447,0.08642073,1.105328,-0.07415654
0.3199768,0.08633641,1.105353,-0.07411674
0.3255005,0.08622874,1.105382,-0.0740658
0.3366394,0.08607154,1.105362,-0.07390764
0.3399963,0.08598481,1.105376,-0.07388304
0.3477478,0.08574391,1.105417,-0.07383326
0.3594666,0.08553288,1.105471,-0.07382295
0.3599854,0.08552294,1.105466,-0.07383323
0.3699341,0.08525591,1.105392,-0.07395758
0.3799744,0.08509806,1.105405,-0.073972
0.381134,0.08507837,1.105408,-0.07397482
0.3921814,0.08486801,1.1055,-0.07399933
0.3999939,0.08475188,1.105547,-0.07397676
0.4033813,0.0846884,1.10557,-0.07396661
0.4145203,0.08467324,1.105509,-0.07400572
0.4199829,0.08467165,1.105484,-0.07403114
0.4255066,0.08467303,1.105456,-0.07406449
0.4367065,0.08468565,1.105461,-0.07421781
0.4400024,0.084695,1.105444,-0.07423174
0.4477234,0.08472745,1.105381,-0.07425189
0.4588013,0.08471339,1.105296,-0.07431844
0.4599915,0.08470903,1.105289,-0.07432151
0.4700012,0.08465717,1.105247,-0.07430154
0.4799805,0.08465289,1.105231,-0.07429083
0.480896,0.08465233,1.105233,-0.07428899
0.4920959,0.08469839,1.105344,-0.07426021
0.5,0.08479272,1.105318,-0.07422978
0.5033264,0.08484854,1.105297,-0.07421254
0.5143127,0.08497518,1.105226,-0.07415465
0.519989,0.08501033,1.105224,-0.07410328
0.5261536,0.08504373,1.105226,-0.07404083
0.5365601,0.08505501,1.105185,-0.07400392
0.539978,0.08504631,1.105182,-0.07399161
0.5476685,0.08500959,1.10518,-0.0739731
0.5588074,0.08495744,1.10518,-0.07399052
0.5599976,0.08494366,1.105183,-0.07398711
0.5699158,0.08474435,1.105239,-0.07391188
0.5799866,0.08469652,1.105282,-0.07386822
0.5810852,0.08468617,1.105287,-0.07386264
0.5922241,0.08457233,1.105344,-0.07379542
0.5999756,0.08453125,1.10539,-0.07378078
0.6032715,0.08451137,1.105415,-0.07377481
0.6143494,0.08449432,1.105437,-0.07376453
0.6199951,0.08448945,1.105492,-0.0737302
0.6255188,0.08448367,1.105565,-0.07368201
0.6367798,0.08448941,1.105697,-0.07366809
0.6399841,0.08445395,1.105729,-0.07364166
0.647644,0.08434323,1.105821,-0.07358231
0.6587524,0.08429579,1.105856,-0.07358018
0.6600037,0.08428589,1.10586,-0.07358065
0.6699829,0.08414748,1.105916,-0.07361187
0.6799927,0.08404209,1.105974,-0.07356331
0.6809998,0.08403388,1.105979,-0.0735593
0.6920471,0.08405738,1.105966,-0.07352099
0.6999817,0.08402806,1.106124,-0.07338746
0.7031555,0.08400493,1.106217,-0.07331021
0.7146606,0.08386176,1.10635,-0.073201
0.7200012,0.08382612,1.106445,-0.07311745
0.7255554,0.08379079,1.106546,-0.0730084
0.7365417,0.08364951,1.106531,-0.07259658
0.7399902,0.08361311,1.106551,-0.07244472
0.7476501,0.0835373,1.10657,-0.07202433
0.7586975,0.08332044,1.106595,-0.07139692
0.7599792,0.08329608,1.106596,-0.07132156
0.7698975,0.0831986,1.106692,-0.07056606
0.7799988,0.08272924,1.106841,-0.06969038
0.7811584,0.0826765,1.106855,-0.06960277
0.7921143,0.08233738,1.106855,-0.06895374
0.7999878,0.08208182,1.106853,-0.0682936
0.8031921,0.08195649,1.106843,-0.06792597
0.8143311,0.08162387,1.106858,-0.0670965
0.8199768,0.08140693,1.106844,-0.06653394
0.8251953,0.0811819,1.106777,-0.06589523
0.8364258,0.08104533,1.106526,-0.06478086
0.8399963,0.0810117,1.106442,-0.06439312
0.8475342,0.08113495,1.10613,-0.06357297
0.8586731,0.08097085,1.105759,-0.06219584
0.8599854,0.08094375,1.105708,-0.06201394
0.8699341,0.08091014,1.10526,-0.06060357
0.8799744,0.08122592,1.104932,-0.05875193
0.8807678,0.08124566,1.104908,-0.05864426
0.8921204,0.08144821,1.104254,-0.05675434
0.8999939,0.08143524,1.103737,-0.05522412
0.9036255,0.08137974,1.103441,-0.05429289
0.9141846,0.0810028,1.103082,-0.05206208
0.9199829,0.08080178,1.102907,-0.05068372
0.9253845,0.08059555,1.102707,-0.04911837
0.9364929,0.08031951,1.102309,-0.04672527
