Time, X, Y, Z
34.28,-0.05926134,0.8969143,0.02401101
36.78,-0.1848629,0.9135618,0.1500456
37.98001,-0.2273814,0.9399136,0.1406818
39.10001,-0.1887862,0.9392144,0.170513
39.98001,-0.1043579,0.9420425,0.03029521
41.10001,-0.1616171,0.9392781,0.1528413
42.24002,-0.1816703,0.9484582,0.1361132
43.22,-0.2241586,0.9521552,0.1385144
44.24002,-0.2189847,0.9330872,0.1402967
45.32001,-0.2300959,0.9361484,0.1087276
46.48001,-0.2022431,0.9607315,0.2238548
47.70001,-0.2263192,0.926797,0.1122164
48.78,-0.1545517,0.9371758,0.1382151
49.86002,-0.1726263,0.9212301,0.1758534
50.88,-0.1573067,0.9283863,0.140944
51.94,-0.2232224,0.93873,0.1776294
55.14001,-0.2556604,0.9499792,0.1752921
55.94,-0.1872898,0.9605958,0.154224
56.76001,-0.1083234,0.9232128,0.06802314
57.70001,-0.1767617,0.9335722,0.1381152
58.78,-0.174512,0.9240977,0.1469932
59.88,-0.1978097,0.908487,0.1305102
60.89999,-0.1770944,0.9418041,0.165458
62.17999,-0.1876593,0.9250659,0.1288709
63.22,-0.1635631,0.9317388,0.1097433
64.24002,-0.1757824,0.9110624,0.08955485
70.26001,-0.06679217,0.9063819,0.1115698
72.09998,-0.2070923,0.9152677,0.1225314
73.64001,-0.1058441,0.9245663,0.04746126
75.23999,-0.1195111,0.928552,0.1320437
76.5,-0.1863911,0.9338906,0.1459849
77.66003,-0.1521937,0.9343619,0.1000054
78.79999,-0.183318,0.9415279,0.1241179
79.90002,-0.1678056,0.9216689,0.1209214
81.08002,-0.155434,0.9132044,0.1905263
82.23999,-0.1839262,0.9438109,0.1399361
83.58002,-0.1644077,0.9311081,0.1968148
84.72003,-0.2013261,0.9074662,0.1383306
85.76001,-0.1211229,0.9414082,0.08062421
86.96002,-0.1738221,0.9491562,0.1836868
88.12,-0.2053475,0.9294529,0.1762812
89.41998,-0.1794057,0.9273384,0.130774
90.70001,-0.1608367,0.9368768,0.1876071
92.08002,-0.1687948,0.9391447,0.1525527
93.40002,-0.1852572,0.9355989,0.2056171
115.18,-0.07787325,0.8919485,-0.03205788
117.28,-0.2013523,0.9353483,0.137773
118.84,-0.1329751,0.9188955,0.1165707
119.98,-0.1600147,0.9362666,0.107735
121.36,-0.171323,0.9222153,0.1211807
122.66,-0.1827554,0.940138,0.1292844
124.02,-0.1485044,0.9361815,0.129193
125.52,-0.1950575,0.9280779,0.1163802
126.52,-0.1231744,0.920224,0.08409353
129.06,-0.224519,0.9416591,0.1646689
130.9,-0.2644721,0.9250636,0.02140746
134.66,-0.1602528,0.9165503,0.1180132
136.26,-0.1298169,0.9099187,0.1955625
137.64,-0.2163475,0.9273871,0.1506514
139.16,-0.1703765,0.9080924,0.1316164
140.56,-0.1994936,0.9320028,0.1764613
