Time, X, Y, Z
0.09999084,-0.1813376,0.927972,0.1362515
0.09999084,-0.1665262,0.9150629,0.1525735
10.73999,-0.1785064,0.909886,0.1657681
13.17999,-0.2343678,0.9128781,0.1519028
17.79999,-0.2229816,0.939556,0.1604794
25.39999,-0.2047498,0.9232039,0.1655868
28.15999,-0.181152,0.917433,0.1146516
30.21999,-0.1862118,0.918843,0.1397732
32.12842,-0.2683621,0.9185023,0.1352114
36.48,-0.1306593,0.9129688,0.1106768
38.79999,-0.2061253,0.9194431,0.1240047
41.31999,-0.1444029,0.9313462,0.1655544
43.34,-0.1805886,0.9220741,0.1548241
46.21999,-0.1968973,0.9035979,0.1527293
49.09999,-0.1880846,0.9123775,0.151299
51.7,-0.1870755,0.9236277,0.183273
53.93999,-0.1884655,0.9279547,0.08790092
61.48,-0.1831118,0.9074336,0.1250101
63.78,-0.09718595,0.9123677,0.1356373
66.25999,-0.2652049,0.9139307,0.1907973
71.63998,-0.179272,0.9057484,0.1478205
74.34,-0.07501131,0.9211411,0.1206893
76.13998,-0.1942936,0.9299874,0.1380439
77.73999,-0.1914697,0.9458349,0.1842236
79.07999,-0.07449302,0.914515,0.03463866
82.78,-0.1339703,0.9146156,0.1738549
84.5,-0.1892606,0.9268718,0.1605385
86.03998,-0.2164007,0.9119793,0.1820688
88.5,-0.1614713,0.9340221,0.116715
89.97998,-0.1717857,0.9406829,0.1752542
93.31998,-0.1479346,0.905304,0.08676337
95.94,-0.2087371,0.931627,0.1252528
98.91998,-0.103739,0.930299,0.1074394
102.62,-0.1319593,0.9213671,0.1237402
104.62,-0.1749073,0.9392698,0.1679834
106.28,-0.160149,0.9300498,0.1231502
107.64,-0.05840788,0.9278466,0.005025111
116.54,-0.1366941,0.9208224,0.1869779
121.62,-0.1867426,0.9482745,0.1280533
123.72,-0.1789883,0.9306836,0.2171472
125.76,-0.2512898,0.9146266,0.2034457
130.0285,-0.2074351,0.9310397,0.09081724
134.28,-0.1551104,0.9177213,0.1855486
136.06,-0.210354,0.9448293,0.09120929
139.36,-0.1187661,0.9250587,0.1756831
141.2012,-0.1399633,0.9117367,0.09363884
144.78,-0.1358808,0.9322218,0.1302983
146.7,-0.1996736,0.9243062,0.153406
148.48,-0.1688785,0.9399599,0.1092666
150.18,-0.1394798,0.9431923,0.1478418
151.5519,-0.1242932,0.9332906,0.1061376
156.2,-0.1968618,0.9168364,0.1330082
161.74,-0.1845335,0.9213538,0.1900135
163.78,-0.1058182,0.9077294,0.1293182
168.88,-0.239738,0.9151001,0.1521529
170.68,-0.2038042,0.9215339,0.1308397
174.38,-0.163141,0.9084057,0.1563341
176.24,-0.2090967,0.9577005,0.178173
179.64,-0.1679057,0.9191157,0.1716111
181.72,-0.1947867,0.9406683,0.1618696
183.18,-0.06472616,0.9419613,-0.02992042
185.42,-0.201328,0.9271657,0.1500102
187.44,-0.1938189,0.9483424,0.1183124
197.78,-0.204956,0.9299612,0.178385
208.96,-0.1981902,0.9111962,0.1406636
212.54,-0.1639424,0.916671,0.1256026
216.5783,-0.215265,0.9222234,0.1667691
220.6651,-0.1704307,0.9000438,0.1593913
223.92,-0.1360613,0.9257544,0.122105
229.96,-0.1785202,0.9088145,0.1412539
