Time, X, Y, Z
0.09999084,-0.2054905,0.86,0.1652441
0.09999084,-0.1847664,0.86,0.1965178
10.73999,-0.1895002,0.86,0.1612859
13.17999,-0.2191146,0.86,0.1415901
17.79999,-0.1992657,0.86,0.2015064
25.39999,-0.202774,0.86,0.151178
28.15999,-0.1992561,0.86,0.2046708
30.21999,-0.1856591,0.86,0.1354373
32.12842,-0.210716,0.86,0.1824688
36.48,-0.1518086,0.86,0.1436245
38.79999,-0.2139184,0.86,0.1462785
41.31999,-0.1818915,0.86,0.204945
43.34,-0.1921226,0.86,0.1371851
46.21999,-0.1960697,0.86,0.1839907
49.09999,-0.1741517,0.86,0.1361339
51.7,-0.1722871,0.86,0.1812406
53.93999,-0.2110872,0.86,0.1949455
61.48,-0.1747369,0.86,0.1641125
63.78,-0.1595145,0.86,0.2026528
66.25999,-0.210893,0.86,0.1831555
71.63998,-0.1652051,0.86,0.1688622
74.34,-0.1515666,0.86,0.2069686
76.13998,-0.1959988,0.86,0.1526516
77.73999,-0.1621791,0.86,0.19032
79.07999,-0.2044055,0.86,0.2040561
82.78,-0.1867479,0.86,0.1648421
84.5,-0.1873908,0.86,0.2045582
86.03998,-0.1951777,0.86,0.1502828
88.5,-0.1596937,0.86,0.1781275
89.97998,-0.2021218,0.86,0.1811824
93.31998,-0.2188456,0.86,0.1395433
95.94,-0.1987846,0.86,0.1782402
98.91998,-0.1516481,0.86,0.1385326
102.62,-0.1913014,0.86,0.1474545
104.62,-0.1988798,0.86,0.1944887
106.28,-0.1591308,0.86,0.1815166
107.64,-0.1522518,0.86,0.1356
116.54,-0.1629797,0.86,0.1926036
121.62,-0.2030801,0.86,0.1572734
123.72,-0.2205051,0.86,0.19757
125.76,-0.1575516,0.86,0.2008887
130.0285,-0.2165698,0.86,0.1632316
134.28,-0.1737849,0.86,0.1870584
136.06,-0.1972579,0.86,0.1404298
139.36,-0.1515707,0.86,0.1435818
141.2012,-0.1981063,0.86,0.1904076
144.78,-0.1572624,0.86,0.1742101
146.7,-0.1905664,0.86,0.1970108
148.48,-0.1894549,0.86,0.1372265
150.18,-0.200689,0.86,0.1995312
151.5519,-0.1551515,0.86,0.161393
156.2,-0.2206747,0.86,0.1405539
161.74,-0.1838087,0.86,0.2075741
163.78,-0.1645159,0.86,0.1616614
168.88,-0.2208426,0.86,0.1723555
170.68,-0.1849089,0.86,0.191805
174.38,-0.1870767,0.86,0.1460301
176.24,-0.175935,0.86,0.1988263
179.64,-0.1864303,0.86,0.1497158
181.72,-0.2216935,0.86,0.1557056
183.18,-0.1716388,0.86,0.137874
185.42,-0.1867595,0.86,0.1977969
187.44,-0.2174381,0.86,0.1441849
197.78,-0.2229113,0.86,0.2099106
208.96,-0.1980293,0.86,0.1659208
212.54,-0.1524273,0.86,0.2000359
216.5783,-0.2057958,0.86,0.1769906
220.6651,-0.1505351,0.86,0.1593047
223.92,-0.2069504,0.86,0.1407558
229.96,-0.2233592,0.86,0.1763597
