Time, X, Y, Z
0,-0.1190987,0.9099024,-0.1192401
0.005004883,-0.1188288,0.9102968,-0.1192725
0.01597595,-0.1184118,0.9106789,-0.1192372
0.01998901,-0.1183176,0.9108123,-0.1192205
0.02716064,-0.1181328,0.9110911,-0.1191855
0.03833008,-0.1180064,0.9113878,-0.1192638
0.03999329,-0.1179812,0.9114422,-0.1192667
0.04943848,-0.1178286,0.9118268,-0.1192419
0.05999756,-0.1175023,0.91207,-0.1190906
0.0604248,-0.1174896,0.9120874,-0.1190788
0.07154846,-0.1170266,0.9123226,-0.1190131
0.07998657,-0.1167345,0.9127116,-0.1189102
0.0826416,-0.1166038,0.9129016,-0.1188556
0.09376526,-0.116358,0.9137342,-0.1184356
0.09999084,-0.1161138,0.9141385,-0.1182589
0.10495,-0.1158708,0.9145263,-0.1180982
0.1160278,-0.1152663,0.9151432,-0.1179645
0.1199951,-0.1151022,0.9153394,-0.1179062
0.1277618,-0.1147435,0.9157532,-0.117773
0.1382446,-0.1142612,0.9162776,-0.1175005
0.1399994,-0.1141913,0.9163713,-0.1174608
0.149292,-0.1138315,0.9169211,-0.11725
0.1599884,-0.1134293,0.9173189,-0.1169162
0.1604767,-0.1134037,0.9173508,-0.1168914
0.171463,-0.1132974,0.91783,-0.1164504
0.1799927,-0.1130028,0.9181405,-0.1160085
0.1829224,-0.112858,0.9182895,-0.1157815
0.1939392,-0.1126909,0.9187381,-0.1151023
0.1999969,-0.1124914,0.9191073,-0.1147056
0.205307,-0.1122613,0.9195251,-0.1142685
0.2160339,-0.1117115,0.9203877,-0.113612
0.219986,-0.1114662,0.9206185,-0.1134822
0.2272339,-0.1109414,0.9210252,-0.1133122
0.2381134,-0.1104895,0.9212872,-0.1134228
0.2399902,-0.110406,0.9213189,-0.1134578
0.2492676,-0.1099677,0.9214005,-0.1137555
0.2599945,-0.1092748,0.9210142,-0.1139071
0.2605133,-0.1092497,0.9209964,-0.113915
0.2718506,-0.1089002,0.9205135,-0.1140222
0.2799988,-0.1087331,0.9202277,-0.1139955
0.2826233,-0.1086727,0.9201033,-0.1139744
0.2937775,-0.1085132,0.9198167,-0.1138425
0.2999878,-0.108324,0.9196265,-0.1136766
0.3047943,-0.1081369,0.9194461,-0.1135027
0.3161469,-0.1080506,0.9191257,-0.1131772
0.3199921,-0.1079961,0.9190424,-0.1130318
0.3273926,-0.1078663,0.9189034,-0.1127008
0.3381042,-0.1077768,0.9188859,-0.11246
0.3399963,-0.1077449,0.9188905,-0.1124101
0.3492432,-0.1075854,0.919054,-0.1121883
0.3600006,-0.1074159,0.9193588,-0.1118403
0.3603973,-0.1074049,0.9193817,-0.1118201
0.3713989,-0.1073067,0.9196416,-0.1116313
0.3799896,-0.1071721,0.9197568,-0.1115767
0.3825531,-0.107117,0.9197955,-0.1115637
0.393692,-0.1070123,0.919914,-0.1115487
0.3999939,-0.1070482,0.9199674,-0.1115192
0.4048004,-0.1071142,0.9200241,-0.1114811
0.4160004,-0.1072099,0.9202933,-0.1114362
0.4199982,-0.1072435,0.9203899,-0.1114287
0.4270325,-0.1073176,0.9205552,-0.1114286
0.4380646,-0.1073938,0.9206332,-0.111322
0.4399872,-0.1074162,0.9206609,-0.1113039
0.449173,-0.107512,0.9208938,-0.1113405
0.4599915,-0.1075754,0.9210142,-0.1112254
0.4601898,-0.1075759,0.9210147,-0.1112251
0.471405,-0.1077478,0.9211608,-0.1110699
0.4799957,-0.1079067,0.9211987,-0.1109788
0.4825134,-0.1079754,0.9212046,-0.110945
0.4937439,-0.1081601,0.9211798,-0.1109243
0.5,-0.1082372,0.9211646,-0.1109536
0.5048523,-0.108312,0.9211483,-0.1109716
0.5157776,-0.1084635,0.9212183,-0.1110399
0.519989,-0.1085187,0.9212519,-0.111078
0.5270996,-0.1086284,0.921305,-0.1111801
0.5379333,-0.1087294,0.9213918,-0.1114389
0.5399933,-0.1087576,0.9214212,-0.1114813
0.5494385,-0.1088742,0.9216759,-0.1116663
0.5599976,-0.108863,0.9219719,-0.1118534
0.5604248,-0.1088648,0.9219838,-0.1118652
0.5713501,-0.1090215,0.9222353,-0.1120552
0.5799866,-0.1092499,0.9225355,-0.112112
0.582428,-0.1093396,0.9226575,-0.1121313
0.5935516,-0.1094846,0.9230438,-0.1122822
0.5999908,-0.1096058,0.9233364,-0.1123285
0.6046448,-0.1097161,0.9236012,-0.1123412
0.61586,-0.1099233,0.924056,-0.1123136
0.6199951,-0.1099679,0.9242115,-0.1123174
0.6269226,-0.1099683,0.9244401,-0.112336
0.6380615,-0.1099175,0.9246061,-0.1123909
0.6399994,-0.109905,0.9246515,-0.1123915
0.6491852,-0.1096202,0.9247499,-0.1124569
0.6599884,-0.109427,0.9248921,-0.1124631
0.6601563,-0.1094217,0.9248954,-0.1124626
0.6713409,-0.1091583,0.9250441,-0.1124814
0.6799927,-0.1090342,0.925063,-0.112459
0.6823273,-0.1089632,0.9250427,-0.1124582
0.693573,-0.1088807,0.9250916,-0.1125336
0.6999969,-0.1087941,0.925126,-0.1126587
0.7046204,-0.108733,0.9251946,-0.1127701
0.7157745,-0.1086617,0.9251447,-0.1129907
0.719986,-0.1086378,0.9250752,-0.1131692
0.7267761,-0.1086832,0.9249636,-0.1134546
0.7379608,-0.1087811,0.924857,-0.1137426
0.7399902,-0.1087905,0.9248391,-0.1138271
0.7490845,-0.1088653,0.9247768,-0.1142287
0.7599945,-0.108954,0.9248832,-0.1143756
0.7602386,-0.1089528,0.9248806,-0.1143759
0.7713623,-0.1091616,0.925081,-0.1143423
0.7799988,-0.1093554,0.9252936,-0.1142654
0.7825317,-0.1094277,0.9253926,-0.1142047
0.7938385,-0.1095224,0.9257485,-0.113903
0.7999878,-0.109543,0.9259007,-0.1137698
0.8047028,-0.109559,0.9260405,-0.1136414
0.8157349,-0.1094949,0.9262102,-0.1133872
0.8199921,-0.1094237,0.9262379,-0.1132914
0.8269501,-0.1093408,0.9262391,-0.1131722
0.8381195,-0.1094058,0.926231,-0.113088
0.8399963,-0.1094262,0.9262415,-0.1130715
0.8491364,-0.1095521,0.9263489,-0.1129672
0.8600006,-0.1094052,0.9264171,-0.1129875
0.86026,-0.1094016,0.9264187,-0.1129878
0.8713226,-0.1093014,0.9263966,-0.1129977
0.8799896,-0.1092272,0.9263552,-0.1129665
0.8825531,-0.1091977,0.926342,-0.1129493
0.8935852,-0.1090687,0.9263703,-0.1129139
0.8999939,-0.1089647,0.9263451,-0.1129133
0.904541,-0.1088834,0.9263045,-0.1129119
0.9157715,-0.108731,0.9261431,-0.112973
0.9199982,-0.1086839,0.9260911,-0.113012
