Time, X, Y, Z
0,0.03592656,1.006001,0.05827877
0.005004883,0.03881676,1.006367,0.05856544
0.01597595,0.04396961,1.007063,0.0596095
0.01998901,0.04619389,1.007247,0.06021681
0.02716064,0.05078319,1.007638,0.06150746
0.03833008,0.05493981,1.00903,0.0624859
0.03999329,0.05566035,1.009215,0.06271493
0.04943848,0.06020147,1.010416,0.06421721
0.05999756,0.06554364,1.010648,0.06604961
0.0604248,0.06575589,1.010671,0.06612885
0.07154846,0.07103453,1.0108,0.06709602
0.07998657,0.07505701,1.011053,0.06812915
0.0826416,0.0769008,1.011187,0.06861851
0.09376526,0.08206534,1.012235,0.06967419
0.09999084,0.08529401,1.012764,0.07088703
0.10495,0.08842382,1.013275,0.07211336
0.1160278,0.09340893,1.01449,0.0737204
0.1199951,0.09527775,1.014787,0.07430464
0.1277618,0.09942643,1.015367,0.07558069
0.1382446,0.1040978,1.015856,0.07641381
0.1399994,0.1048881,1.015979,0.07652047
0.149292,0.1092907,1.016832,0.07695755
0.1599884,0.1141958,1.017425,0.07742503
0.1604767,0.1145468,1.01747,0.07746086
0.171463,0.118289,1.017883,0.07821885
0.1799927,0.121991,1.018056,0.0788298
0.1829224,0.1237497,1.018138,0.07912937
0.1939392,0.1273911,1.018547,0.07979971
0.1999969,0.1297424,1.018431,0.0800454
0.205307,0.132258,1.018274,0.0802967
0.2160339,0.136262,1.018228,0.08088145
0.219986,0.137504,1.01837,0.08089769
0.2272339,0.1397496,1.018855,0.08075261
0.2381134,0.1428274,1.019087,0.08103642
0.2399902,0.1434067,1.019085,0.08108574
0.2492676,0.1465013,1.018779,0.08135924
0.2599945,0.150173,1.018976,0.08169121
0.2605133,0.1503265,1.018979,0.08170515
0.2718506,0.1536328,1.018428,0.08221075
0.2799988,0.1562882,1.018375,0.08260497
0.2826233,0.1574802,1.018368,0.08278814
0.2937775,0.1607003,1.017845,0.08347774
0.2999878,0.1628247,1.017307,0.08406559
0.3047943,0.1648497,1.016752,0.08466211
0.3161469,0.1684944,1.015254,0.08585519
0.3199921,0.1697023,1.014867,0.08629936
0.3273926,0.172266,1.014168,0.08728334
0.3381042,0.1746068,1.013293,0.08780107
0.3399963,0.1751076,1.013127,0.08789963
0.3492432,0.1780885,1.012313,0.08830726
0.3600006,0.180821,1.011357,0.08859825
0.3603973,0.1809983,1.011295,0.0886173
0.3713989,0.1836183,1.009993,0.08892736
0.3799896,0.1856474,1.009021,0.08916467
0.3825531,0.1864654,1.008632,0.08926943
0.393692,0.1889454,1.007516,0.08989385
0.3999939,0.1905482,1.00657,0.09039447
0.4048004,0.1920715,1.005602,0.090891
0.4160004,0.1952533,1.003993,0.09247386
0.4199982,0.1964329,1.003507,0.09307289
0.4270325,0.1986789,1.002737,0.0941928
0.4380646,0.2007328,1.001927,0.09548995
0.4399872,0.2011146,1.001785,0.09573331
0.449173,0.2030413,1.000508,0.0971449
0.4599915,0.2058939,0.9993092,0.09838879
0.4601898,0.2059337,0.9992911,0.09840479
0.471405,0.2083483,0.998818,0.09948099
