Time, X, Y, Z
11.09041,-0.1557661,0.914148,0.1716045
12.63041,-0.1907957,0.9282519,0.163222
13.93041,-0.1717104,0.9156979,0.1530478
15.11041,-0.2205319,0.9220379,0.1394666
16.49041,-0.1644278,0.9110824,0.164404
17.61041,-0.2109339,0.9145411,0.1390611
18.75041,-0.1744841,0.9202308,0.1961104
19.97041,-0.1896299,0.9122064,0.176286
21.19041,-0.1950817,0.9179789,0.1190362
22.41041,-0.1952384,0.9177691,0.1608385
23.65041,-0.229594,0.9040182,0.1463308
24.87041,-0.2048388,0.9106082,0.1603492
26.19041,-0.157062,0.9236586,0.1921588
27.47041,-0.2140702,0.9231279,0.1634806
28.71041,-0.1653797,0.931851,0.1505681
49.85041,-0.2163082,0.9079435,0.1370845
51.57041,-0.03580992,0.8853819,0.01069645
53.15041,-0.1948836,0.9230487,0.1180668
54.61041,-0.1471687,0.9312242,0.1273272
55.75041,-0.1677196,0.9392142,0.1957941
57.17041,-0.2175357,0.9066656,0.124593
58.1904,-0.1189811,0.9382861,0.07262361
59.4104,-0.1772774,0.9319249,0.1711085
60.7304,-0.164618,0.9236572,0.1756576
61.89041,-0.2347203,0.9419413,0.1995253
63.17041,-0.182163,0.926407,0.1402117
64.55041,-0.1784916,0.9187794,0.1612436
66.07041,-0.2521466,0.9311646,0.1260532
67.23041,-0.1958882,0.9322231,0.2202186
68.43041,-0.2065651,0.9313301,0.1601968
89.19041,-0.1569322,0.9259516,0.1462385
90.23041,-0.1377287,0.936645,0.0959204
91.33041,-0.08377057,0.9444165,0.03567093
92.51041,-0.2120113,0.9335924,0.1775238
93.47041,-0.1321695,0.9679969,0.06638005
95.13041,-0.1676343,0.9143414,0.1723721
96.35041,-0.2370424,0.9545701,0.1532875
98.55041,-0.1389775,0.9327399,0.1824582
99.97041,-0.1984064,0.9331274,0.1423909
101.2104,-0.2009227,0.9296683,0.1721324
102.6104,-0.1709159,0.9155349,0.1355489
104.0304,-0.1421633,0.9295888,0.1316147
105.3304,-0.263556,0.9660304,0.1331174
106.5904,-0.1626853,0.9265156,0.148913
107.9304,-0.1661559,0.928021,0.1433477
127.7304,-0.195701,0.9176745,0.1392368
128.9504,-0.1779426,0.9432904,0.1257405
129.9704,-0.1999136,0.913806,0.1163394
130.8304,-0.1866874,0.9536313,0.2124554
131.7904,-0.2126812,0.9381708,0.1392203
132.7704,-0.1421749,0.9336584,0.1931948
133.7104,-0.2052075,0.9056152,0.1251893
134.6704,-0.1457287,0.9205765,0.1468773
135.7104,-0.23152,0.9257437,0.1599268
136.7704,-0.2095813,0.9274814,0.2107604
137.8504,-0.1697124,0.9035612,0.1276586
138.8704,-0.2276608,0.9074659,0.1314512
139.9704,-0.1831282,0.9067085,0.1630129
140.9704,-0.1865946,0.9287032,0.1307921
142.1704,-0.1532226,0.9087811,0.1833331
