Time, X, Y, Z
11.09041,-0.15,0.86,0.2
12.63041,-0.2003362,0.86,0.1655379
13.93041,-0.1573737,0.86,0.1695521
15.11041,-0.1947673,0.86,0.1904896
16.49041,-0.1559195,0.86,0.2097884
17.61041,-0.1990247,0.86,0.1416503
18.75041,-0.1626897,0.86,0.2043797
19.97041,-0.1749552,0.86,0.168117
21.19041,-0.2080798,0.86,0.1487064
22.41041,-0.1927246,0.86,0.2018136
23.65041,-0.211642,0.86,0.141007
24.87041,-0.2028332,0.86,0.193289
26.19041,-0.1553531,0.86,0.2039454
27.47041,-0.2242187,0.86,0.1893481
28.71041,-0.1696358,0.86,0.1917872
49.85041,-0.2193962,0.86,0.165848
51.57041,-0.1796092,0.86,0.1860117
53.15041,-0.2098601,0.86,0.1375834
54.61041,-0.1508233,0.86,0.1511852
55.75041,-0.1674607,0.86,0.2087052
57.17041,-0.2237051,0.86,0.1552168
58.1904,-0.1894605,0.86,0.1657416
59.4104,-0.1659852,0.86,0.2076924
60.7304,-0.1586313,0.86,0.1668151
61.89041,-0.2056414,0.86,0.1723275
63.17041,-0.1775,0.86,0.1463077
64.55041,-0.1830866,0.86,0.2037506
66.07041,-0.2245287,0.86,0.1484512
67.23041,-0.1561633,0.86,0.1720836
68.43041,-0.2018616,0.86,0.1675441
89.19041,-0.1950156,0.86,0.2084771
90.23041,-0.1514171,0.86,0.1519996
91.33041,-0.1534609,0.86,0.1887764
92.51041,-0.1927076,0.86,0.1990682
93.47041,-0.1701691,0.86,0.1397723
95.13041,-0.1581849,0.86,0.1930658
96.35041,-0.1968508,0.86,0.1488425
98.55041,-0.1554101,0.86,0.1943687
99.97041,-0.215372,0.86,0.1427283
101.2104,-0.1920004,0.86,0.1858272
102.6104,-0.2047697,0.86,0.1406942
104.0304,-0.1811441,0.86,0.1982551
105.3304,-0.2167711,0.86,0.1450422
106.5904,-0.1905218,0.86,0.1885261
107.9304,-0.1585914,0.86,0.1671067
127.7304,-0.2120424,0.86,0.1789157
128.9504,-0.1664883,0.86,0.1575452
129.9704,-0.2026397,0.86,0.141715
130.8304,-0.1749179,0.86,0.2080176
131.7904,-0.1958956,0.86,0.1548074
132.7704,-0.1691179,0.86,0.1923846
133.7104,-0.2022931,0.86,0.1439685
134.6704,-0.1744939,0.86,0.1769511
135.7104,-0.2215341,0.86,0.1925286
136.7704,-0.1760264,0.86,0.1761374
137.8504,-0.1611307,0.86,0.1365755
138.8704,-0.2113038,0.86,0.1462247
139.9704,-0.1799487,0.86,0.1793734
140.9704,-0.2102734,0.86,0.1527236
142.1704,-0.1507835,0.86,0.2037052
