Time, X, Y, Z
0.006670952,-0.1067051,0.9536893,-0.1325584
0.01040936,-0.1067619,0.9536536,-0.1324944
0.01762295,-0.1069473,0.953555,-0.1323554
0.02886295,-0.1070179,0.9534544,-0.1323224
0.03040791,-0.1070261,0.9534394,-0.1323214
0.03992367,-0.1072619,0.9533924,-0.1323967
0.05040836,-0.107274,0.953366,-0.1323618
0.0511198,-0.1072724,0.9533643,-0.1323573
0.06206989,-0.1073454,0.9532898,-0.1322422
0.07040882,-0.1074056,0.9531527,-0.1322238
0.07319164,-0.1074331,0.9530696,-0.1322377
0.08433056,-0.1076128,0.9528568,-0.1322067
0.09040928,-0.1077595,0.9527392,-0.1321674
0.09551907,-0.1079193,0.9526277,-0.132122
0.1064501,-0.10821,0.9524078,-0.1319569
0.1104078,-0.108331,0.9523028,-0.1319106
0.1177263,-0.1083735,0.9519957,-0.1319104
0.1286173,-0.1084277,0.9516101,-0.1318443
0.1304083,-0.1084362,0.9515383,-0.1318319
0.1398535,-0.1084505,0.9510764,-0.1317014
0.1504087,-0.1085361,0.9506528,-0.1316352
0.150979,-0.1085432,0.9506248,-0.1316305
0.1621828,-0.1086191,0.9501057,-0.1316048
0.1704092,-0.1087191,0.9496934,-0.1316105
0.1731234,-0.1087713,0.9495251,-0.1316007
0.1851015,-0.1089018,0.9489284,-0.1316959
0.1904078,-0.1089488,0.9485887,-0.131792
0.1954241,-0.1089661,0.9481757,-0.1318831
0.2066145,-0.1089548,0.94744,-0.1320078
0.2104082,-0.1089796,0.9471619,-0.1320675
0.2175207,-0.1089281,0.9465589,-0.1321173
0.228694,-0.1087019,0.9459847,-0.1321774
0.2304087,-0.1086556,0.9458997,-0.1321864
0.2399244,-0.1083458,0.9454432,-0.1323588
0.2504091,-0.1080303,0.9452299,-0.1325867
0.2509241,-0.1080162,0.9452242,-0.1325959
0.2621546,-0.1077011,0.9450991,-0.132825
0.2704077,-0.107344,0.9449682,-0.1330326
0.2734022,-0.1071181,0.9448937,-0.1331174
0.2842932,-0.106614,0.9447416,-0.1332159
0.2904081,-0.1062393,0.9446869,-0.1332302
0.2953119,-0.1058177,0.9446685,-0.1331709
0.3065538,-0.1050424,0.9446359,-0.1330577
0.3104086,-0.1047295,0.9446445,-0.1330324
0.3177538,-0.1042722,0.944582,-0.1329627
0.3288221,-0.1037613,0.9445263,-0.1327939
0.330409,-0.10368,0.9445236,-0.1327648
0.339757,-0.103129,0.9446257,-0.1325628
0.3504095,-0.1029504,0.9446352,-0.1323332
0.3508596,-0.1029492,0.9446344,-0.1323289
0.3618898,-0.1028116,0.9444776,-0.1321
0.3704081,-0.102852,0.9442552,-0.1317698
0.3731146,-0.1029219,0.9441084,-0.1315649
0.3841543,-0.1030318,0.9438252,-0.1309596
0.3904085,-0.103094,0.9436883,-0.1305372
0.3952971,-0.1032238,0.9436132,-0.1301302
0.4064512,-0.1034847,0.9439393,-0.129213
0.410409,-0.1035624,0.9441769,-0.1287992
0.4175482,-0.1037222,0.9449459,-0.1275708
0.4288607,-0.1047097,0.9459046,-0.1257039
0.4304094,-0.10492,0.9460421,-0.1254016
0.4395456,-0.1064964,0.946752,-0.1234529
0.450408,-0.1084528,0.9478642,-0.1212007
0.4507647,-0.1085136,0.9479045,-0.1211318
0.4618368,-0.1105469,0.9491649,-0.1188077
0.4704084,-0.1123281,0.9505076,-0.1165356
0.4731188,-0.1130655,0.9512413,-0.1154435
0.4843702,-0.11503,0.9535877,-0.1116173
0.4904089,-0.1162205,0.9548712,-0.1091382
0.4952898,-0.1177107,0.9555405,-0.106717
0.5064573,-0.1211518,0.9569155,-0.1027997
0.5104094,-0.1226983,0.9574527,-0.1013794
0.5173826,-0.1254785,0.9600103,-0.0970799
0.5285273,-0.1286232,0.9628152,-0.09240094
0.5304079,-0.1291515,0.9632406,-0.09167537
0.5395918,-0.1328612,0.9651247,-0.08736065
0.5504084,-0.1369473,0.9668136,-0.08287019
0.550601,-0.1370191,0.9668433,-0.08279145
0.5617132,-0.1401683,0.9683365,-0.07913131
0.5704088,-0.1427275,0.969777,-0.07569754
0.5726919,-0.1437294,0.9703535,-0.07419343
0.5839796,-0.1470301,0.971778,-0.06895319
0.5904093,-0.1492433,0.972459,-0.065615
0.5950823,-0.1512053,0.97293,-0.06298219
0.6061945,-0.1542185,0.9738666,-0.05909118
0.6104078,-0.1554768,0.974324,-0.05754353
0.6174154,-0.158009,0.9750602,-0.05405328
0.628541,-0.1607898,0.976075,-0.05041173
0.6304083,-0.1612378,0.9762584,-0.0498673
0.6396761,-0.1644168,0.9761473,-0.04601982
0.6504087,-0.167345,0.9758669,-0.04025894
0.650794,-0.1674233,0.9758625,-0.04003993
0.6618681,-0.1698588,0.9753835,-0.03274053
0.6704092,-0.1718291,0.9751607,-0.02610657
0.6730261,-0.1723993,0.975435,-0.02376965
0.6840677,-0.1749444,0.9755989,-0.01642209
0.6904078,-0.1770947,0.975325,-0.01135302
0.6949892,-0.1786581,0.9752504,-0.007118911
0.7063589,-0.1813308,0.9752895,0.00090608
0.7104082,-0.1823115,0.9753236,0.0040389
0.7173376,-0.1838881,0.9754337,0.008430421
0.7286272,-0.1853721,0.9755269,0.01242372
0.7304087,-0.1855938,0.9755355,0.01295742
0.7396574,-0.1869329,0.975847,0.0164046
0.7504091,-0.1883284,0.9767022,0.02063826
0.7507334,-0.1883599,0.9767271,0.02074277
0.7618418,-0.189638,0.9777533,0.025309
0.7704077,-0.1906993,0.9785384,0.02909061
0.7730684,-0.1910612,0.9789505,0.03052551
0.7840242,-0.1918858,0.980024,0.03388193
0.7904081,-0.1923882,0.9806433,0.03574687
0.795064,-0.1927539,0.9814197,0.03759471
0.8062315,-0.1933323,0.9828408,0.04081288
0.8104086,-0.1939587,0.9825999,0.04198211
0.8172865,-0.1947519,0.9829909,0.04408517
0.828536,-0.1952792,0.983305,0.0465441
0.830409,-0.1953558,0.9833489,0.04699987
0.8395452,-0.1960141,0.9834704,0.04937777
0.8504095,-0.1972233,0.9835893,0.05192631
0.850585,-0.1972512,0.9835912,0.05197933
0.8617182,-0.1984058,0.9836655,0.05430141
0.8704081,-0.1992126,0.9839883,0.05608502
0.8730421,-0.1994282,0.9841752,0.05683842
0.884078,-0.1999091,0.9844893,0.05889454
0.8904085,-0.2002517,0.9846096,0.0602009
0.8951635,-0.2005691,0.9852048,0.06170008
0.9061937,-0.2010616,0.9860141,0.06409085
0.910409,-0.2012064,0.9863094,0.0655106
0.9171991,-0.2015179,0.986876,0.06842205
0.9286032,-0.2019012,0.9880271,0.07262284
0.9304094,-0.2019685,0.9882928,0.07335332
0.9402628,-0.2023454,0.9896177,0.07719019
0.950408,-0.2027536,0.990749,0.08034515
0.9505835,-0.2025585,0.9908502,0.07984734
0.9617167,-0.2025581,0.9921791,0.08198038
0.9704084,-0.2024062,0.9925227,0.08343259
0.9729033,-0.2022559,0.9927662,0.08390376
0.9840326,-0.2019694,0.9934456,0.08524647
0.9904089,-0.2018641,0.9937439,0.08621201
0.995059,-0.2015639,0.9941561,0.08673239
1.006177,-0.2010459,0.994948,0.08760974
1.010409,-0.2006319,0.9956251,0.08763367
1.017203,-0.1999067,0.9965109,0.0880979
1.028316,-0.199027,0.9979075,0.08886304
1.030408,-0.1988579,0.9981204,0.08917549
1.039493,-0.1980066,0.999342,0.0901182
1.050408,-0.1970458,1.000375,0.09111482
1.050708,-0.1968976,1.000514,0.09120545
1.061896,-0.1956458,1.00181,0.09241939
1.070409,-0.1950292,1.00243,0.09387055
1.072803,-0.1947144,1.002764,0.09445354
1.083951,-0.1936574,1.003551,0.09594661
1.090409,-0.1939054,1.003795,0.09738785
1.095405,-0.1937402,1.004054,0.09867039
1.10604,-0.1933731,1.004318,0.1003661
1.110408,-0.1933462,1.004215,0.1011111
1.117286,-0.1931263,1.004254,0.1025904
1.12831,-0.1925319,1.004331,0.1044914
1.130408,-0.1925123,1.00399,0.1046031
1.139348,-0.1921629,1.003501,0.1060046
1.150409,-0.1914781,1.001981,0.1072063
1.150615,-0.1914637,1.001957,0.1072337
1.161633,-0.1913743,0.9990889,0.1060352
1.170409,-0.1913569,0.9977962,0.1076118
1.172862,-0.191326,0.9971494,0.1080493
1.183921,-0.1906686,0.9966976,0.1093069
