Time, X, Y, Z
34.28,-0.15,0.86,0.2
36.78,-0.2056763,0.86,0.1905469
37.98001,-0.2232146,0.86,0.1540019
39.10001,-0.1808576,0.86,0.1926967
39.98001,-0.1782249,0.86,0.1375462
41.10001,-0.1612104,0.86,0.2055198
42.24002,-0.1810491,0.86,0.1636967
43.22,-0.2091009,0.86,0.1384996
44.24002,-0.2074937,0.86,0.1785863
45.32001,-0.1828751,0.86,0.1497526
46.48001,-0.2117295,0.86,0.1964914
47.70001,-0.2211276,0.86,0.1489106
48.78,-0.1540643,0.86,0.167568
49.86002,-0.1818377,0.86,0.2066048
50.88,-0.1626046,0.86,0.1742055
51.94,-0.2034699,0.86,0.1817838
55.14001,-0.2120474,0.86,0.1414044
55.94,-0.1799513,0.86,0.2033935
56.76001,-0.1637383,0.86,0.1661148
57.70001,-0.1965073,0.86,0.2054553
58.78,-0.1539211,0.86,0.1872147
59.88,-0.2186581,0.86,0.1424168
60.89999,-0.1525308,0.86,0.1895749
62.17999,-0.2049832,0.86,0.1605322
63.22,-0.1681042,0.86,0.1478116
64.24002,-0.2176674,0.86,0.1666951
70.26001,-0.1504872,0.86,0.1918418
72.09998,-0.2085136,0.86,0.1681782
73.64001,-0.1631131,0.86,0.1427866
75.23999,-0.163424,0.86,0.1963586
76.5,-0.1931771,0.86,0.1602957
77.66003,-0.1670881,0.86,0.1361752
78.79999,-0.2064627,0.86,0.1703129
79.90002,-0.1691336,0.86,0.1433609
81.08002,-0.1625378,0.86,0.1986049
82.23999,-0.1788633,0.86,0.1354474
83.58002,-0.1831693,0.86,0.2039893
84.72003,-0.1632375,0.86,0.1687493
85.76001,-0.2041533,0.86,0.1544365
86.96002,-0.1752597,0.86,0.1927715
88.12,-0.2194546,0.86,0.146608
89.41998,-0.1803063,0.86,0.1414467
90.70001,-0.1686404,0.86,0.1976125
92.08002,-0.207461,0.86,0.1770782
93.40002,-0.1617428,0.86,0.2039365
115.18,-0.1744465,0.86,0.1419987
117.28,-0.2087837,0.86,0.1577148
118.84,-0.1923715,0.86,0.1948151
119.98,-0.1697229,0.86,0.1505859
121.36,-0.1960503,0.86,0.174231
122.66,-0.1850175,0.86,0.1353948
124.02,-0.1869718,0.86,0.1794623
125.52,-0.2249339,0.86,0.1807512
126.52,-0.1845094,0.86,0.2008748
129.06,-0.222392,0.86,0.1784364
130.9,-0.1713823,0.86,0.1839246
134.66,-0.2021706,0.86,0.1568204
136.26,-0.1540639,0.86,0.2021817
137.64,-0.2164175,0.86,0.1560674
139.16,-0.1810178,0.86,0.1610544
140.56,-0.2109435,0.86,0.1856738
