Time, X, Y, Z
0,0.1485544,0.8992764,-0.1192828
0.007263184,0.1483635,0.8994464,-0.119092
0.01824951,0.1479687,0.8996633,-0.1187314
0.02001953,0.1479158,0.8996847,-0.1186414
0.02938843,0.1475938,0.8998389,-0.1181657
0.04000854,0.1474785,0.8998196,-0.1175108
0.04058838,0.1474691,0.8998189,-0.1174794
0.05163574,0.1474245,0.899892,-0.116625
0.05999756,0.1472961,0.8998541,-0.115746
0.06271362,0.1472417,0.8998401,-0.1153741
0.07385254,0.1467878,0.8994511,-0.1145363
0.08001709,0.1466974,0.8995743,-0.1138431
0.08496094,0.1465804,0.8996595,-0.113193
0.09603882,0.1471041,0.8991383,-0.1124343
0.1000061,0.1473261,0.8988446,-0.1123156
0.1071472,0.1477398,0.8982886,-0.1120065
0.1183472,0.1481709,0.8974571,-0.1120724
0.1199951,0.1482322,0.8973271,-0.1120953
0.129364,0.148631,0.8965445,-0.112208
0.1400146,0.1483816,0.8960102,-0.1119563
0.1404724,0.1483788,0.8959988,-0.111951
0.1515503,0.1478381,0.8959881,-0.1111936
0.1600037,0.1471794,0.8963168,-0.1105351
0.1627197,0.1468962,0.8964567,-0.1102473
0.1742249,0.1465201,0.8966396,-0.109434
0.1799927,0.1466303,0.896122,-0.1094114
0.184906,0.1467083,0.8956826,-0.1093377
0.196106,0.1465991,0.8950861,-0.1088835
0.2000122,0.1466172,0.8949348,-0.1086766
0.2070923,0.1466422,0.8946105,-0.108257
0.2183228,0.1468348,0.8938452,-0.1079653
0.2200012,0.1468704,0.8937144,-0.1079852
0.2294006,0.147074,0.8929428,-0.1080298
0.2400208,0.1467759,0.8923414,-0.1083388
0.2404785,0.1467697,0.8923259,-0.1083477
0.2515869,0.1467141,0.8926351,-0.1081247
0.2600098,0.1466309,0.8929801,-0.1076967
0.2626648,0.1465949,0.8931276,-0.1075133
0.2738342,0.1463591,0.8937417,-0.106761
0.2799988,0.146417,0.8939109,-0.1064877
0.2848511,0.1464754,0.8940673,-0.1062354
0.2958984,0.146775,0.8941814,-0.105922
0.3000183,0.1468297,0.8943427,-0.1057569
0.3072205,0.146923,0.8946782,-0.1054206
0.3182068,0.1470636,0.8952734,-0.1052672
0.3200073,0.1471364,0.8953396,-0.1051978
0.3292236,0.1476138,0.8956681,-0.1047426
0.3399963,0.1480446,0.8959153,-0.1039222
0.3403931,0.1480623,0.8959258,-0.1038886
0.351593,0.1481858,0.8964984,-0.1030234
0.3600159,0.1484039,0.8970839,-0.1030327
0.3627014,0.1484992,0.8973415,-0.1030433
0.3737183,0.1486046,0.8981243,-0.1024171
0.3800049,0.1486755,0.8985944,-0.1019793
0.3848877,0.1487408,0.8990273,-0.1015697
0.3959656,0.1486721,0.899899,-0.1012353
0.3999939,0.1487345,0.9001996,-0.1010521
0.407135,0.1488803,0.9007978,-0.1006656
0.4181824,0.1489547,0.9015584,-0.1000815
0.4200134,0.1489826,0.9016645,-0.09997812
0.4291687,0.1491598,0.9021675,-0.09940204
0.4400024,0.1492078,0.90272,-0.09888169
0.4403992,0.1492105,0.9027556,-0.09884623
0.4515381,0.1493367,0.9031639,-0.09798381
0.460022,0.1496517,0.9035809,-0.09745146
0.462738,0.1497994,0.9037663,-0.09721902
0.473877,0.1500494,0.9041511,-0.09692165
0.480011,0.1502188,0.9043241,-0.09655227
0.4851685,0.150376,0.9044858,-0.09616236
0.4959412,0.1506635,0.9046449,-0.0958489
0.5,0.1507386,0.9047146,-0.09572485
0.507019,0.1508541,0.9048535,-0.09548625
0.5181274,0.1507412,0.9051092,-0.09512693
0.5200195,0.1507272,0.9051504,-0.09505153
0.5292664,0.1506993,0.9053317,-0.09459943
0.5400085,0.1505782,0.9057459,-0.09455884
0.5403442,0.1505774,0.9057478,-0.0945587
0.5513306,0.1507562,0.9061252,-0.09429294
0.5599976,0.150995,0.9064054,-0.09406358
0.5625916,0.1511003,0.9065176,-0.09397019
0.573822,0.1511886,0.9069931,-0.0938874
0.5800171,0.1512841,0.9072444,-0.09384954
0.5851135,0.1513769,0.9074959,-0.09379132
0.5958862,0.1514793,0.9078574,-0.09375009
0.6000061,0.1515568,0.9079851,-0.09380156
0.6072083,0.1517297,0.9082106,-0.09395319
0.6187439,0.1520198,0.9083513,-0.09412408
0.6199951,0.1520406,0.9083542,-0.09414391
0.6293335,0.1521815,0.9082944,-0.0942501
0.6400146,0.1523725,0.9079868,-0.09445241
0.6404724,0.152383,0.9079732,-0.09446254
0.6514587,0.1524605,0.907888,-0.0945304
0.6600037,0.1524965,0.9077237,-0.09462833
0.6625671,0.1525116,0.9076475,-0.09467304
0.6737061,0.1527143,0.9073703,-0.09470958
0.6799927,0.1527393,0.9071809,-0.09486239
0.684845,0.1527264,0.90702,-0.09504223
0.6959534,0.1533599,0.906749,-0.09496123
0.7000122,0.1536341,0.9066348,-0.09493248
0.7069397,0.1541421,0.9064471,-0.09488079
0.7182007,0.1546095,0.9061085,-0.09476057
0.7200012,0.1546741,0.9060455,-0.09474501
0.7293091,0.1550493,0.9058909,-0.09454998
0.7400208,0.155602,0.90565,-0.09448197
0.7406006,0.155635,0.9056331,-0.09447476
0.7514954,0.1559048,0.9054989,-0.09447756
0.7600098,0.1560057,0.9051951,-0.09443107
0.7626038,0.1560252,0.905056,-0.0944069
0.7735901,0.1561163,0.9046559,-0.09435835
0.7799988,0.156197,0.9043921,-0.09428628
0.7847595,0.1562704,0.90416,-0.09421563
0.7958374,0.1564874,0.9037557,-0.09433651
0.8000183,0.1565384,0.9036072,-0.09439032
0.8069153,0.1566086,0.9033419,-0.0945099
0.8182068,0.1566706,0.9031095,-0.09461288
0.8200073,0.1566875,0.9030744,-0.0946323
0.8293152,0.1565579,0.9030354,-0.09474023
0.8399963,0.1564172,0.9029756,-0.09478131
0.840271,0.1564149,0.9029765,-0.09478197
0.8513489,0.1561881,0.9030892,-0.09471032
0.8600159,0.1560053,0.9033263,-0.09466593
0.8626099,0.1559398,0.9034555,-0.09465326
0.8734131,0.15578,0.9039554,-0.09457795
0.8800049,0.1556603,0.9042646,-0.09450394
0.8847046,0.1555627,0.9045275,-0.09443152
0.895752,0.1554694,0.9048446,-0.09426689
0.8999939,0.1554365,0.9049048,-0.09422192
0.9067993,0.1554009,0.9048218,-0.09424534
0.9181519,0.1553251,0.9047625,-0.09419635
0.9200134,0.1553186,0.904755,-0.09419477
