Time, X, Y, Z
13.36761,-0.15,0.86,0.2
15.82758,-0.2009679,0.86,0.140299
17.70758,-0.165603,0.86,0.2072179
20.08759,-0.1752443,0.86,0.1608154
22.52759,-0.2226544,0.86,0.1745513
24.74762,-0.1651227,0.86,0.1531261
26.62762,-0.1675336,0.86,0.2012329
29.04761,-0.1591956,0.86,0.1402367
34.00757,-0.1888977,0.86,0.1665566
37.6676,-0.2130045,0.86,0.2057881
42.42761,-0.1694257,0.86,0.1968188
53.92761,-0.2095682,0.86,0.1971631
57.20758,-0.1884011,0.86,0.1495709
59.80762,-0.1549614,0.86,0.1742167
63.8476,-0.2027975,0.86,0.1517596
65.70758,-0.1668513,0.86,0.191744
74.1676,-0.2246175,0.86,0.1646475
76.3476,-0.2112048,0.86,0.1979169
79.04761,-0.1731139,0.86,0.1929299
81.48761,-0.1542418,0.86,0.1588205
84.1676,-0.194681,0.86,0.1384896
87.38757,-0.17357,0.86,0.1749205
89.92761,-0.2095611,0.86,0.1505134
92.06757,-0.1581299,0.86,0.1695451
95.3476,-0.2162781,0.86,0.2041892
97.44757,-0.2099634,0.86,0.1452972
99.90759,-0.1714333,0.86,0.1720313
101.8876,-0.1825072,0.86,0.1358279
103.9876,-0.2174618,0.86,0.1445633
106.0476,-0.1564275,0.86,0.1650995
108.4676,-0.2098833,0.86,0.2021491
111.1276,-0.1534579,0.86,0.1514207
114.1876,-0.2007486,0.86,0.1550381
116.4476,-0.1746005,0.86,0.1991789
118.9276,-0.1579906,0.86,0.1374101
126.4199,-0.1679445,0.86,0.1818959
139.7676,-0.2113225,0.86,0.1404576
142.1076,-0.1720842,0.86,0.1875866
144.7476,-0.2040117,0.86,0.2078609
147.0076,-0.1639924,0.86,0.1700965
149.0276,-0.1513578,0.86,0.2082447
151.5876,-0.1834592,0.86,0.1361873
153.3476,-0.1799791,0.86,0.1769671
155.9076,-0.19535,0.86,0.1360249
158.2276,-0.1839833,0.86,0.1750877
160.7076,-0.2201194,0.86,0.2078327
184.0276,-0.1811922,0.86,0.1536634
187.4076,-0.2162692,0.86,0.1481322
189.4076,-0.1723779,0.86,0.1840618
191.4476,-0.2061235,0.86,0.1961163
193.6276,-0.1578799,0.86,0.1740189
194.1076,-0.2012852,0.86,0.1403115
195.8076,-0.1550216,0.86,0.1910914
197.8276,-0.2156222,0.86,0.1858698
210.9876,-0.1782289,0.86,0.1584384
213.4876,-0.1654833,0.86,0.2099918
215.5076,-0.1720361,0.86,0.1416118
217.8676,-0.219894,0.86,0.1493936
219.9876,-0.188205,0.86,0.1892203
222.1876,-0.1814637,0.86,0.1401207
224.2676,-0.2029888,0.86,0.2034001
